"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccl2",17265.7628431435,7.03613162298433,0.297813321799133,23.6259801290219,2.08459801263078e-123,3.21007247965014e-119
"Bcl3",542.191909864064,3.34490467837832,0.167651065754748,19.9515861311105,1.45208005522722e-88,1.1180290385222e-84
"Zc3h12a",1292.20490690209,3.95718403787977,0.204770861259914,19.3249372177858,3.31386693477767e-83,1.70100789762138e-79
"Cxcl1",10684.5008239214,10.6967357310935,0.5792817882173,18.4655135871127,3.91283927716832e-76,1.50634530072787e-72
"Nfkbia",4621.41554839239,4.09330977480476,0.266836528537678,15.3401402620435,4.12303152694953e-53,1.26981124966992e-49
"Relb",1295.4853938014,2.75372250810819,0.183572193165819,15.0007605216155,7.25828594264951e-51,1.862839087181e-47
"Ccl7",3852.27638056581,5.96160323402834,0.398302950848935,14.9675095836521,1.19721124947691e-50,2.63369371867071e-47
"Rsad2",27443.3502710739,9.07277589409291,0.614034996299884,14.7756657987974,2.10269016761117e-49,4.04741573638056e-46
"Ccl20",1904.61878304562,7.78514492729485,0.541037855338896,14.3892795124629,6.04220720044421e-47,1.033821651996e-43
"Plscr1",1277.76159792451,2.02647569321623,0.143241356633947,14.1472807912235,1.94119364238092e-45,2.98924408990238e-42
"Gbp5",4385.47406799257,9.99144835329871,0.718715751779986,13.9018079519667,6.17613449690599e-44,8.64602682889594e-41
"Neurl3",3768.26437240654,5.20780419381932,0.384228588954514,13.5539216589524,7.51077924370691e-42,9.63820746448689e-39
"Lif",2365.21478317592,3.05241605897552,0.227637409688093,13.4091143593574,5.34735765979671e-41,6.3341508156315e-38
"Cebpd",663.617421492679,3.15740616218548,0.236289750178566,13.362433875356,1.00232400321351e-40,1.1024848089632e-37
"Saa3",1775.12562356881,6.79821502412353,0.509500231682515,13.3429086021686,1.30275620062239e-40,1.33740951555895e-37
"Cxcl10",15965.2420614421,9.3758223563328,0.720656490988941,13.0101129644535,1.07183527163396e-38,1.03157445924321e-35
"Steap4",1445.25952489388,7.80268248173714,0.611582425757215,12.7581862282528,2.80660081807766e-37,2.54228505868105e-34
"Gbp6",1011.75811711781,7.97574831382287,0.633374935085162,12.5924596506972,2.3231961215302e-36,1.98749428196909e-33
"Icam1",9514.89290808168,4.10129789093968,0.326125415895244,12.575830312646,2.86771384737591e-36,2.32420660714429e-33
"Ccl5",3017.61263200728,8.79234590094984,0.699781204521576,12.5644213421836,3.3128996156818e-36,2.5507670590942e-33
"Nos2",1549.38240319626,11.0691401858053,0.893951369239431,12.3822621304589,3.26022099845562e-35,2.39067348358181e-32
"Csf1",31219.2990703547,2.26541332251956,0.184368304216921,12.2874337437858,1.05811985512123e-34,7.40635802227809e-32
"Gbp3",2889.90377377774,5.46578406763997,0.445543278831367,12.2676838083528,1.35061839483693e-34,9.04268376612777e-32
"Cmpk2",9674.92271160462,7.15950199826447,0.599834822882315,11.9357891958686,7.7024866718243e-33,4.94210801080926e-30
"Nfkbie",1016.02424114679,3.58339142593064,0.300552644434783,11.9226747536011,9.01664996741852e-33,5.55389571393111e-30
"Gbp2",8473.6036933174,5.1038944856521,0.432926371724277,11.7892898631333,4.43262761678508e-32,2.62530894887975e-29
"Tnip1",2381.05870413358,1.78824654515913,0.154818813020455,11.5505765111561,7.33269023276236e-31,4.18207766275214e-28
"Sele",189.047712460759,8.0946891842466,0.723056356078874,11.1951013447195,4.30909235600724e-29,2.36984689964841e-26
"Tnfaip3",5080.34747459041,4.57265037741997,0.409400410897948,11.1691396874533,5.77373769808269e-29,3.06585471768191e-26
"Isg15",3313.8275435589,5.38830295759752,0.485022017239622,11.1093986789789,1.12917320916364e-28,5.79604608263697e-26
"Ifit1",9558.16180746646,6.76687890128732,0.614752118542248,11.0074917957721,3.51657618066559e-28,1.69934931643964e-25
"Mx1",1700.03857652327,8.27644223692842,0.751917545652948,11.0071141241176,3.53134477083372e-28,1.69934931643964e-25
"Oasl2",2082.85553838586,5.27959589106094,0.488232633206406,10.8136890735629,2.9650132095793e-27,1.38358298225187e-24
"Tnf",35322.5545344082,9.25391039442752,0.865338782792728,10.6939739422774,1.08615124361409e-26,4.91930676482744e-24
"Parp14",11588.4438937755,5.54348383735665,0.518852866314173,10.6841152805736,1.20795275347014e-26,5.3146469859105e-24
"Tlr2",5672.31571847958,4.26430928471991,0.402308222019749,10.5996075926844,2.99233126278194e-26,1.27996969765497e-23
"Cxcl3",525.397243109414,8.16766083004152,0.776786677421489,10.5146767670549,7.39338880845026e-26,3.07704849354934e-23
"Ifi205",1093.99571714932,8.05213814688637,0.769080684842341,10.4698223549029,1.1886585986343e-25,4.81688256851833e-23
"Irg1",10966.2560982561,10.084249287938,0.972595383681322,10.3683910669704,3.45289302377313e-25,1.36336153007904e-22
"Ripk2",3413.59222907689,3.17820747555225,0.308796343525069,10.2922445235956,7.63749404344108e-25,2.94024426937373e-22
"Cxcl2",11194.8419328518,10.1355362975461,0.988520984881637,10.2532333178134,1.14449690170317e-24,4.29856287544566e-22
"Pglyrp3",147.787227265943,4.85088862956058,0.478194825728844,10.144167959507,3.51763131127593e-24,1.28971439434138e-21
"Vcam1",30740.7157796357,3.69720747568887,0.367368342080314,10.0640339740559,7.96655643593925e-24,2.85295354783787e-21
"Stx11",944.618612951197,2.98341761763866,0.297129609403539,10.0407954078612,1.00857560543663e-23,3.52978539729968e-21
"Nlrp3",1983.49875913632,6.36990074272605,0.641404757737807,9.93117164455136,3.04654486903239e-23,1.04252765418288e-20
"Cxcl16",3214.06219536201,3.39291753418958,0.343050271889125,9.89043825998242,4.58018335752279e-23,1.53326616353247e-20
"Birc3",1164.42614997651,2.6819667600698,0.272299664857844,9.84932082626668,6.90087117788558e-23,2.26098968655872e-20
"Zmynd15",167.068934816754,2.78740254511668,0.283654528667233,9.82675142968263,8.63596249739812e-23,2.77052471869653e-20
"Cx3cl1",546.630868084214,3.30489277315847,0.33739485002949,9.79532667101946,1.17915641157309e-22,3.70567950649265e-20
"Gm12250",720.888212175601,6.9027686024788,0.707072487294275,9.76246244411706,1.63144960475337e-22,5.02453849271942e-20
"Traf2",729.690167899131,0.970744434484798,0.100549707795963,9.65437350106129,4.7102953158299e-22,1.42223210918558e-19
"Cd69",1323.87552571522,8.26615948219625,0.873514544696936,9.46310457264817,2.98933194999339e-21,8.85244667268234e-19
"Csf3",110.348906547681,6.51348599961273,0.692621064758572,9.40411190335821,5.24714387395963e-21,1.52454280217178e-18
"Nfkbiz",2558.67751529853,3.23343207697458,0.34507518314543,9.37022491012304,7.23781315492247e-21,2.06398305134539e-18
"Mx2",786.243397334573,5.49473353504995,0.591284723578465,9.29287247909219,1.50179503876342e-20,4.20475305489416e-18
"Traf3",2122.94875907623,1.13563666079284,0.122489856813668,9.2712710287545,1.83940728191463e-20,5.05804155967918e-18
"Mnda",582.416520420517,5.12812969890386,0.556273471855146,9.21872057245833,3.00666208113896e-20,8.12273498025594e-18
"Gbp9",1122.94309403986,5.85871679949787,0.636205416469659,9.208844577288,3.29654115174362e-20,8.75231675787932e-18
"Angptl4",661.16475411631,2.54653637022413,0.277798630724989,9.16684277232853,4.87075455035407e-20,1.27126693764241e-17
"Fas",1573.40205551783,2.4510515049944,0.268997701914508,9.11179347462749,8.1031185409973e-20,2.07966537354696e-17
"Gbp4",444.570382354544,8.41415388449232,0.92466062146863,9.09972122650599,9.05639856056065e-20,2.28622100711596e-17
"Ifi47",1507.67644713975,3.89803416614551,0.430804761662595,9.04826156308468,1.4526246851472e-19,3.60789798815834e-17
"Gbp7",2009.83419834137,4.50722661533836,0.499151104402098,9.02978391831324,1.72011110020687e-19,4.20444298921993e-17
"Slfn8",1186.7698925488,5.73168717620325,0.636801028859872,9.00075049574789,2.24179895368658e-19,5.39397845122181e-17
"Tnfaip2",15191.6444448731,2.90776944462007,0.325394847939056,8.9361262571824,4.03051420674003e-19,9.54859819532149e-17
"Clec4e",3318.48268042705,7.77323879618362,0.8709418675083,8.92509487277525,4.45317354852188e-19,1.03900635566195e-16
"Bid",1322.08759995715,1.75476532548569,0.198410167028923,8.84413007540029,9.22441093408141e-19,2.12010005931223e-16
"Zbp1",320.936835579415,5.63410367969491,0.638702451196727,8.82117121852026,1.13268666764423e-18,2.56503558750786e-16
"Ccl3",13771.7708446445,5.65602148218465,0.646199315356108,8.75275065722985,2.08214388026387e-18,4.6468019727802e-16
"Igtp",1934.70025448439,4.6199136254607,0.528077814193228,8.74854709152814,2.16117180297799e-18,4.75426922772259e-16
"Irf1",5953.53423041895,3.11916171307126,0.357837143191342,8.7167075090452,2.86408789908315e-18,6.2118435997157e-16
"Exoc3l4",268.712529610093,1.99993582050984,0.230212860296279,8.6873331834545,3.71046690031731e-18,7.93576108305365e-16
"Myc",855.312500693233,1.43624009453092,0.167372947121965,8.58107668669019,9.39891929954846e-18,1.98265696292804e-15
"Ptx3",2500.85600507983,3.97330329196388,0.464179537679789,8.5598415471404,1.13022751008606e-17,2.35194235511017e-15
"Il12b",2569.00205274834,9.8538723033767,1.15370926873499,8.54103591815746,1.33023854472573e-17,2.73124578003087e-15
"Zswim4",849.115280452449,1.09522296058816,0.128439309767214,8.52716323821081,1.49980158609639e-17,3.03887429267084e-15
"Slc2a6",1429.07312960843,3.97416278278618,0.466321571050671,8.52236531505925,1.56327392060091e-17,3.12634481861472e-15
"Rtp4",864.323188299171,4.45576041883318,0.523213300705362,8.51614516073313,1.64952050285262e-17,3.25653413120865e-15
"Ccrl2",3193.81623330242,5.7791391996541,0.679458780436282,8.50550374217447,1.80808788540892e-17,3.52439814524202e-15
"Il27",428.837945203774,7.10907922659081,0.83994743673485,8.46371917536426,2.58983005549568e-17,4.98509912807225e-15
"Il1a",1551.52102856917,5.32688148596497,0.631568831064016,8.43436411671974,3.33008421079186e-17,6.33086009407208e-15
"Smurf1",2164.31350283461,0.760200496372444,0.0902614369817419,8.42220688915264,3.6945789368866e-17,6.93814890842886e-15
"A4galt",53.5211459240068,3.67853828045109,0.442405535054556,8.31485591607137,9.18638080298151e-17,1.70435033717003e-14
"H2-M2",342.936352982069,7.5972408253616,0.916652743457154,8.28802496865783,1.15144411372561e-16,2.11084379848342e-14
"Ddx60",636.294951317004,4.88444587543451,0.593708300306606,8.22701295048772,1.91939714240146e-16,3.4772701877459e-14
"Gpr84",154.476632989217,4.7697143758236,0.580119700134157,8.22194863356747,2.00222947430153e-16,3.5851548459034e-14
"Oasl1",735.976333923239,4.49350671599596,0.548252957138189,8.19604647360498,2.48422324978713e-16,4.39707515212322e-14
"Tgtp1",296.81276511603,4.25324303855204,0.521985961030217,8.14819431188845,3.69398457912699e-16,6.46405324249733e-14
"Ccl4",8383.81267021937,5.35063684375718,0.657532987980643,8.13744244252989,4.03715210684223e-16,6.9851803700296e-14
"Il6",901.482370687903,4.90781154010487,0.603554685345386,8.13151096208683,4.23972178006441e-16,7.2541639656902e-14
"Madcam1",28.1661150769718,5.09582578796272,0.635174570002077,8.02271694842263,1.03431500323322e-15,1.75026557525148e-13
"Selp",453.96763759919,3.62124563912364,0.452250677420843,8.00716465429167,1.17383283498074e-15,1.96476650281178e-13
"Ccl8",88.1301713582011,4.05755884032699,0.50754569056391,7.99447008567609,1.30132348835539e-15,2.15473982765426e-13
"Pyhin1",497.447032921615,6.63217994768793,0.833936264537934,7.95286190289696,1.8225146563874e-15,2.98562799933081e-13
"Cdk6",715.457400520997,1.07897583042529,0.135999362190927,7.93368301911981,2.12740668532304e-15,3.44841426813574e-13
"Psmb10",1102.92982971717,2.40382886799933,0.303425325975415,7.92230793613484,2.33142047815382e-15,3.73974416073861e-13
"Slco5a1",81.6294257673765,1.9805863347688,0.25098996540253,7.89109768429347,2.99540069966937e-15,4.75527581177408e-13
"Irf7",1116.95633127904,4.01128088006454,0.513386001015505,7.81338188444954,5.56735865258934e-15,8.74813835624726e-13
"Rnd1",2498.41783170326,2.64620951066462,0.338819019009704,7.81009731507675,5.7143847038732e-15,8.88846566211549e-13
"Tnip3",128.154069109834,4.3241834899143,0.555482614705418,7.78455234320427,6.99604752872191e-15,1.07732135894789e-12
"Icosl",523.46454373964,3.96592057327632,0.510365357072232,7.77074799125722,7.8023993883749e-15,1.18959552655035e-12
"Ier3",4481.61577404948,2.10595377627206,0.271651190330034,7.75241873121738,9.01585171960854e-15,1.36112843755149e-12
"Nfkb2",3820.98805340052,2.08087357923298,0.269144370297057,7.73144010753894,1.0633670338141e-14,1.589785335311e-12
"Lrig1",1358.34812741257,1.52615839902484,0.19783648352431,7.71424143736009,1.21703894045017e-14,1.80203679269156e-12
"Il1b",2057.1731566509,9.08847874504926,1.17876779617913,7.71015188445832,1.25668088169887e-14,1.84301227593151e-12
"Slfn5",3261.90799449053,5.51028399801769,0.714828538569784,7.70853946184433,1.27265769819585e-14,1.84883546174697e-12
"Ifit3",3774.1442724181,4.536048246751,0.58929678839191,7.69739176608971,1.38871629192534e-14,1.99858338124845e-12
"Cd40",1225.25498214934,5.24224979711298,0.681903028213782,7.68767637070749,1.49831223040854e-14,2.13634352185751e-12
"Psd",244.075050274967,1.87607883170288,0.245980644933622,7.6269367950033,2.40397378463868e-14,3.39621947794964e-12
"Ifih1",3454.20878121988,3.64209843191426,0.477796141469436,7.62270373451152,2.48416595037379e-14,3.47760649725509e-12
"Ifi203",733.579728993557,5.62909994675759,0.739226014873232,7.61485639506736,2.63984803807272e-14,3.66225404849386e-12
"D630003M21Rik",60.8695248437066,2.98467746381796,0.392869623039293,7.59711947370247,3.02794966714944e-14,4.16316043968162e-12
"Usp18",1258.76837713473,4.61494978782789,0.609324886508737,7.57387379049996,3.62256366732181e-14,4.93662459407863e-12
"Map3k8",400.128402589711,2.80408216297067,0.37196785477014,7.53850669355146,4.7538358509942e-14,6.42143142714558e-12
"Serpina3g",702.663698269886,4.99345602451016,0.668935317651037,7.46478156071151,8.3437914681768e-14,1.11726995494308e-11
"Trim30d",892.518334532043,4.06478303127226,0.545763005766778,7.44789036325645,9.48445856403342e-14,1.25906187437544e-11
"Slc25a25",837.881130985297,1.47210646345621,0.198856916906923,7.40284263858545,1.33299679855194e-13,1.7544288633249e-11
"Lcn2",87.6975035751101,6.45258797827788,0.872356049109652,7.39673667061007,1.39571938083735e-13,1.82141379199274e-11
"I830012O16Rik",1312.21502003062,4.98368440728247,0.674285066605637,7.3910644831131,1.45657954113179e-13,1.88486288688138e-11
"Oas3",304.212862201797,4.83862389518253,0.65635320279692,7.37198184539008,1.68109914930463e-13,2.15727048334516e-11
"Nfkb1",3984.78706344061,1.92939807633264,0.262289974056921,7.35597341556764,1.89540738366107e-13,2.41218002487577e-11
"Irgm2",2956.28164947092,3.63337539390708,0.49422367246291,7.35168223691219,1.95727675027711e-13,2.47050038340305e-11
"Kcnn3",97.804949803066,2.5084158333967,0.341618908642791,7.34273124213855,2.09278505894942e-13,2.62006480672863e-11
"Phf11d",418.167393831473,4.58042801179294,0.624172634215927,7.33839928363213,2.16163482090714e-13,2.68443666186686e-11
"Bdkrb1",27.4258992409682,4.33801096263386,0.595618104159817,7.28320870762162,3.2597232844007e-13,4.01571830851891e-11
"Casp4",837.368488634813,3.90007480166959,0.537264653065546,7.25913156470724,3.89583410131918e-13,4.7612658195408e-11
