"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Ccl2",17265.7628431435,7.5700017043359,0.304839018616956,24.832784656901,3.96856491237298e-136,5.86474522750479e-132
"Bcl3",542.191909864064,3.60346386882993,0.167267967469061,21.5430600571891,6.15065130516502e-103,4.54471624938644e-99
"Cxcl1",10684.5008239214,11.0150705042936,0.6016165853814,18.3091204131457,6.99912398927091e-75,3.44776847711485e-71
"Zc3h12a",1292.20490690209,3.86068670880949,0.211149732414238,18.2841184057743,1.1073951604965e-74,4.09127142045433e-71
"Nfkbia",4621.41554839239,4.58170098038951,0.27078939872628,16.9197945042922,3.21550447111795e-64,9.50374501483622e-61
"Ccl7",3852.27638056581,6.83784670213272,0.41495687110807,16.4784515650348,5.24100548308262e-61,1.29085965048325e-57
"Plscr1",1277.76159792451,2.28581544077266,0.145028537810022,15.7611424295467,5.75825874504408e-56,1.21565068191802e-52
"Relb",1295.4853938014,2.98973817851603,0.190080003057527,15.7288411743722,9.59510838507714e-56,1.77245639643337e-52
"Rsad2",27443.3502710739,9.30480689223889,0.61093371901266,15.2304687115266,2.21994296028559e-52,3.64514634078893e-49
"Gbp2",8473.6036933174,6.52408914228997,0.437437124685468,14.9143471692784,2.6586479615382e-50,3.92894995756116e-47
"Nfkbie",1016.02424114679,4.66476645641061,0.312988747016064,14.9039430359175,3.10690214838878e-50,4.1739818135354e-47
"Gbp3",2889.90377377774,6.71148618702381,0.456186274957981,14.712161578386,5.38591229629022e-49,6.6327509928814e-46
"Cmpk2",9674.92271160462,8.9056794168503,0.608796989904665,14.6283236686911,1.8529649312601e-48,2.10639351955091e-45
"Gbp5",4385.47406799257,10.1354905919123,0.709260943742145,14.2902138928393,2.5183477927558e-46,2.65829597723894e-43
"Ccl20",1904.61878304562,7.93075016674196,0.577186461723705,13.740360685276,5.81851991218052e-43,5.73240581748025e-40
"Cxcl10",15965.2420614421,9.85710640516663,0.730159814897592,13.4999300208669,1.56524749639364e-41,1.44570171885658e-38
"Nfkbiz",2558.67751529853,4.64316731751742,0.350488318684879,13.2477091816919,4.65187082328922e-40,4.0438439427393e-37
"Tnfaip3",5080.34747459041,5.39305084270395,0.412330389386617,13.0794406173328,4.31604650862249e-39,3.54347418357906e-36
"Cebpd",663.617421492679,3.22772022864964,0.247709433494902,13.0302676935236,8.23183419485797e-39,6.40263398587426e-36
"Tlr2",5672.31571847958,5.26626144735781,0.40496782116581,13.0041479152527,1.15883349348493e-38,8.56262068336017e-36
"Isg15",3313.8275435589,6.31494324159032,0.48660607556458,12.977526501829,1.64094777781117e-38,1.15475839335683e-35
"Lif",2365.21478317592,2.95814043626935,0.22910118128245,12.9119388198282,3.85471474767779e-38,2.5893170245992e-35
"Ccl5",3017.61263200728,8.74179857754997,0.685469930838517,12.7530008017366,2.99971997415798e-37,1.92738529470029e-34
"Ripk2",3413.59222907689,3.97591131679585,0.312769913493834,12.7119366194224,5.07615407042382e-37,3.12564186886347e-34
"Saa3",1775.12562356881,6.1306868959445,0.482520738891727,12.7055407194014,5.50873461615514e-37,3.25632320630163e-34
"Neurl3",3768.26437240654,4.86380192220748,0.386226298478817,12.593140191033,2.30324865932346e-36,1.3091311033647e-33
"Csf1",31219.2990703547,2.29395002502093,0.184673800580222,12.4216321850399,1.99450347928116e-35,1.09165823765989e-32
"Pglyrp3",147.787227265943,5.58792709187279,0.45027043411817,12.410157692935,2.30198958037446e-35,1.21495721495621e-32
"Irf1",5953.53423041895,4.44099851831584,0.359454424355253,12.3548305916156,4.58721460887334e-35,2.33758129275622e-32
"Gbp6",1011.75811711781,7.50313092872767,0.614420224441214,12.2117251845859,2.69121397647411e-34,1.32569200481115e-31
"Stx11",944.618612951197,3.72456454010454,0.305263494237503,12.2011462569669,3.06478920159885e-34,1.46101467165251e-31
"Icam1",9514.89290808168,3.98856046921656,0.327136387620898,12.1923473515844,3.41442409180423e-34,1.57682372589634e-31
"Ifi205",1093.99571714932,9.15281271797415,0.754279551790692,12.1345099389808,6.93237802673872e-34,3.10444492361045e-31
"Mx1",1700.03857652327,8.9772550830009,0.74393488003648,12.0672592775334,1.57285805362439e-33,6.83638126954742e-31
"Ifit2",11143.5420904417,6.00050045234138,0.503067222424705,11.9278302876103,8.4753790296189e-33,3.57854717999166e-30
"Steap4",1445.25952489388,7.16078211436286,0.607807651586165,11.7813293328502,4.87186067123919e-32,1.99989880554369e-29
"Gm12250",720.888212175601,8.64549162486902,0.736001138810817,11.7465737061737,7.35406063233035e-32,2.93725156823184e-29
"Traf2",729.690167899131,1.20398685487417,0.102530756898175,11.7426896211239,7.69981157205681e-32,2.99441619504883e-29
"Tnip1",2381.05870413358,1.82476169728887,0.156106770811149,11.6891899551006,1.44760693562915e-31,5.48531674223783e-29
"Nos2",1549.38240319626,10.2598590222239,0.886223609885741,11.5770544902846,5.38651874783995e-31,1.99004935138947e-28
"Cd69",1323.87552571522,8.96382383045955,0.77832127854073,11.5168685189563,1.08482229347238e-30,3.9101228909597e-28
"Vcam1",30740.7157796357,4.2045015729261,0.367646353389372,11.4362662220483,2.75488115251851e-30,9.69324611236155e-28
"Mx2",786.243397334573,7.04490263303744,0.61770125754755,11.4050320392866,3.94631968737841e-30,1.35624912418786e-27
"Oasl2",2082.85553838586,5.56516903340985,0.490023096697833,11.3569525006319,6.84924196488451e-30,2.30041131266053e-27
"Ifi47",1507.67644713975,4.93521595233092,0.435683241661119,11.3275322078365,9.58678035728125e-30,3.14829866933116e-27
