"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Eng",933.253559452165,-1.88796924738985,0.167672839241761,-11.2598394345053,2.07135772929253e-29,3.31852221809956e-25
"Crtap",1509.16958280303,-0.916047502739715,0.0838294290347206,-10.927516902928,8.51465119318536e-28,6.82066133830113e-24
"Rcn1",5475.24343927321,-1.05749006064145,0.0991770435617958,-10.6626495675135,1.52198597698545e-26,7.10728732706922e-23
"Tom1l1",371.221532531474,-1.50867268856158,0.14168112292195,-10.6483676685191,1.77449280995424e-26,7.10728732706922e-23
"Dpysl3",10442.1951480007,-2.38707552086668,0.225549948801098,-10.5833565183902,3.5597270661376e-26,1.14060774653181e-22
"Olr1",2827.22090423249,2.94695522618019,0.281559705402956,10.466537539392,1.23062207271429e-25,3.28596603782593e-22
"Kidins220",8189.88541402644,0.575808143568531,0.0557636902586456,10.3258615220369,5.38333390263458e-25,1.23209132077298e-21
"Npl",168.630618912821,2.97162299189356,0.290283216137314,10.2369783256359,1.35399163156849e-24,2.71153749116985e-21
"Fam101b",598.252520353915,-1.89184174952969,0.188138665764963,-10.0555712024296,8.68164939331495e-24,1.5454300547811e-20
"Col10a1",87.247399306314,-4.36954489394742,0.436467602028593,-10.0111551777013,1.36153332936129e-23,2.18131254696972e-20
"Pdia5",1248.52333624565,-1.03900312371046,0.105655071437499,-9.83391624816697,8.04288719819599e-23,1.17140996183907e-19
"Stk10",1304.70758878313,1.37774982496442,0.142058307574062,9.69848119756126,3.06019902301112e-22,4.08562071230509e-19
"Col12a1",23813.0074567768,-2.4757870408384,0.262425655763068,-9.43424160888321,3.93832879413279e-21,4.8535358162155e-18
"Bcat1",839.327654989565,-2.52309707321754,0.269897458239163,-9.3483543330807,8.90219978531048e-21,1.01872959114614e-17
"Gm2115",113.515530134006,-2.77366392895121,0.297080663523431,-9.33640007415848,9.96651937123092e-21,1.06449071230994e-17
"Itga8",2624.98457110116,-2.80869199939464,0.301223089177313,-9.32429186310259,1.11727156335746e-20,1.11873798228437e-17
"Ppap2a",2433.14101205673,-1.30817783764579,0.140922172443492,-9.28298091750145,1.64802039155321e-20,1.46682970517077e-17
"Sp3",951.067421811495,-2.25716671489851,0.243003700887975,-9.28861044770286,1.56315653306138e-20,1.46682970517077e-17
"Dmd",1059.10634262096,-1.59844360279353,0.17298095991662,-9.24057539953541,2.45175194927914e-20,2.06734305154742e-17
"Bcar3",333.368134828467,2.08542669283767,0.226405795135479,9.21101287000964,3.23061906940242e-20,2.58788740554481e-17
"Impdh1",758.911794950296,-1.27116199450646,0.138293700894582,-9.1917562859601,3.86478890079867e-20,2.94846585617598e-17
"Chd5",207.131209232685,2.05129152153981,0.225247358488984,9.10683941112733,8.48168038807414e-20,6.17659097715163e-17
"Pdgfd",502.382805521481,-1.12952040014732,0.125728284181643,-8.98382100335891,2.61523047036108e-19,1.82167858111543e-16
