Gene_name,468-4_LPS,685-2_LPS-2,697-3_LPS-2,697-1_LPS-1,697-5_LPS,697-2_LPS,685-1_LPS,468-6_LPS,685-2_CTRL-3,697-3_CTRL-3,697-1_CTRL-3,468-4_CTRL,685-1_CTRL,697-5_CTRL,697-2_CTRL,468-6_CTRL
0610005C13Rik,1,7,4,18,2,2,19,6,5,11,12,8,10,1,13,0
0610007P14Rik,97,911,333,1581,919,191,1684,641,625,1153,996,1180,1087,221,1145,58
0610009B22Rik,65,354,161,634,718,125,881,443,259,555,405,718,697,192,864,41
0610009L18Rik,4,33,19,49,53,12,39,17,21,45,37,51,37,16,58,4
0610009O20Rik,98,741,386,1268,1018,185,1424,666,501,1285,876,1189,1051,334,1475,50
0610010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,124,641,308,1390,1259,360,2555,807,402,958,852,1189,1572,307,1667,50
0610010K14Rik,65,455,230,640,783,151,1000,513,292,795,444,654,675,174,898,42
0610011F06Rik,45,288,201,406,608,125,1023,406,194,462,316,498,707,123,689,42
0610012G03Rik,98,522,336,745,1003,187,1240,614,333,840,554,1081,941,287,1574,64
0610030E20Rik,95,633,251,1175,1103,311,2160,705,410,930,661,1005,1419,319,1715,59
0610031J06Rik,779,5585,2337,7437,13410,2283,13457,6351,2935,6439,4746,8806,8560,3145,12881,578
0610031O16Rik,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,90,597,323,904,1045,205,1324,641,363,912,623,836,679,213,884,52
0610038B21Rik,1,9,3,9,11,3,17,3,6,17,3,11,6,2,11,1
0610039K10Rik,2,4,1,17,13,2,14,7,12,5,4,6,16,1,13,0
0610040B10Rik,3,18,9,38,37,8,61,37,12,43,25,43,41,9,35,2
0610040F04Rik,0,2,0,2,13,2,10,6,2,4,6,4,5,0,3,0
0610040J01Rik,0,5,0,9,18,4,5,5,5,7,1,12,26,15,87,1
0610043K17Rik,1,2,1,15,14,2,28,4,4,4,5,7,13,1,11,0
1010001N08Rik,11,92,23,89,269,47,699,264,68,66,72,97,517,63,389,34
1100001G20Rik,0,0,0,0,0,0,0,4,0,0,0,1,0,1,0,1
1110001J03Rik,9,121,70,145,251,42,326,174,73,190,114,205,244,39,202,10
1110002L01Rik,24,115,75,168,206,34,300,154,61,191,130,230,255,54,238,18
1110004E09Rik,52,313,158,468,579,126,902,400,186,470,247,473,504,132,630,27
1110004F10Rik,232,1405,790,2454,2594,625,4172,1704,894,2245,1579,2539,2491,683,3017,134
1110006O24Rik,1,21,16,46,28,4,49,10,12,53,26,29,42,8,30,2
1110007C09Rik,141,752,373,729,3483,579,2921,1453,468,981,676,1737,2311,747,3065,115
1110008F13Rik,111,740,471,759,1396,286,1391,661,405,1185,478,1238,797,299,1169,58
1110008L16Rik,65,373,194,699,499,131,919,350,192,494,340,468,515,133,546,21
1110008P14Rik,65,392,176,585,896,138,991,517,192,534,295,758,651,198,774,42
1110012L19Rik,88,633,321,942,824,136,1349,698,416,1000,638,1044,1100,241,977,66
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1110017D15Rik,2,9,8,12,44,4,37,9,1,13,8,10,11,9,14,0
1110019D14Rik,8,48,33,103,116,17,177,91,32,119,83,128,154,40,179,13
1110020A21Rik,1,4,0,11,5,2,11,7,4,18,6,15,8,1,7,1
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
1110028F18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110032A03Rik,58,338,172,516,833,119,984,634,223,520,389,672,690,215,735,55
1110032F04Rik,0,0,0,4,3,2,1,1,0,0,0,1,1,0,4,0
1110034G24Rik,14,107,50,141,227,35,270,128,102,142,119,232,248,76,305,16
1110036E04Rik,1,0,0,5,0,0,5,6,1,0,0,0,0,1,0,0
1110037F02Rik,512,2905,1538,5463,5133,1191,7338,2868,1962,4747,3302,4502,4491,1227,5300,242
1110038B12Rik,375,2094,1023,3671,2479,442,3000,1357,1292,2885,2317,3782,1765,539,2380,109
1110038F14Rik,106,718,330,1120,1584,512,2117,547,258,762,435,595,545,158,680,44
1110046J04Rik,22,67,54,142,189,27,144,127,40,117,63,192,80,52,154,12
1110051M20Rik,70,433,190,701,715,103,1016,513,318,725,448,714,604,184,618,44
1110054M08Rik,10,63,31,91,79,16,88,48,33,90,78,101,76,20,82,9
1110057K04Rik,219,1242,607,1957,2718,528,3262,1460,802,1863,1295,2187,2125,673,2877,131
1110058L19Rik,58,249,104,433,513,93,747,342,187,450,321,567,500,128,518,28
1110059E24Rik,58,375,199,779,619,170,1051,312,288,609,486,597,643,152,772,31
1110059G10Rik,36,263,115,534,489,133,861,307,187,388,355,451,503,109,623,32
1110065P20Rik,28,161,144,158,330,42,211,144,114,295,98,303,186,57,197,16
1190002F15Rik,1,51,9,58,5,0,17,4,36,36,66,17,20,1,15,0
1190002N15Rik,156,1194,561,3032,1441,601,5786,1296,1635,3244,4633,3309,8257,717,6373,148
1190003K10Rik,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1190005I06Rik,6,11,12,31,47,5,65,12,20,45,48,89,45,32,83,0
1190007I07Rik,16,62,29,87,91,24,156,71,41,92,83,102,117,27,174,7
1200014J11Rik,164,1163,572,1994,1598,378,2585,1048,851,1760,1369,1507,1764,462,2355,72
1300002E11Rik,12,131,67,192,175,48,283,144,79,162,163,145,221,51,185,9
