"","x"
"1","Fn1"
"2","Sparc"
"3","Thbs1"
"4","Ctsd"
"5","Col1a1"
"6","Col1a2"
"7","Ctsb"
"8","Col5a2"
"9","Timp2"
"10","Acta2"
"11","Col4a1"
"12","Fth1"
"13","Bgn"
"14","Flna"
"15","Fbln2"
"16","Tagln"
"17","Lrp1"
"18","Itgb1"
"19","Eef2"
"20","Sqstm1"
"21","Psap"
"22","Gpnmb"
"23","Tpm1"
"24","Apoe"
"25","Timp3"
"26","Lyz2"
"27","Col4a2"
"28","Vim"
"29","App"
"30","Hmox1"
"31","Spp1"
"32","Cald1"
"33","Col3a1"
"34","Ctsl"
"35","Hspg2"
"36","Hsp90ab1"
"37","Eef1a1"
"38","S100a6"
"39","Nedd4"
"40","Msn"
"41","Tnc"
"42","Mgp"
"43","Lamp1"
"44","Lgals1"
"45","Tnf"
"46","Lox"
"47","Calu"
"48","Ddb1"
"49","Myh9"
"50","Hsp90b1"
