"","x"
"1","Fn1"
"2","Thbs1"
"3","Eef1a1"
"4","Spp1"
"5","Ftl1"
"6","Bgn"
"7","Sparc"
"8","Ctsd"
"9","Vim"
"10","Timp2"
"11","Fbln2"
"12","Col1a2"
"13","Col1a1"
"14","Lrp1"
"15","Fth1"
"16","Col12a1"
"17","Acta2"
"18","Eef2"
"19","Flna"
"20","Itgb1"
"21","Pkm"
"22","Ubc"
"23","Lox"
"24","Tnc"
"25","Actg1"
"26","Col5a2"
"27","Sqstm1"
"28","Ctsb"
"29","Cald1"
"30","Psap"
"31","Hmox1"
"32","Nid1"
"33","Ahnak"
"34","Nedd4"
"35","Tagln"
"36","Hspg2"
"37","Hsp90ab1"
"38","Sptbn1"
"39","Myh9"
"40","Lamp1"
"41","Ctsl"
"42","Hspa8"
"43","Calu"
"44","Actb"
"45","Flnb"
"46","Msn"
"47","S100a6"
"48","Col4a1"
"49","Hsp90b1"
"50","Fstl1"
