Ensembl,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000026621,1-Mar,2,4,0,0,3,0,0,2,1,4,3,5,1,3,0,1
ENSMUSG00000036469,1-Mar,108.119,123.8893,90.14046663,59.24319004,79.150254,10.21720341,2,20.56681072,136.0651781,292.64485,278.108605,371.6042,266.4216505,22.05236,0,18.11860052
ENSMUSG00000073481,2-Mar,1427.15804,1325.0856,1070.9543,812.15134,1004.36046,509.441083,718.40413,1101.51877,868.753,2020.380691,1872.5456,2572.2902,1694.87261,1254.05784,1213.2389,910.06209
ENSMUSG00000079557,2-Mar,2160.2676,1851.497058,1529.31329,1062.5468,1300.877501,903.74231,987.82145,2099.7192,1217.1941,2535.15296,2792.127184,3728.451,2402.7429,1928.23962,1743.2566,1527.3991
ENSMUSG00000032656,3-Mar,233.0037,227.0222,163.00911,161.0125,224.74903,128.03145,47,303.0414,80.00207,166.56099,107.0082,183.3511,119.00389,185.0225,76.00005,137.01028
ENSMUSG00000039372,4-Mar,12.913,18.4325,10.9495,6.88326,10.34,6.03356,4.00718,18.2106,8.76175,17.8732,15.8695,19.1506,24.1265,17.204,2.00441,10.3705
ENSMUSG00000023307,5-Mar,4348.002,4049.005,3303.9978,2631.9984,3264.0039,1269.9999,1533.00032,3111.9984,1862.0001,3772.9993,3465.9958,5089.005,3303.002,2882.0053,2903.9974,2063.0034
ENSMUSG00000039100,6-Mar,3222,3076,2480,1974,2363,1483,1847,3770,2314,4813,4333,5911,3993,3683,3513,2594
ENSMUSG00000026977,7-Mar,3723.0663,3535.637772,3051.628991,2024.519775,2574.222309,1441.683713,1619.0001,3486.1701,2112.466767,4607.727623,4418.314699,6054.620095,4105.94212,3531.13481,3568.2233,2466.10986
ENSMUSG00000025702,8-Mar,3087.0009,2869.99837,2208.004804,1727.004,2073.0006,1368.99895,1779.99683,3691.99554,2167.0026,4489.00352,4439.997753,5652.998,3734.9953,3527.00069,2869.996758,2457.99671
ENSMUSG00000040502,9-Mar,290,273,234,119,145,103,163,311,120,289,327,492,312,238,199,193
ENSMUSG00000078627,10-Mar,5,0,3.28632,1.28632,1,2,0,6.37892,7,7.170897,10.38696,8.86174,7.19895,5,0,3.32609
ENSMUSG00000022269,11-Mar,9.000000516,11.99997,14,7,5,8,0,15.0000014,1,2,4,15,11,5,0,3
ENSMUSG00000000486,1-Sep,69.99994,50.00001,64.00006,37.00001,42.0000408,15.00003,40,35.00006,42.99996,99.00007,139.99998,192,100,32.00003,18,18
ENSMUSG00000026276,2-Sep,14770.00264,14157.00705,11781.00012,8509.001247,10920.00612,4622.99881,4592.9964,10617.00157,8671.99785,18084.0074,16602.00099,23735.00255,15502.04441,10875.0032,9508.993111,7555.0013
ENSMUSG00000022456,3-Sep,305.8851,304.385,256.575,145.2693,175.521,149.75056,587.762,456.888,197.896,502.5844,572.5777,781.919,492.5130012,493.2533,935.1314,368.495
ENSMUSG00000020486,4-Sep,42.000007,30.99999,23,23.999991,38.99999327,4,1.999998,23.01598,28,51.036788,47.01567,62.01433,43.00005,16.02442,4.999997,13.00000673
ENSMUSG00000072214,5-Sep,3249.97,2987.98,2513.19,1836.82,2080.61,1045.36,1326.18,2258.92,1964.71,4355.52,4562.57,6444.68,3863.62,2330.38,1935.87,1636.3
ENSMUSG00000050379,6-Sep,527.9995,473.9999,393.0003,363.0002,437.9998,68.9300513,71,200.9998,443.66484,988.00032,749.0004,1040.9998,695.99912,234.0001,187.000461,157
ENSMUSG00000001833,7-Sep,12274.9712,11524.96222,10167.03591,7107.003599,9220.996793,6847.995964,4621.002415,16233.02933,7794.002626,16029.00266,14066.00398,19979.00162,13635.04392,16614.99674,9592.999404,12104.0313
ENSMUSG00000018398,8-Sep,6070.9947,5624.00604,4582.0027,3164.9985,3919.99994,1630.999984,1751.0004,4216.00299,3873.996647,8039.99512,8374.00001,11581.00328,7407.00398,3971.991363,3299.999652,2819.99747
ENSMUSG00000059248,9-Sep,8924.0009,8353.9727,6538.9995,5197.9798,6067.979756,1894.000422,1697.00052,4447.9932,5246.997,11059.00001,10219.99184,14356.94881,8853.9959,4195.71511,2079.000548,2845.96673
ENSMUSG00000019917,10-Sep,906,819,747,485,675,167,203,432,544,1223,982,1399,917,403,475,299
ENSMUSG00000058013,11-Sep,11087,10657,8610,6891,8868.94,2340,1010,5355,7375,16157,13001,17705,11337,5561,1146,4039
ENSMUSG00000022542,12-Sep,0,0,0,1,0,0,0,5,2,1,2,5,0,0,0,0
ENSMUSG00000034219,14-Sep,0,2,1,0,0,0,10,0,3,1,1,2,2,0,13,0
ENSMUSG00000037072,15-Sep,17158.0009,15308.999,13502.0011,9263.0043,11811.0021,6199.99729,6131.9897,14694.0035,10563.0005,21392.9906,20326.0074,28764.9599,18925.9951,14633.0035,12978.9891,10800.9986
ENSMUSG00000085214,0610005C13Rik,21.1351,32.12086,22.0825,16.83126,16.16051,17.8689,3.43401,44.27368,20.67875,48.50684,45.95412,64.36034,34.74596,45.75006,32.762,26.71778
ENSMUSG00000021252,0610007P14Rik,1217.1001,1105.45192,947.52537,677.40435,812.14,382.17937,486.288,867.39941,774.57725,1630.7295,1518.066,2158.473,1424.6718,859.1927,1019.8311,643.26355
ENSMUSG00000007777,0610009B22Rik,469.9767,444.129,382.369,268.12,342.548,222.51,314.42,418.063,354.812,724.16558,670.67955,998.08284,590.9923,479.533,833.295,368.486
ENSMUSG00000086714,0610009E02Rik,34.9705,16.1863,28.2945,10.99404,14.82885,25.06157,54.5978,39.82516,16.85852025,42.4971,30.7956,46.8968,44.28334,47.1359,54.5136,32.07728
ENSMUSG00000043644,0610009L18Rik,18,13,23,8,17,14,10,36,19,48,31,45,29,31,19,29
ENSMUSG00000024442,0610009O20Rik,1004,943,786.859,523.956,643.978,336.934,289,842.946,611.972,1271.97,1284.76,1919.18,1160.55,863.966,436,636.905
ENSMUSG00000042208,0610010F05Rik,1093.0006,1059.99989,882.9996233,641,834.0013,387.0003501,283.0000004,952.99952,698.0009312,1479.9986,1371.00081,1950.00025,1220.9993,987.99922,910.001,673.9998
ENSMUSG00000020831,0610010K14Rik,415.14049,349.62497,333.9477271,218.5652479,265.9493094,191.428466,212.4668,475.8611,256.732031,482.5411,524.19,786.1435,432.68157,318.07122,522.208331,250.55568
ENSMUSG00000025731,0610011F06Rik,299.0093,221.5287181,218.24887,138.33231,156.9349078,94.204,225.688738,303.6152539,177.2662,353.55627,380.657,514.3668,334.76214,275.78984,365.3742,223.48431
ENSMUSG00000089755,0610012D04Rik,0,1,1,1,0,1,0,3,0,0,1,1,0,1,0,0
ENSMUSG00000096232,0610012G03Rik,103,89,88,50,43,17,35,92,49,107,161,330,126,61,60,66
ENSMUSG00000046683,0610025J13Rik,1,2,0,0,1,0,0,1,1,1,2,0,1,0,0,0
ENSMUSG00000058706,0610030E20Rik,810.552,709.188,593.497,404.631,526.572,315.506,303.91,805.329,454.105,971.266,953.844,1293.84,848.806,723.485,437.777,533.115
ENSMUSG00000001418,0610031J06Rik,7780.4068,7189.385,6084.9246,4314.6583,5125.7599,2993.5359,3793.40108,6981.2737,4886.79754,10226.3157,10237.61,14237.796,8704.6461,6659.2681,6917.2362,5151.008
ENSMUSG00000099146,0610031O16Rik,19.6543,17.5545,13.2266,5.79031,14.131,4,0,29.34735,4.07532,11.4311,14.549,20.5847,24.34465,16.6622,37.1917,6
ENSMUSG00000028608,0610037L13Rik,1081.999786,897.9995565,818.99897,585.00024,727.999749,364.9998477,252.9995377,952.000889,626.0000502,1367.00044,1260.99922,1650.00066,1106.00024,891.9999,839.00019,709.0002957
ENSMUSG00000058812,0610039K10Rik,3.00562,1.002272,0,0,1.004518,1.00445,0,3.010744,2.004502,1.002347,2.00793,2.007461,3.010962,1.004085,0,1.00327
ENSMUSG00000089889,0610040B10Rik,27,28,18,20,25.99997,23,8,59.99996,34,41,46,58,38,53,38,42.99996
ENSMUSG00000087341,0610040F04Rik,2.05365,1.02425,2.07002,2.0391,4.09262,0,0,1.01518,1.02951,6.15916,1.03953,5.16269,2.05583,1.03108,0,1.04702
ENSMUSG00000060512,0610040J01Rik,2,2,2,0,1,0,0,8,2,9,6,10,8,18,11,5
ENSMUSG00000087361,0610043K17Rik,8,4.999999,9,5,7,2.999999,6,4,4,5,3,7,2.999999,7.999998,3,6
ENSMUSG00000097863,1010001B22Rik,7.68803,0,1.27025,1.41022,2.71941,6.39973,0,9.19085,2.57782,15.2866,10.0438,10.913,11.4592,8.1836,7.89943,6.54324
