Ensemble_ID,Gene_name,P8_4_Lps3,P8_4_Lps5,P8_4_Lps4,P7_4_Lps1,P7_4_Lps2,P4_5_Lps2,P4_5_Lps3,P4_5_Lps1,P7_4_Ctrl1,P7_4_Ctrl2,P8_4_Ctrl3,P8_4_Ctrl4,P8_4_Ctrl5,P4_5_Ctrl1,P4_5_Ctrl3,P4_5_Ctrl2
ENSMUSG00000036469,1-Mar,109,125,91,60,80,11,3,22,137,294,279,373,267,23,1,19
ENSMUSG00000073481,2-Mar,1428,1326,1072,813,1005,510,719,1103,870,2021,1874,2573,1696,1255,1214,911
ENSMUSG00000079557,2-Mar,2161,1852,1530,1064,1302,905,989,2101,1218,2536,2793,3729,2404,1929,1744,1528
ENSMUSG00000032656,3-Mar,234,228,164,162,226,129,48,304,81,168,108,184,120,186,77,138
ENSMUSG00000039372,4-Mar,14,19,12,8,11,7,5,19,10,19,17,20,25,18,3,11
ENSMUSG00000023307,5-Mar,4349,4050,3305,2633,3265,1271,1534,3113,1863,3774,3467,5090,3304,2883,2905,2064
ENSMUSG00000039100,6-Mar,3223,3077,2481,1975,2364,1484,1848,3771,2315,4814,4334,5912,3994,3684,3514,2595
ENSMUSG00000026977,7-Mar,3724,3537,3053,2026,2575,1443,1620,3487,2113,4609,4419,6056,4107,3532,3569,2467
ENSMUSG00000025702,8-Mar,3088,2871,2209,1728,2074,1370,1781,3693,2168,4490,4441,5654,3736,3528,2871,2459
ENSMUSG00000040502,9-Mar,291,274,235,120,146,104,164,312,121,290,328,493,313,239,200,194
ENSMUSG00000078627,10-Mar,6,1,4,2,2,3,1,7,8,8,11,10,8,6,1,4
ENSMUSG00000022269,11-Mar,10,13,15,8,6,9,1,16,2,3,5,16,12,6,1,4
ENSMUSG00000000486,1-Sep,71,51,65,38,43,16,41,36,44,100,141,193,101,33,19,19
ENSMUSG00000026276,2-Sep,14771,14158,11782,8510,10921,4624,4594,10618,8673,18085,16603,23736,15503,10876,9510,7556
ENSMUSG00000022456,3-Sep,307,305,258,146,177,151,589,458,199,504,574,783,494,494,936,369
ENSMUSG00000020486,4-Sep,43,32,24,25,40,5,3,24,29,52,48,63,44,17,6,14
ENSMUSG00000072214,5-Sep,3251,2989,2514,1838,2082,1046,1327,2260,1966,4357,4564,6446,3865,2331,1937,1637
ENSMUSG00000050379,6-Sep,529,475,394,364,439,70,72,202,445,989,750,1042,697,235,188,158
ENSMUSG00000001833,7-Sep,12276,11526,10168,7108,9222,6849,4622,16234,7795,16030,14067,19980,13636,16616,9594,12105
ENSMUSG00000018398,8-Sep,6072,5625,4583,3166,3921,1632,1752,4217,3875,8041,8375,11582,7408,3973,3301,2821
ENSMUSG00000059248,9-Sep,8925,8355,6540,5199,6069,1895,1698,4449,5248,11060,10221,14358,8855,4197,2080,2847
ENSMUSG00000019917,10-Sep,907,820,748,486,676,168,204,433,545,1224,983,1400,918,404,476,300
ENSMUSG00000058013,11-Sep,11088,10658,8611,6892,8870,2341,1011,5356,7376,16158,13002,17706,11338,5562,1147,4040
ENSMUSG00000037072,15-Sep,17159,15310,13503,9264,11812,6201,6133,14695,10564,21394,20327,28766,18927,14634,12980,10802
ENSMUSG00000085214,0610005C13Rik,22,33,23,18,17,19,4,45,22,50,47,65,36,47,34,28
ENSMUSG00000021252,0610007P14Rik,1218,1106,949,678,813,383,487,868,776,1632,1519,2159,1426,860,1021,644
ENSMUSG00000007777,0610009B22Rik,471,445,383,269,344,224,315,419,356,725,672,999,592,481,834,369
ENSMUSG00000086714,0610009E02Rik,36,17,29,12,16,26,56,41,18,43,32,48,45,48,56,33
ENSMUSG00000043644,0610009L18Rik,19,14,24,9,18,15,11,37,20,49,32,46,30,32,20,30
ENSMUSG00000024442,0610009O20Rik,1005,944,788,525,645,338,290,844,613,1273,1286,1920,1162,865,437,638
ENSMUSG00000042208,0610010F05Rik,1094,1061,884,642,835,388,284,954,699,1481,1372,1951,1222,989,911,675
ENSMUSG00000020831,0610010K14Rik,416,351,335,220,267,192,213,477,258,484,525,787,434,319,523,252
ENSMUSG00000025731,0610011F06Rik,300,223,219,139,158,95,227,305,178,355,382,515,336,277,366,224
ENSMUSG00000096232,0610012G03Rik,104,90,89,51,44,18,36,93,50,108,162,331,127,62,61,67
ENSMUSG00000058706,0610030E20Rik,812,710,594,406,528,317,305,806,455,972,955,1295,850,724,439,534
ENSMUSG00000001418,0610031J06Rik,7781,7190,6086,4316,5127,2995,3794,6982,4888,10227,10239,14239,8706,6660,6918,5152
ENSMUSG00000028608,0610037L13Rik,1083,899,820,586,729,366,254,953,627,1368,1262,1651,1107,893,840,710
ENSMUSG00000058812,0610039K10Rik,4,2,1,1,2,2,1,4,3,2,3,3,4,2,1,2
ENSMUSG00000089889,0610040B10Rik,28,29,19,21,27,24,9,61,35,42,47,59,39,54,39,44
ENSMUSG00000087341,0610040F04Rik,3,2,3,3,5,1,1,2,2,7,2,6,3,2,1,2
ENSMUSG00000060512,0610040J01Rik,3,3,3,1,2,1,1,9,3,10,7,11,9,19,12,6
ENSMUSG00000087361,0610043K17Rik,9,6,10,6,8,4,7,5,5,6,4,8,4,9,4,7
ENSMUSG00000097863,1010001B22Rik,9,1,2,2,4,7,1,10,4,16,11,12,12,9,9,8
ENSMUSG00000097222,1010001N08Rik,11,9,8,10,17,2,1,14,4,13,14,9,12,8,6,4
ENSMUSG00000019689,1110001J03Rik,78,76,54,45,50,47,39,82,43,105,96,154,83,69,110,58
ENSMUSG00000090066,1110002E22Rik,46,41,40,20,23,1,2,11,9,14,19,16,15,5,3,7
ENSMUSG00000097134,1110002J07Rik,16,12,7,10,11,2,1,7,7,18,17,32,16,7,1,15
ENSMUSG00000071456,1110002L01Rik,371,333,270,215,200,126,104,368,241,549,483,638,436,391,202,273
ENSMUSG00000022972,1110004E09Rik,318,292,229,160,197,130,208,278,179,372,345,517,299,271,465,225
ENSMUSG00000030663,1110004F10Rik,2930,2581,2300,1586,2069,1077,1663,2488,1752,3843,3457,4806,3256,2445,3315,1746
ENSMUSG00000037960,1110007C09Rik,870,798,764,435,495,182,455,508,456,1038,1227,1827,1135,471,720,383
ENSMUSG00000027637,1110008F13Rik,2689,2517,2156,1451,1866,737,752,1668,1509,3349,3134,4636,2957,1682,1800,1163
ENSMUSG00000021023,1110008L16Rik,589,504,408,253,373,222,225,552,251,583,604,721,418,438,468,302
ENSMUSG00000039195,1110008P14Rik,500,399,391,206,224,140,263,420,188,398,588,1041,542,311,569,271
ENSMUSG00000045237,1110012L19Rik,819,739,627,446,600,411,481,941,613,1323,1169,1669,1092,1032,776,777
ENSMUSG00000028441,1110017D15Rik,16,15,10,12,10,4,11,13,7,14,9,27,8,8,1,4
ENSMUSG00000085151,1110018N20Rik,6,2,3,2,6,4,1,4,2,4,6,3,5,9,1,3
ENSMUSG00000097616,1110019D14Rik,119,84,106,68,90,46,11,107,88,189,144,237,151,134,134,87
ENSMUSG00000097047,1110020A21Rik,5,5,5,6,4,8,1,8,7,13,6,14,14,6,1,4
ENSMUSG00000037971,1110032A03Rik,499,432,398,251,326,273,260,748,313,687,661,987,636,798,1015,602
ENSMUSG00000044991,1110034G24Rik,162,146,125,81,118,71,116,221,139,266,227,308,192,204,193,161
ENSMUSG00000040720,1110037F02Rik,3979,3924,3266,2437,2930,1785,1487,4251,2645,5644,5141,6720,4607,4005,2963,2807
ENSMUSG00000092203,1110038B12Rik,3090,2815,2330,1483,1768,1306,684,2705,1497,3273,3720,5542,3399,2700,2109,2134
ENSMUSG00000063236,1110038F14Rik,1161,1115,939,583,683,239,311,645,273,596,685,1101,618,442,303,308
ENSMUSG00000085457,1110046J04Rik,279,217,193,125,134,87,121,183,122,264,322,378,252,177,142,132
ENSMUSG00000040591,1110051M20Rik,734,673,526,412,476,329,385,758,433,935,916,1289,771,721,765,503
ENSMUSG00000097867,1110054M08Rik,89,61,55,39,41,34,42,79,71,130,124,173,88,99,60,60
ENSMUSG00000037669,1110057K04Rik,1950,1690,1432,961,1243,821,706,2027,1159,2369,2383,3315,2150,1912,1510,1409
