"","x"
"1","Mpeg1"
"2","Laptm5"
"3","Cd84"
"4","Lyz2"
"5","Specc1"
"6","Lcp1"
"7","Sema4d"
"8","Plek"
"9","C3ar1"
"10","Mmp12"
"11","Cd36"
"12","Csf1r"
"13","Cybb"
"14","Pirb"
"15","Uty"
"16","Ncf1"
"17","Trem2"
"18","Nckap1l"
"19","Emr1"
"20","Ddx3y"
"21","Fcer1g"
"22","Clec4d"
"23","Ctss"
"24","Itgb2"
"25","Ptprc"
"26","C1qb"
"27","Gfpt2"
"28","Csf2rb2"
"29","Tlr7"
"30","Arap3"
"31","Rac2"
"32","Fyb"
"33","Cd300a"
"34","C1qc"
"35","Clec12a"
"36","Hcls1"
"37","Lilrb4"
"38","Hpgds"
"39","Itgam"
"40","Mrc1"
"41","Ucp2"
"42","Pld4"
"43","Bmper"
"44","Clmp"
"45","Lat2"
"46","Fermt3"
"47","Ncf2"
"48","Fblim1"
"49","Pcsk9"
"50","Slc15a3"
"51","Ms4a6d"
"52","Igf2bp2"
"53","Inpp5d"
"54","Tyrobp"
"55","Adam8"
"56","Myo1f"
"57","Stard9"
"58","Adamts7"
"59","Tubb2b"
"60","Ptpn6"
"61","C1qa"
"62","Alox5ap"
"63","Cyth4"
"64","Coro1a"
"65","Limd2"
"66","Stab1"
"67","Slc11a1"
"68","Gp49a"
"69","Rassf4"
"70","Fmnl1"
"71","Colec12"
"72","Elmo1"
"73","Dock2"
"74","Gpx7"
"75","Shc2"
"76","Nav1"
"77","Arhgap19"
"78","Ms4a7"
"79","Tlr13"
"80","Efhd2"
"81","Arhgap30"
"82","Fes"
"83","Tubb3"
"84","Crip1"
"85","Rgs10"
"86","Nt5dc2"
"87","Eif2s3y"
"88","Aph1c"
"89","Pygl"
"90","Mnda"
"91","Cd200r4"
"92","Cd200r1"
"93","Gmip"
"94","Cd72"
"95","Adcy7"
"96","Sox12"
"97","Apobec1"
"98","Msr1"
"99","Irf8"
"100","Coro2a"
"101","Slc9a5"
"102","Ccl9"
"103","Cfp"
"104","Zc3hav1l"
"105","Myo1g"
"106","Prex1"
"107","C5ar1"
"108","Cd68"
"109","Wdfy4"
"110","Arl11"
"111","Phlpp1"
"112","Fcgr2b"
"113","Pik3cd"
"114","Ptpn7"
"115","Baz1a"
"116","Tmem106a"
"117","Nrros"
"118","Evi2b"
"119","Ptafr"
"120","Gng2"
"121","Htr2b"
"122","Crybg3"
"123","Ccl3"
"124","Pik3ap1"
"125","Fat3"
"126","Rbp1"
"127","Cd180"
"128","Kdm5d"
"129","Rab3il1"
"130","Bin2"
"131","Angptl1"
"132","Evl"
"133","Lgmn"
"134","Gas6"
"135","Was"
"136","Vav1"
"137","Clec7a"
"138","Ifi27l2b"
"139","Tcirg1"
"140","Tlr8"
"141","Gpsm3"
"142","Ms4a6c"
"143","Vasp"
"144","Nek6"
"145","Pdxk"
"146","Mcoln3"
"147","Spi1"
"148","Hn1"
"149","Dock8"
"150","Arrb1"
"151","Abcc3"
"152","Hck"
"153","Prkcb"
"154","Ptms"
"155","Pik3r5"
"156","Pdzrn3"
"157","Tbxas1"
"158","Adamts4"
"159","Fcrls"
"160","Ebf3"
"161","Kcnab2"
"162","Tnfaip8l2"
"163","Raet1e"
"164","Hk3"
