"","x"
"1","Xist"
"2","Tbx4"
"3","Tiparp"
"4","Ahr"
"5","Slitrk5"
"6","Synm"
"7","Slc33a1"
"8","Rab3b"
"9","Penk"
"10","Pitx1"
"11","Kifap3"
"12","Clip4"
"13","Igfbp4"
"14","Got1l1"
"15","Cd59a"
"16","Aqp5"
"17","Mab21l2"
"18","Exoc3"
"19","Plagl1"
"20","Cpox"
"21","Klhdc7a"
"22","Sox6"
"23","Cryab"
"24","Unc5c"
"25","Wnt10a"
"26","Gldn"
"27","Nebl"
"28","Ano1"
"29","Slc4a10"
"30","Pcdh20"
"31","Mme"
"32","Msi2"
"33","Il1rn"
"34","Atp6v0e2"
"35","Ctsf"
"36","Cyld"
"37","Hspb2"
"38","Hoxc13"
"39","Ptpn3"
"40","Cyp26b1"
"41","Bdnf"
"42","Crabp2"
"43","Sgms2"
"44","Aldh1a1"
"45","Prss35"
"46","Lrp1b"
"47","Wdr35"
"48","Pam"
"49","Prkaa2"
"50","Mettl7a1"
"51","Scx"
"52","Cbr2"
"53","Eps8l2"
"54","Hoxa11"
"55","Hoxc10"
"56","Sema3f"
"57","Cgref1"
"58","Dlg2"
"59","Sdc4"
"60","Ccdc3"
"61","Spint2"
"62","Tbx2"
"63","Spink5"
"64","Hmgcll1"
"65","Adrb3"
"66","Shroom3"
"67","Stac"
"68","Ric3"
"69","Aldh1a7"
"70","Ccpg1"
"71","Gchfr"
"72","Rorc"
"73","Pmaip1"
"74","Mreg"
"75","Foxl1"
"76","Ckmt1"
"77","Vkorc1"
"78","Aldh3a1"
"79","Rai2"
"80","Rprm"
"81","Ntrk2"
"82","Esm1"
"83","Epb4.1l4b"
"84","Sh3rf2"
"85","Tbx18"
"86","Crebl2"
"87","Tbc1d8"
"88","Lmcd1"
"89","Slc35g1"
"90","Car5b"
"91","Gorab"
"92","Acy3"
"93","Lonrf2"
"94","Tmem45a"
"95","Mllt3"
"96","Dcxr"
"97","Abcb1a"
"98","Kif21a"
"99","Mecom"
"100","Tex15"
"101","Hoxa10"
"102","Hoxa11os"
"103","Gpr64"
"104","Sema3b"
"105","Abhd11os"
"106","Clic5"
"107","Ahrr"
"108","Col15a1"
"109","Slc26a7"
"110","Perp"
"111","Rerg"
"112","Chmp4c"
"113","Ppfia4"
"114","Lhx9"
"115","Pls1"
"116","Plekha6"
"117","Dhh"
"118","Dpyd"
"119","Edil3"
"120","Ugp2"
"121","Gabrb3"
"122","Lif"
"123","Alcam"
"124","Itih2"
"125","Chd5"
"126","Cadm4"
"127","Celsr2"
"128","Mal"
"129","Hyal1"
"130","Gm15987"
"131","B4galnt3"
"132","Gpr137c"
"133","Slitrk6"
"134","Gja1"
"135","2200002D01Rik"
"136","Tcfl5"
"137","Derl3"
"138","Pm20d1"
"139","Agbl2"
"140","Gda"
"141","Tmem56"
"142","Cnksr1"
"143","Cdr1"
"144","Shox2"
"145","Rab26"
"146","Sox10"
"147","Asb16"
"148","Dnajb4"
"149","Robo1"
"150","Slc35f1"
"151","Dennd6b"
"152","1700007K13Rik"
"153","Cnbd2"
"154","Hfe"
"155","Ppp2r2c"
"156","Mgp"
"157","Irx3"
"158","Serpine2"
"159","Cyp27a1"
"160","Smarca5-ps"
"161","Dlx1"
"162","Tiam2"
"163","Cyp1a1"
"164","Rb1"
"165","Aff2"
"166","Bmp4"
"167","Tmem255a"
"168","Tspan13"
"169","Btbd11"
"170","Foxc2"
"171","H60b"
"172","Tmem176b"
"173","Csmd3"
"174","Fas"
"175","Tmem178b"
"176","Nucb2"
"177","Trps1"
"178","Prdm16"
"179","Fbp2"
"180","En2"
"181","Grik5"
"182","Ppargc1a"
"183","Col18a1"
"184","Fam196a"
"185","Enpp4"
"186","Gprc5a"
"187","C430042M11Rik"
"188","Ip6k3"
"189","Trdmt1"
"190","Nr3c2"
"191","Klhl8"
"192","Nap1l3"
"193","Sdc2"
"194","Nog"
"195","Ngfr"
"196","Lrrc75b"
"197","Cyyr1"
"198","Vwa7"
"199","Unc5d"
"200","Kcna6"
"201","Ces1g"
"202","Dsp"
"203","Fam212b"
"204","Cyb5r2"
"205","Grin3a"
"206","Tmem35"
"207","Cp"
"208","Adam22"
"209","Notum"
"210","Pcdha2"
"211","Herc3"
"212","Scara3"
"213","St14"
"214","Limch1"
"215","Pdgfc"
"216","Arrdc3"
"217","Tmem176a"
"218","AK129341"
"219","Tmem181b-ps"
"220","Gca"
"221","Glrb"
"222","Gstm6"
"223","Itm2a"
"224","Ndnf"
"225","Mab21l1"
"226","Fam184a"
"227","Ache"
"228","Tceal3"
"229","Axin2"
"230","Mapk13"
"231","Tmem229a"
"232","Hoxc11"
"233","Snx16"
"234","Tmeff2"
"235","Lmx1b"
"236","Atp9a"
"237","Ccdc141"
"238","Tob1"
"239","Bmp5"
"240","Aqp1"
"241","Ildr2"
"242","Tmem59l"
"243","Nt5e"
"244","Cttnbp2"
"245","Med12l"
"246","Tmbim4"
"247","Pcdh17"
"248","Dach1"
"249","Svop"
"250","Fgf13"
"251","Faim2"
"252","Plekhg1"
"253","Mef2a"
"254","Nipal2"
"255","Sp6"
"256","Nfasc"
"257","Ephb6"
"258","Tnfrsf19"
"259","C130021I20Rik"
"260","Pcx"
"261","Bend5"
"262","Serpinb10"
"263","Gfra2"
"264","Cyb561"
"265","Ndrg3"
"266","C230004F18Rik"
"267","Hap1"
"268","Rnf43"
"269","Gpm6b"
"270","Nmnat2"
"271","Osbpl3"
"272","Ddit4l"
"273","Cacnb2"
"274","Dzank1"
"275","Dmc1"
"276","Fam124a"
"277","Lrch1"
"278","Prrt1"
"279","Sgca"
"280","Snhg12"
"281","Shank1"
"282","Pou3f4"
"283","Ppp1r9a"
"284","Bcar3"
