"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2"
"Spink2",17,23,20,28,33,2,1,1
"Ltc4s",16,19,22,33,28,1,1,5
"Gbp8",40,90,94,142,123,1,1,2
"Casp1",175,366,328,515,391,4,7,2
"Snx20",56,119,112,189,133,4,1,5
"Fcgr4",77,157,162,233,165,1,1,4
"Itgb2",1573,3271,3517,4738,3309,13,2,6
"Pik3ap1",490,1007,1047,1479,983,5,2,1
"Plxnc1",707,1428,1335,1972,1345,134,25,115
"Fcgr2b",529,1057,1030,1518,1052,2,1,6
"Ms4a7",1224,2467,2353,3544,2372,4,2,3
"Aph1c",312,613,599,842,574,50,24,26
"Lat2",433,912,865,1233,862,17,6,13
"1-Mar",137,294,279,373,267,23,1,19
"Rbm47",198,398,382,529,390,46,5,34
"Ddx3y",2425,4847,4786,6376,4443,12,2,3
"Cd84",1367,2789,2586,3580,2486,35,37,31
"Slc15a3",467,957,900,1258,878,19,7,12
"Tlr13",1244,2482,2377,3262,2304,4,2,3
"Rgs10",446,830,812,1114,762,30,55,23
"Pld4",674,1341,1290,1827,1252,7,12,5
"Wfdc17",209,405,382,540,379,3,1,2
"Cd200r4",246,533,522,675,492,19,7,2
"Htr2b",184,409,375,513,364,24,21,10
"Klhl6",97,172,179,214,177,8,1,4
"AI467606",61,107,109,144,115,2,1,2
"Bcl2a1b",363,599,597,835,627,5,1,1
"Themis2",158,284,285,350,256,6,1,2
"Csf2rb",471,835,816,1051,726,6,49,4
"Csf2rb2",700,1281,1278,1651,1132,14,10,13
"Slc39a12",9,14,16,20,14,1,1,1
"Ms4a6d",497,943,979,1301,931,5,18,9
"Clec4n",130,233,247,322,213,3,1,2
"Myo1g",353,642,660,894,602,8,1,6
"Acta1",4083,9919,10882,14846,9048,1535,13,1065
"Podnl1",97,221,234,327,198,40,16,28
"Glipr1",1758,3769,4131,5761,3796,370,23,231
"Adh1",525,1086,1279,1703,1104,146,6,106
"Col4a1",46906,101066,113006,158131,100531,17774,1728,12198
"Thbs2",23223,47170,54660,76717,48973,6912,1031,4245
"Enpp3",79,133,149,185,121,23,6,19
"Oas1a",65,127,143,188,113,20,1,20
"Plekhg4",139,311,337,448,263,43,1,23
"Degs2",70,150,162,212,132,14,1,8
"Fbln2",131107,276210,298281,407260,252294,29983,5919,23556
"Pcsk9",366,769,808,1120,683,55,14,45
"Itga11",3621,7520,7385,10170,6440,1184,33,722
"Gpr116",387,779,820,1156,733,126,2,80
"Actg2",4499,9518,9497,14002,8664,987,6,657
"Hmha1",699,1454,1444,2078,1293,230,28,128
"C1qc",1876,3687,3886,5886,3575,5,5,4
"Cd37",191,385,394,607,390,2,1,2
"Clec4d",1144,2315,2504,3774,2505,7,16,5
"Fermt3",491,1053,1196,1663,1044,15,8,22
"Galnt6",380,744,861,1236,779,2,1,2
"Trem2",1338,2682,2995,4417,2699,29,35,17
"Unc93b1",774,1715,1921,2858,1718,138,12,117
"Fam131b",239,478,525,731,481,89,55,63
"Pik3cd",347,676,763,1089,703,131,79,92
"BC028528",244,425,425,622,406,84,10,48
"Sox12",240,475,451,685,441,57,24,43
"Gpsm3",183,335,326,504,321,29,12,24
"Lyl1",85,163,158,241,156,10,1,2
"Sipa1",426,899,869,1313,774,148,41,97
"Plcg2",794,1664,1739,2513,1516,275,131,187
"Rbp1",226,518,529,813,470,48,9,24
"Adamts14",245,519,498,785,493,65,2,32
"Ltbp4",492,940,916,1438,894,137,116,139
"Cd68",2615,5402,5564,7560,4871,40,99,52
"Smoc2",2822,5817,5874,8066,5304,331,64,259
"Bin2",160,347,363,480,295,8,11,10
"Abcc3",573,1223,1277,1619,1075,108,40,89
"Tmem106a",743,1529,1588,2041,1294,150,62,135
"Lhx6",96,201,207,267,169,21,31,14
"Sh3bp2",755,1556,1624,2205,1436,223,259,146
"Adap1",137,225,250,360,220,17,1,9
"Spi1",369,649,779,1115,632,1,4,3
"Susd3",62,101,105,156,87,2,1,2
"Card9",99,191,199,269,160,5,8,1
"Irf8",247,466,479,677,399,9,19,8
"Foxd2os",82,172,194,254,166,11,43,13
"Lpar5",31,69,76,91,68,3,11,3
"Il7r",317,565,658,871,600,2,1,3
"Rtn4rl1",83,146,176,225,160,11,5,5
"Cd200r1",367,656,705,993,732,28,10,24
"Mcoln2",208,354,410,562,404,12,1,7
"Clec7a",355,726,852,1008,769,4,4,6
"Sel1l3",94,154,206,241,170,2,1,3
"Psg19",4,11,8,13,9,1,1,1
"Aim2",138,312,267,365,262,45,13,33
"Atf7ip2",19,50,44,60,40,7,1,3
"Fblim1",1504,3309,2995,4129,2692,564,278,348
"Tubb3",529,1155,1040,1423,922,183,120,98
"Gng2",1076,2264,1991,2952,1919,333,311,224
"Adap2",102,287,268,392,245,1,1,3
"Gfpt2",464,1086,1015,1467,934,147,108,92
"Coro1a",373,681,589,915,567,19,19,20
"Dock10",520,991,854,1222,806,74,13,43
"P2ry6",276,523,440,650,428,84,32,44
"Galnt12",129,252,230,326,219,22,37,10
"Sp3",2155,4308,3851,5366,3525,479,755,309
"Fam105a",376,691,626,899,590,116,74,76
"Mctp1",301,592,506,736,505,90,66,57
"Fat3",407,829,705,1042,677,95,63,83
"Ucp2",1029,2144,1887,2662,1754,275,175,186
"Arap3",517,1086,948,1433,899,17,11,13
"Arhgap9",119,269,233,360,223,2,1,1
"Ncf1",888,1807,1584,2327,1504,9,15,20
"Ncf2",599,1250,1089,1658,1082,14,1,9
