"","x"
"1","STEAP4"
"2","ISG15"
"3","IFIT1"
"4","PARP14"
"5","ZBP1"
"6","DDX60"
"7","IFIT3"
"8","OAS3"
"9","DTX3L"
"10","CD274"
"11","PARP9"
"12","FAM26F"
"13","DHX58"
"14","IFIT2"
"15","TAPBP"
"16","RFFL"
"17","UBE2L6"
"18","TRIM21"
"19","NMI"
"20","NOD1"
"21","PARP10"
"22","GSDMD"
"23","IFI44"
"24","NLRC5"
"25","TAPBPL"
"26","PSMA6"
"27","PSMB8"
"28","PSME2"
"29","ETS1"
"30","UBA7"
"31","PSMB9"
"32","TAP2"
"33","IFI35"
"34","SNTB1"
"35","ZNFX1"
"36","BATF"
"37","SASH3"
"38","IL15"
"39","NUB1"
"40","LSG1"
"41","TSC22D2"
"42","KCTD7"
"43","SOCS1"
"44","EPSTI1"
"45","IL18BP"
"46","SP110"
"47","TLR3"
"48","PPM1E"
"49","PDE4B"
"50","PSME1"
"51","TAP1"
"52","MTMR14"
"53","SHROOM3"
"54","SLC15A3"
"55","JDP2"
"56","IRF2"
"57","BST2"
"58","OGFR"
"59","ERAP1"
"60","PARP3"
"61","USF1"
"62","TNFRSF14"
"63","CASP7"
"64","RNF31"
