"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035458","GO:0035458","cellular response to interferon-beta",31,0.874907495243025,2.34552031619554,0.000108991825613079,0.00262586393811865,0.0021706813394451,205,"tags=84%, list=9%, signal=78%","Ifi205/Gm4841/Gbp6/Tgtp2/Gm4951/F830016B08Rik/Ifit1/Gbp3/Gbp2/Iigp1/Ifi203/Igtp/Gbp7/Ifit3/Mndal/Ifi204/Ifi47/Irgm2/Tgtp1/Gm5431/Irf1/Gm12185/Oas1g/Irgm1/Trex1/Oas1a"
"GO:0071346","GO:0071346","cellular response to interferon-gamma",47,0.824027118055617,2.32529480421569,0.000104690117252931,0.00262586393811865,0.0021706813394451,209,"tags=64%, list=9%, signal=59%","Il12b/Nos2/Gbp5/Gbp4/Ccl5/Ccl20/Ccl2/Gbp6/Gbp11/Ccl7/Gbp3/Gbp10/Gbp2/Ccl3/Ccl4/Igtp/Parp14/Ccl12/Gbp7/Tlr2/Gbp9/Irf1/Ccl8/Socs1/Stx11/Parp9/Irgm1/Ccl9/Nmi/Nlrc5"
"GO:0034341","GO:0034341","response to interferon-gamma",59,0.79040261768206,2.28216036352923,0.000102690490860546,0.00262586393811865,0.0021706813394451,305,"tags=66%, list=13%, signal=59%","Il12b/Nos2/Gbp5/Gbp4/Ccl5/Ccl20/Ccl2/Gbp6/Gbp11/Ccl7/Gbp3/Gbp10/Gbp2/Ccl3/Ccl4/Cd40/Igtp/Parp14/Ccl12/Gbp7/Tlr2/Irgm2/Tgtp1/Gbp9/Irf1/Ccl8/Socs1/Stx11/Parp9/Trim21/Irgm1/Ccl9/Nmi/Sp100/Nlrc5/Cxcl16/Jak2/Cd74/Stat1"
"GO:0035456","GO:0035456","response to interferon-beta",37,0.826264001190195,2.27117533488736,0.00010690613641223,0.00262586393811865,0.0021706813394451,205,"tags=73%, list=9%, signal=68%","Ifi205/Gm4841/Gbp6/Tgtp2/Gm4951/F830016B08Rik/Ifit1/Gbp3/Gbp2/Iigp1/Ifi203/Igtp/Gbp7/Ifit3/Mndal/Ifi204/Ifi47/Irgm2/Tgtp1/Gm5431/Irf1/Gm12185/Xaf1/Oas1g/Irgm1/Trex1/Oas1a"
"GO:0098542","GO:0098542","defense response to other organism",261,0.730700847391192,2.25689894022397,1e-04,0.00262586393811865,0.0021706813394451,439,"tags=59%, list=19%, signal=54%","Cxcl1/Il12b/Cxcl2/Nos2/Gbp5/Cxcl10/Il27/Rsad2/Gbp4/Tnf/Ifi205/Mx1/Cxcl3/Clec4e/Ccl5/Il1b/Ccl20/Ccl2/Gbp6/Gbp11/Il23a/Mx2/Zbp1/Nlrp3/Ifit1/Ccl7/Gbp3/Gbp10/Gbp2/Iigp1/Oasl1/Isg15/Ccl3/Il6/Ccl4/Ifi203/Cd40/Ifit2/Igtp/Slfn8/Parp14/Ccl12/Rtp4/Pglyrp3/Gbp7/Oasl2/Ifit3/Ddx60/Tnfaip3/Tlr2/Nod2/Ifih1/Mndal/Oas2/Ifi204/Slamf7/Oas1b/Trim30d/Irf7/Irgm2/Il15/Tgtp1/Ch25h/Trim30a/Oas3/Gbp9/Slfn9/Herc6/Ptx3/Irf1/Casp4/Slamf8/Dtx3l/Ccl8/Pglyrp2/Ripk2/Dhx58/Zc3h12a/Socs1/Oas1g/Stx11/Parp9/Trim21/Tnfsf4/Trim30b/Bcl3/Irgm1/Trex1/Marco/Malt1/Ccl9/Stat2/Tlr3/Cd14/Tap1/Nmi/Sp100/Oas1a/Nlrc5/Arg2/Tarm1/Relb/Ifi35/Cxcl16/Lcn2/Sp110/Isg20/Arid5a/Slc15a3/Clec2d/Jak2/Mlkl/Prdm1/Cfb/Ereg/Batf/Cd86/Rel/Cd74/Trim34a/Tslp/Znfx1/Lacc1/Stat1/Eif2ak2/Ikbke/Lbp/Trim25/Csf1/Plscr1/Hck/Clec4a1/Samhd1/Apobec3/Hp/Trim12a/Nt5c3/Casp1/Adar/Trim14/Tap2/Mov10/Myd88/Zc3hav1/Ifitm3/Rab20/C5ar1/Irf2/Ifitm1/Rnf31/Rasgrp1/Rnf19b/Tnfrsf14/Adm"
"GO:0043207","GO:0043207","response to external biotic stimulus",321,0.720963017739037,2.23489174800059,9.99900009999e-05,0.00262586393811865,0.0021706813394451,439,"tags=57%, list=19%, signal=54%","Cxcl1/Il12b/Cxcl2/Nos2/Gbp5/Cxcl10/Il27/Rsad2/Gbp4/Tnf/Ifi205/Mx1/Cmpk2/Cxcl3/Clec4e/Ccl5/Gm12250/Il1b/Ccl20/Ccl2/Gbp6/Gbp11/Il23a/Mx2/Zbp1/Nlrp3/Ifit1/Ccl7/Gbp3/Gbp10/Il1a/Gbp2/Iigp1/Oasl1/Isg15/Ccl3/Il6/Saa3/Ccl4/Ifi203/Cd40/Ifit2/Igtp/Slfn8/Parp14/Ccl12/Rtp4/Pglyrp3/Gbp7/Oasl2/Ifit3/Ddx60/Tnfaip3/Tlr2/Nod2/Ifih1/Usp18/Mndal/Oas2/Cd274/Ifi204/Slamf7/Oas1b/Trim30d/Irf7/Irgm2/Il15/Tgtp1/Ch25h/Slfn4/Trim30a/Oas3/Nfkbia/Gbp9/Slfn9/Herc6/Ptx3/Tnip3/Irf1/Casp4/Slamf8/Ifi44/Dtx3l/Slfn2/Ccl8/Pglyrp2/Ripk2/Dhx58/Zc3h12a/Gfi1/Socs1/Pde4b/Oas1g/Stx11/Parp9/Trim21/Tnfsf4/Trim30b/Bcl3/Irgm1/Trex1/Marco/Malt1/AA467197/Ccl9/Stat2/Tlr3/Cd14/Tap1/Nmi/Sp100/Oas1a/Nlrc5/Bdkrb1/Peli1/Arg2/Rgs1/Tarm1/Relb/Ifi35/Cxcl16/Lcn2/Sp110/Isg20/Tnfrsf1b/Arid5a/Nfkb1/Slc15a3/Psmb9/Clec2d/Jak2/Mlkl/Gdap10/Prdm1/Cfb/Ereg/Batf/Cd86/Rel/Cd74/Trim34a/Tslp/Znfx1/Cflar/Lacc1/Stat1/Eif2ak2/Zfp36/Ikbke/Lbp/Trim25/Csf1/Plscr1/Hck/Clec4a1/Samhd1/Ptgs2/Apobec3/Nfkbib/Hp/Trim12a/Nt5c3/Serpina3n/Casp1/Adar/Trim14/Tap2/Mov10/Myd88/Zc3hav1/Ier3/Ifitm3/Rab20/C5ar1/Irf2/Ifitm1/Rnf31/Tnip1/Mapkapk2/Rasgrp1/Rnf19b/Tnfrsf14/Adm"
"GO:0051707","GO:0051707","response to other organism",321,0.720963017739037,2.23489174800059,9.99900009999e-05,0.00262586393811865,0.0021706813394451,439,"tags=57%, list=19%, signal=54%","Cxcl1/Il12b/Cxcl2/Nos2/Gbp5/Cxcl10/Il27/Rsad2/Gbp4/Tnf/Ifi205/Mx1/Cmpk2/Cxcl3/Clec4e/Ccl5/Gm12250/Il1b/Ccl20/Ccl2/Gbp6/Gbp11/Il23a/Mx2/Zbp1/Nlrp3/Ifit1/Ccl7/Gbp3/Gbp10/Il1a/Gbp2/Iigp1/Oasl1/Isg15/Ccl3/Il6/Saa3/Ccl4/Ifi203/Cd40/Ifit2/Igtp/Slfn8/Parp14/Ccl12/Rtp4/Pglyrp3/Gbp7/Oasl2/Ifit3/Ddx60/Tnfaip3/Tlr2/Nod2/Ifih1/Usp18/Mndal/Oas2/Cd274/Ifi204/Slamf7/Oas1b/Trim30d/Irf7/Irgm2/Il15/Tgtp1/Ch25h/Slfn4/Trim30a/Oas3/Nfkbia/Gbp9/Slfn9/Herc6/Ptx3/Tnip3/Irf1/Casp4/Slamf8/Ifi44/Dtx3l/Slfn2/Ccl8/Pglyrp2/Ripk2/Dhx58/Zc3h12a/Gfi1/Socs1/Pde4b/Oas1g/Stx11/Parp9/Trim21/Tnfsf4/Trim30b/Bcl3/Irgm1/Trex1/Marco/Malt1/AA467197/Ccl9/Stat2/Tlr3/Cd14/Tap1/Nmi/Sp100/Oas1a/Nlrc5/Bdkrb1/Peli1/Arg2/Rgs1/Tarm1/Relb/Ifi35/Cxcl16/Lcn2/Sp110/Isg20/Tnfrsf1b/Arid5a/Nfkb1/Slc15a3/Psmb9/Clec2d/Jak2/Mlkl/Gdap10/Prdm1/Cfb/Ereg/Batf/Cd86/Rel/Cd74/Trim34a/Tslp/Znfx1/Cflar/Lacc1/Stat1/Eif2ak2/Zfp36/Ikbke/Lbp/Trim25/Csf1/Plscr1/Hck/Clec4a1/Samhd1/Ptgs2/Apobec3/Nfkbib/Hp/Trim12a/Nt5c3/Serpina3n/Casp1/Adar/Trim14/Tap2/Mov10/Myd88/Zc3hav1/Ier3/Ifitm3/Rab20/C5ar1/Irf2/Ifitm1/Rnf31/Tnip1/Mapkapk2/Rasgrp1/Rnf19b/Tnfrsf14/Adm"
"GO:1990266","GO:1990266","neutrophil migration",29,0.841917068958336,2.23313448345735,0.000109926349345938,0.00262586393811865,0.0021706813394451,187,"tags=72%, list=8%, signal=68%","Cxcl1/Cxcl2/Cxcl10/Cxcl3/Ccl5/Il1b/Ccl20/Ccl2/Il23a/Ccl7/Il1a/Ccl3/Ccl4/Ccl12/Tlr2/Nod2/Slamf8/Ccl8/Pde4b/Edn1/Ccl9"
"GO:0051607","GO:0051607","defense response to virus",101,0.745680510596285,2.22730946844978,0.000100603621730382,0.00262586393811865,0.0021706813394451,417,"tags=64%, list=18%, signal=55%","Il12b/Cxcl10/Il27/Rsad2/Gbp4/Mx1/Ccl5/Il1b/Il23a/Mx2/Zbp1/Nlrp3/Ifit1/Oasl1/Isg15/Il6/Cd40/Ifit2/Slfn8/Rtp4/Gbp7/Oasl2/Ifit3/Ddx60/Ifih1/Oas2/Ifi204/Oas1b/Trim30d/Irf7/Il15/Trim30a/Oas3/Slfn9/Irf1/Dtx3l/Dhx58/Zc3h12a/Oas1g/Parp9/Trim21/Trex1/Stat2/Tlr3/Oas1a/Isg20/Mlkl/Cd86/Trim34a/Znfx1/Stat1/Eif2ak2/Trim25/Plscr1/Samhd1/Apobec3/Trim12a/Nt5c3/Casp1/Mov10/Myd88/Zc3hav1/Ifitm3/Irf2/Ifitm1"
"GO:0140546","GO:0140546","defense response to symbiont",101,0.745680510596285,2.22730946844978,0.000100603621730382,0.00262586393811865,0.0021706813394451,417,"tags=64%, list=18%, signal=55%","Il12b/Cxcl10/Il27/Rsad2/Gbp4/Mx1/Ccl5/Il1b/Il23a/Mx2/Zbp1/Nlrp3/Ifit1/Oasl1/Isg15/Il6/Cd40/Ifit2/Slfn8/Rtp4/Gbp7/Oasl2/Ifit3/Ddx60/Ifih1/Oas2/Ifi204/Oas1b/Trim30d/Irf7/Il15/Trim30a/Oas3/Slfn9/Irf1/Dtx3l/Dhx58/Zc3h12a/Oas1g/Parp9/Trim21/Trex1/Stat2/Tlr3/Oas1a/Isg20/Mlkl/Cd86/Trim34a/Znfx1/Stat1/Eif2ak2/Trim25/Plscr1/Samhd1/Apobec3/Trim12a/Nt5c3/Casp1/Mov10/Myd88/Zc3hav1/Ifitm3/Irf2/Ifitm1"
