"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0060326","GO:0060326","cell chemotaxis",38,0.726430883860847,2.04320194269006,0.000101988781234064,0.00561712635230101,0.00501863920565019,162,"tags=63%, list=18%, signal=54%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Cx3cl1/Egr3/Vcam1/Cxcl16/Pdgfb/Cxcl9/Lbp/Saa3/Ccl7/Ccrl2/Cd74/Csf1/Cyp7b1/Cxcl11/Il23a/Ch25h/Nod2"
"GO:0030595","GO:0030595","leukocyte chemotaxis",29,0.74653573943469,2.03487400513299,0.000103605470368835,0.00561712635230101,0.00501863920565019,162,"tags=69%, list=18%, signal=59%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Cx3cl1/Cxcl16/Pdgfb/Cxcl9/Lbp/Ccl7/Cd74/Csf1/Cyp7b1/Cxcl11/Il23a/Ch25h/Nod2"
"GO:0071621","GO:0071621","granulocyte chemotaxis",22,0.764829041622245,2.00394614773644,0.000105909764880322,0.00561712635230101,0.00501863920565019,132,"tags=68%, list=15%, signal=60%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Cx3cl1/Cxcl9/Lbp/Ccl7/Cd74/Csf1/Cxcl11/Il23a"
"GO:1990868","GO:1990868","response to chemokine",14,0.824032580975531,1.9937904811433,0.000111557340473003,0.00561712635230101,0.00501863920565019,131,"tags=86%, list=14%, signal=74%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Zc3h12a/Cx3cl1/Cxcl9/Ccl7/Cxcl11"
"GO:1990869","GO:1990869","cellular response to chemokine",14,0.824032580975531,1.9937904811433,0.000111557340473003,0.00561712635230101,0.00501863920565019,131,"tags=86%, list=14%, signal=74%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Zc3h12a/Cx3cl1/Cxcl9/Ccl7/Cxcl11"
"GO:0034341","GO:0034341","response to interferon-gamma",43,0.695296841410692,1.98245008582221,0.000101419878296146,0.00561712635230101,0.00501863920565019,153,"tags=58%, list=17%, signal=51%","Ubd/Nos2/Gbp6/Gbp5/Gbp4/Ccl5/Ccl2/Gbp2/Gbp9/Gbp3/Tlr2/Ccl20/Cx3cl1/Tgtp1/Cxcl16/Stx11/Ifitm1/Gbp7/Parp14/Ccl7/Irf1/Cd74/Casp1/H2-Q7/Ciita"
"GO:0002286","GO:0002286","T cell activation involved in immune response",18,0.781555490545529,1.97653654003588,0.000108354101202731,0.00561712635230101,0.00501863920565019,132,"tags=67%, list=15%, signal=58%","Nfkbiz/Zc3h12a/Bcl3/Ripk2/Stx11/Nlrp3/Icam1/Irf1/Nfkbid/Cd74/Relb/Il23a"
"GO:0030593","GO:0030593","neutrophil chemotaxis",20,0.764395914109723,1.97098868215898,0.000107020547945205,0.00561712635230101,0.00501863920565019,132,"tags=70%, list=15%, signal=61%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Ccl20/Cx3cl1/Cxcl9/Lbp/Ccl7/Cd74/Cxcl11/Il23a"
"GO:0097529","GO:0097529","myeloid leukocyte migration",30,0.719846859235708,1.970878843134,0.000103337811305157,0.00561712635230101,0.00501863920565019,132,"tags=57%, list=15%, signal=50%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Tlr2/Ccl20/Cx3cl1/Pdgfb/Cxcl9/Lbp/Ccl7/Cd74/Csf1/Cxcl11/Il23a"
"GO:0097530","GO:0097530","granulocyte migration",26,0.734633937657385,1.97032517764765,0.000104558762024258,0.00561712635230101,0.00501863920565019,132,"tags=62%, list=15%, signal=54%","Cxcl1/Cxcl5/Cxcl2/Cxcl10/Ccl5/Ccl2/Tlr2/Ccl20/Cx3cl1/Cxcl9/Lbp/Ccl7/Cd74/Csf1/Cxcl11/Il23a"
