"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0035458","GO:0035458","cellular response to interferon-beta",34,0.8803433844951,2.30974749221105,0.000107342206955775,0.00310538666987914,0.00266799976077573,242,"tags=76%, list=6%, signal=72%","Tgtp2/Ifit1/Gbp6/Ifi205/Tgtp1/Iigp1/Gm4951/Gbp2/Gbp3/Ifi203/Gbp7/Igtp/Ifi47/Ifit3/Gm4841/F830016B08Rik/Irgm2/Irf1/Oas1g/Mndal/Gm5431/Oas1a/Ifi204/Gm12185/Irgm1/Trex1"
"GO:0071346","GO:0071346","cellular response to interferon-gamma",54,0.834872298741805,2.29752465833351,0.000103135313531353,0.00310538666987914,0.00266799976077573,373,"tags=61%, list=10%, signal=56%","Il12b/Nos2/Gbp5/Ccl22/Gbp4/Ccl5/Gbp6/Ccl20/Ccl3/Gbp2/Ccl4/Gbp3/Parp14/Gbp7/Ccl2/Igtp/Cx3cl1/Gbp9/Irf1/Tlr2/Stx11/H2-Q7/Ccl7/Parp9/Ccl8/Ccl9/Irgm1/Socs1/Ccl17/Nmi/Nlrc5/Stat1/Jak2"
"GO:0034341","GO:0034341","response to interferon-gamma",71,0.803960972947347,2.25574563334305,0.000101667344448963,0.00310538666987914,0.00266799976077573,373,"tags=58%, list=10%, signal=53%","Il12b/Nos2/Gbp5/Ccl22/Gbp4/Ccl5/Ubd/Gbp6/Tgtp1/Ccl20/Ccl3/Gbp2/Ccl4/Gbp3/Parp14/Gbp7/Ccl2/Igtp/Cx3cl1/Gbp9/Irgm2/Irf1/Tlr2/Stx11/H2-Q7/Cd74/Ccl7/Parp9/Cxcl16/Ccl8/Trim21/Ccl9/Irgm1/Gch1/Socs1/Ccl17/Nmi/Sp100/Nlrc5/Stat1/Jak2"
"GO:0035456","GO:0035456","response to interferon-beta",40,0.840437573866779,2.24610915060482,0.0001057753331923,0.00310538666987914,0.00266799976077573,242,"tags=68%, list=6%, signal=64%","Tgtp2/Ifit1/Gbp6/Ifi205/Tgtp1/Iigp1/Gm4951/Gbp2/Gbp3/Ifi203/Gbp7/Igtp/Ifi47/Ifit3/Gm4841/F830016B08Rik/Irgm2/Irf1/Oas1g/Mndal/Gm5431/Xaf1/Oas1a/Ifi204/Gm12185/Irgm1/Trex1"
"GO:0019730","GO:0019730","antimicrobial humoral response",20,0.915901883919943,2.22530397293591,0.000115048320294524,0.00310538666987914,0.00266799976077573,256,"tags=80%, list=7%, signal=75%","Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Cxcl5/Cxcl11/Ccl20/Pglyrp3/Nod2/Bcl3/Camp/Ccl8/Slpi/Ccl17/Tslp"
"GO:0030593","GO:0030593","neutrophil chemotaxis",37,0.83002803783106,2.20117698881317,0.000106462259129139,0.00310538666987914,0.00266799976077573,252,"tags=59%, list=6%, signal=56%","Il1b/Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Cxcl5/Cxcl11/Ccl20/Ccl3/Il23a/Ccl4/Ccl2/Cx3cl1/Nod2/Cd74/Ccl7/Ccl8/Ccl9/Lbp/Ccl17"
"GO:0006959","GO:0006959","humoral immune response",37,0.812867851906914,2.15566936177121,0.000106462259129139,0.00310538666987914,0.00266799976077573,289,"tags=54%, list=7%, signal=51%","Il1b/Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Tnf/Cxcl5/C3/Cxcl11/Ccl20/Pglyrp3/Nod2/Bcl3/Camp/Ccl8/Slpi/Ccl17/Tslp/Cfb"
"GO:0071621","GO:0071621","granulocyte chemotaxis",42,0.800314247217637,2.14706496391005,0.000105374077976818,0.00310538666987914,0.00266799976077573,298,"tags=57%, list=8%, signal=53%","Il1b/Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Cxcl5/Cxcl11/Ccl20/Ccl3/Il23a/Ccl4/Ccl2/Cx3cl1/Nod2/Cd74/Ccl7/Ccl8/Ccl9/Lbp/Ccl17/Csf1/Ccr3"
"GO:1990868","GO:1990868","response to chemokine",29,0.829373967713334,2.13528646627995,0.000109206071857595,0.00310538666987914,0.00266799976077573,252,"tags=62%, list=6%, signal=58%","Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Cxcl5/Cxcl11/Ccl20/Ccl3/Ccl4/Ccl2/Cx3cl1/Zc3h12a/Ccl7/Ccl8/Ccl9/Ccl17"
"GO:1990869","GO:1990869","cellular response to chemokine",29,0.829373967713334,2.13528646627995,0.000109206071857595,0.00310538666987914,0.00266799976077573,252,"tags=62%, list=6%, signal=58%","Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Cxcl5/Cxcl11/Ccl20/Ccl3/Ccl4/Ccl2/Cx3cl1/Zc3h12a/Ccl7/Ccl8/Ccl9/Ccl17"
"GO:0071219","GO:0071219","cellular response to molecule of bacterial origin",91,0.749651131919337,2.13369961397628,0.000100836946657255,0.00310538666987914,0.00266799976077573,395,"tags=47%, list=10%, signal=43%","Il12b/Il1b/Cxcl10/Nos2/Cxcl1/Cxcl2/Cxcl9/Tnf/Ccl5/Cmpk2/Il1a/Cxcl5/Gbp6/Nlrp3/Cxcl11/Gbp2/Tnfaip3/Ccl2/Igtp/Cx3cl1/Tnfsf4/Cd274/Nfkbia/Tlr2/Ripk2/Zc3h12a/Nod2/Trim30a/Trim30d/Cxcl16/Lbp/Irgm1/Gch1/Arid5a/Tlr1/Malt1/Cd14/Tnip1/Plscr1/Stat1/Tnfrsf1b/Jak2/Nfkb1"
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide",88,0.749555408531621,2.13018908007984,0.000100847115772489,0.00310538666987914,0.00266799976077573,395,"tags=47%, list=10%, signal=43%","Il12b/Il1b/Cxcl10/Nos2/Cxcl1/Cxcl2/Cxcl9/Tnf/Ccl5/Cmpk2/Il1a/Cxcl5/Gbp6/Nlrp3/Cxcl11/Gbp2/Tnfaip3/Ccl2/Igtp/Cx3cl1/Tnfsf4/Cd274/Nfkbia/Ripk2/Zc3h12a/Nod2/Trim30a/Trim30d/Cxcl16/Lbp/Irgm1/Gch1/Arid5a/Malt1/Cd14/Tnip1/Plscr1/Stat1/Tnfrsf1b/Jak2/Nfkb1"
"GO:1990266","GO:1990266","neutrophil migration",48,0.781250625454749,2.12644912086038,0.000103939299449122,0.00310538666987914,0.00266799976077573,283,"tags=52%, list=7%, signal=49%","Il1b/Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Il1a/Cxcl5/Cxcl11/Ccl20/Ccl3/Il23a/Ccl4/Ccl2/Cx3cl1/Tlr2/Nod2/Cd74/Ccl7/Ccl8/Ccl9/Lbp/Ccl17/Slamf8"
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway",25,0.844073058063877,2.12362187593017,0.000111383381599465,0.00310538666987914,0.00266799976077573,252,"tags=68%, list=6%, signal=64%","Cxcl10/Cxcl1/Cxcl2/Ccl22/Cxcl9/Ccl5/Cxcl5/Cxcl11/Ccl20/Ccl3/Ccl4/Ccl2/Cx3cl1/Ccl7/Ccl8/Ccl9/Ccl17"
"GO:0071216","GO:0071216","cellular response to biotic stimulus",97,0.738084132060137,2.10862153596961,0.000100654252642174,0.00310538666987914,0.00266799976077573,402,"tags=45%, list=10%, signal=42%","Il12b/Il1b/Cxcl10/Nos2/Cxcl1/Cxcl2/Cxcl9/Tnf/Ccl5/Cmpk2/Il1a/Cxcl5/Gbp6/Nlrp3/Cxcl11/Gbp2/Tnfaip3/Ccl2/Igtp/Cx3cl1/Tnfsf4/Cd274/Nfkbia/Tlr2/Ripk2/Zc3h12a/Nod2/Trim30a/Trim30d/Cxcl16/Lbp/Irgm1/Gch1/Arid5a/Tlr1/Malt1/Cd14/Tnip1/Plscr1/Stat1/Tnfrsf1b/Jak2/Nfkb1/Bid"
