"","Gene_name"
"1","CXCL1"
"2","ART3"
"3","MIR6381"
"4","CXCL1"
"5","ART3"
"6","MIR6381"
"7","STAT2"
"8","IFIT2"
"9","IRGM1"
"10","RNF213"
"11","GM14023"
"12","DHX58OS"
"13","STARD5"
"14","PRUNE2"
"15","5730596B20RIK"
"16","GM15050"
"17","GM9821"
"18","ZFP652"
"19","CDAN1"
"20","GM10860"
"21","PHYHIPL"
"22","HOXAAS2"
"23","GM20496"
"24","4930562F07RIK"
"25","4933416M07RIK"
"26","GM10425"
"27","GM17041"
"28","GM28914"
"29","BE692007"
"30","PSD"
"31","NDUFS2"
"32","DAXX"
"33","N-R5S85"
"34","A930015D03RIK"
"35","DTX3L"
"36","AEBP2"
"37","CLEC2G"
"38","CYBB"
"39","ZMYND15"
"40","LIF"
"41","IER5"
"42","SAMD9L"
"43","CCDC146"
"44","GM7599"
"45","GLS"
"46","CSF1"
"47","GM26885"
"48","VCAM1"
"49","SDC4"
"50","GM16548"
"51","GM26902"
"52","GM17040"
"53","GM17017"
"54","HSPBAP1"
"55","H2-Q4"
"56","PARP9"
"57","GM16587"
"58","IFIT3"
"59","GM16712"
"60","GM16175"
"61","STAT2"
"62","DHX58OS"
"63","CCL7"
"64","GM11419"
"65","IRF1"
"66","HELZ2"
"67","IFIH1"
"68","GBP7"
"69","CD274"
"70","A530040E14RIK"
"71","CX3CL1"
"72","CTNNBIP1"
"73","OASL2"
"74","GM8995"
"75","SLFN9"
"76","RP23-116M12.7"
"77","IRGM2"
"78","IFI203"
"79","CCL5"
"80","RASSF4"
"81","PARP14"
"82","SLFN5"
"83","SLFN2"
"84","4930512H18RIK"
"85","CLEC4E"
"86","SELE"
"87","GM16174"
"88","IL12B"
"89","IL7"
"90","GM12188"
"91","GM17334"
"92","IFIT2"
"93","SLC7A2"
"94","RIPK2"
"95","GM11131"
"96","GM7030"
"97","TBC1D17"
"98","TNFAIP2"
"99","GBP3"
"100","NOS2"
"101","ICAM1"
"102","SLFN5OS"
"103","C3"
"104","APOBR"
"105","NFKBIA"
"106","GBP9"
"107","TNFAIP3"
"108","GM9574"
"109","CCL2"
"110","GBP2"
"111","IFIT1"
"112","OLFR1396"
"113","MIR6381"
"114","IRG1"
"115","CXCL9"
"116","CMPK2"
"117","TNF"
"118","CXCL2"
"119","GM12223"
"120","CXCL1"
"121","CXCL10"
"122","RSAD2"
"123","GM14023"
"124","ART3"
"125","LYZ2"
"126","NT5DC2"
"127","RFC2"
"128","BE692007"
"129","GALNT6OS"
"130","GM20531"
"131","GM16731"
"132","GM15629"
"133","GTF2IRD2"
"134","TMEM132A"
"135","GM20511"
"136","RP24-444I15.1"
"137","TESK1"
"138","KRR1"
"139","SLFN5OS"
"140","POLG2"
"141","GM14024"
"142","GM28294"
"143","TRPT1"
"144","PMCH"
"145","GM17147"
"146","C920021L13RIK"
"147","DTX3"
"148","GM16559"
"149","GM2245"
"150","HDGFRP3"
"151","DDX3Y"
"152","C1QC"
"153","TCTN1"
"154","CCL3"
"155","COL7A1"
"156","GM13709"
"157","GM15756"
"158","DENND6B"
"159","G530012D18RIK"
"160","LCP1"
"161","CDAN1"
"162","GM1976"
"163","HEG1"
"164","FBLN2"
"165","GM15792"
"166","PRUNE2"
"167","EIF2S3Y"
"168","GM27038"
"169","POLG"
"170","WBSCR17"
"171","SHARPIN"
"172","GM10419"
"173","GM15419"
"174","CDC23"
"175","0610038B21RIK"
"176","MINA"
"177","POSTN"
"178","MKI67"
"179","GM16096"
"180","EXOSC9"
"181","GM12743"
"182","EZH2"
"183","GM14091"
"184","ADAP2OS"
"185","ELOVL1"
"186","ADAMTS4"
"187","THBS2"
"188","GM5812"
"189","GM16034"
"190","GM15760"
"191","RCCD1"
"192","GM17017"
"193","BACH1"
"194","SPTB"
"195","HIPK4"
"196","SMOC2"
"197","EPHB2"
"198","HOXB5OS"
"199","HIAT1"
"200","1700037H04RIK"
"201","HOXB3"
"202","ZFP710"
"203","PLEKHA2"
"204","SIRPA"
"205","PLAT"
"206","SLC16A11"
"207","TNNC2"
"208","POLR2L"
"209","STAB1"
"210","CNN1"
"211","ZDHHC17"
"212","MPEG1"
"213","VCAN"
"214","GM14221"
"215","APOE"
"216","GM15418"
"217","GM10392"
"218","CCNYL1"
"219","GM15819"
"220","GM14597"
"221","PAQR4"
"222","ADAM8"
"223","GM14042"
"224","SHC2"
"225","GM2788"
"226","MPDU1"
"227","TRMT1"
"228","CAR9"
"229","ATRIP"
"230","GM26916"
"231","SLC5A12"
"232","HMGN1"
"233","DOCK1"
"234","DEGS2"
