"","x"
"1","ABCA1"
"2","ABCB4"
"3","ABCB9"
"4","ABCG5"
"5","ABCG8"
"6","ADAM19"
"7","ADORA1"
"8","ADORA2A"
"9","AFP"
"10","AGER"
"11","AGT"
"12","AHCTF1"
"13","ALOX12"
"14","ALOX5"
"15","AMACR"
"16","AMH"
"17","ANGPT1"
"18","APOBEC2"
"19","APOD"
"20","APOE"
"21","AR"
"22","ARFRP1"
"23","ASPH"
"24","ASS1"
"25","ATP1A2"
"26","B2M"
"27","BACE1"
"28","BAX"
"29","BCL2"
"30","BCL2L1"
"31","BCL2L11"
"32","BCL3"
"33","BDKRB1"
"34","BDNF"
"35","BGN"
"36","BLNK"
"37","BMI1"
"38","BMP2"
"39","BMP4"
"40","BNIP3"
"41","BRCA2"
"42","BTK"
"43","C3"
"44","C4A"
"45","CALCB"
"46","CASP4"
"47","CAV1"
"48","CCL17"
"49","CCL2"
"50","CCL20"
"51","CCL28"
"52","CCL3"
"53","CCL4"
"54","CCL5"
"55","CCND1"
"56","CCND2"
"57","CCND3"
"58","CCR5"
"59","CCR7"
"60","CD274"
"61","CD38"
"62","CD40"
"63","CD44"
"64","CD48"
"65","CD80"
"66","CD83"
"67","CD86"
"68","CDK6"
"69","CDKN1A"
"70","CEBPD"
"71","CFB"
"72","CFLAR"
"73","COL1A2"
"74","CR2"
"75","CREB3"
"76","CSF1"
"77","CSF3"
"78","CTSB"
"79","CXCL1"
"80","CXCL10"
"81","CXCL3"
"82","CYP27B1"
"83","CYP7B1"
"84","DCTN4"
"85","DIO2"
"86","DMP1"
"87","DNASE1L2"
"88","DPYD"
"89","DUSP1"
"90","E2F3"
"91","EBI3"
"92","EDN1"
"93","EGFR"
"94","EGR1"
"95","ELF3"
"96","ENG"
"97","ENO2"
"98","EPHA1"
"99","ERBB2"
"100","F11R"
"101","F3"
"102","F8"
"103","FAS"
"104","FCGRT"
"105","FN1"
"106","FOS"
"107","FSTL3"
"108","FTH1"
"109","GADD45B"
"110","GATA3"
"111","GCLC"
"112","GCLM"
"113","GCNT1"
"114","GNAI2"
"115","GNB2L1"
"116","GRIN1"
"117","GRIN2A"
"118","GSTP1"
"119","GUCY1A2"
"120","HAS1"
"121","HGF"
"122","HIF1A"
"123","HMGN1"
"124","HMOX1"
"125","HPSE"
"126","HSD11B2"
"127","HSP90AA1"
