"","P7_4_Ctrl1","P7_4_Ctrl2","P8_4_Ctrl3","P8_4_Ctrl4","P8_4_Ctrl5","P8_4_Lps3","P8_4_Lps5","P8_4_Lps4","P7_4_Lps1","P7_4_Lps2","P4_5_Ctrl1","P4_5_Ctrl3","P4_5_Ctrl2","P4_5_Lps2","P4_5_Lps3","P4_5_Lps1"
"0610005C13RIK",27.8445682236157,30.2939650297714,28.9228567278104,29.4065837490713,25.2769986796699,16.7949792655248,27.2503108072654,22.8145734353304,24.5844507540497,19.1722604921973,42.9590335770512,42.9375919399915,36.0277634157983,39.5024525416318,9.35661570203527,39.7169293070532
"0610007P14RIK",982.153860978444,988.795018571737,934.762114245617,976.750989449923,1001.25000325581,929.831124791327,913.29829554047,941.349138701241,926.014311735872,916.885163538611,786.058912260937,1289.39062855092,828.63855856336,796.286280181315,1139.16796172279,766.095436411604
"0610009B22RIK",450.575740345781,439.262492931685,413.535313214651,451.956571774188,415.666200510128,359.565237911917,367.466312401003,379.912244597023,367.400958491076,387.956329959757,439.644577671524,1053.23387288097,474.79445358677,465.713124701344,736.833486535278,369.808741770118
"0610009E02RIK",22.7819194556855,26.0528099256034,19.6921577721262,21.7156310762373,31.5962483495874,27.482693343586,14.0380389007125,28.7662012880253,16.3896338360331,18.0444804632445,43.8730555680523,70.7207396658684,42.4612925971908,54.0559876885488,130.992619828494,36.1865355908707
"0610009L18RIK",25.3132438396506,29.6880857291759,19.6921577721262,20.8108131147274,21.0641655663916,14.504754820226,11.5607379182338,23.8065114107795,12.2922253770248,20.3000405211501,29.2487037120349,25.2574070235244,38.6011750883553,31.1861467433936,25.730693180597,32.6561418746882
"0610009O20RIK",775.850923685291,771.284349657979,791.378590467323,868.625243049491,815.885346271568,767.22518917511,779.524042486621,781.647124653928,717.046480326449,727.418118674544,790.629022215943,551.874343464009,820.918323545689,702.727839951135,678.354638397557,744.913074114509
"0610010F05RIK",884.697872195789,897.307244181828,844.301264479912,882.649921452894,858.013677404352,835.168514385642,876.13878080329,876.873170297046,876.845410227772,941.696324175572,903.967749100078,1150.47488992154,868.526439487994,806.681662429113,664.319714844504,841.998901309528
"0610010K14RIK",326.540845531493,293.245581488187,323.074463448946,356.04586785414,304.728261860465,317.577789748105,289.844214950004,332.299221775464,300.476620327274,301.117267730392,291.573015129348,660.481193665164,324.249870742184,399.182678315437,498.239786133378,420.999450654764
"0610011F06RIK",225.28787017289,215.087151711377,235.075133404757,232.990625088796,235.918654343586,229.022444529884,184.146039697581,217.234416623363,189.84659193405,178.189244574539,253.184091507302,462.210548530497,288.222107326386,197.512262708159,530.987941090502,269.192520858916
"0610012G03RIK",63.2831095991265,65.4349644643061,99.691548721389,149.747372629886,89.1716342310578,79.3944474370263,74.3190294743601,88.2824798149741,69.6559438031408,49.6223212739224,56.6693634420676,77.0350914217495,86.2092910306601,37.4233760920723,84.2095413183175,82.0816539012433
"0610030E20RIK",575.876297352051,588.914680178755,587.687833511892,585.869630077652,596.818024381096,619.887416527552,586.294565853285,589.211157416793,554.515944785787,595.467855287068,661.751921484789,554.400084166361,687.100916572724,659.067234510384,713.44194728019,711.374333810775
"0610031J06RIK",6186.55679441061,6196.32760718943,6300.87510715001,6441.85147696964,6112.82084736685,5940.07880295675,5937.26468800721,6036.93451858351,5894.80496969325,5782.12820844091,6087.38646006726,8736.5370894371,6629.10846850688,6226.83396643091,8874.74999338046,6162.30223159657
"0610031O16RIK",6.32831095991265,7.27055160714513,9.84607888606311,9.95299757660875,17.5534713053263,16.0315711170919,15.6895728890316,13.8871316562881,9.56061973768599,16.9167004342917,16.4523958380196,47.9890733446964,9.00694085394956,10.3953822477978,2.33915392550882,26.4779528713688
"0610037L13RIK",793.570194373047,828.842883214544,776.609472138228,746.927227226411,777.26770939985,826.77102475288,742.364527749441,813.389139868301,800.360452326284,822.151641106577,816.221637963973,1060.81109498803,913.561143757741,760.941980538803,594.14509707924,841.116302880482
"0610039K10RIK",3.79698657594759,1.21175860119085,1.84613979113683,1.35722694226483,2.80855540885221,3.05363259373178,1.65153398831911,0.991937975449147,1.36580281966943,2.25556005790556,1.82804398200218,1.26287035117622,2.57341167255702,4.15815289911914,2.33915392550882,3.53039371618251
"0610040B10RIK",44.2981767193886,25.4469306250079,28.9228567278104,26.6921298645417,27.3834152363091,21.3754281561225,23.9472428306271,18.8468215335338,28.681859213058,30.4500607817251,49.3571875140588,49.2519436958726,56.6150567962544,49.8978347894297,21.0523853295794,53.8385041717832
"0610040F04RIK",2.53132438396506,4.24115510416799,1.23075986075789,2.71445388452966,2.10641655663916,2.29022444529884,1.65153398831911,2.97581392634744,4.09740845900828,5.6389001447639,1.82804398200218,1.26287035117622,2.57341167255702,2.07907644955957,2.33915392550882,1.76519685809125
"0610040J01RIK",3.79698657594759,6.05879300595427,4.30765951265261,4.97649878830438,6.31924966991748,2.29022444529884,2.47730098247867,2.97581392634744,1.36580281966943,2.25556005790556,17.3664178290207,15.1544442141147,7.72023501767105,2.07907644955957,2.33915392550882,7.94338586141064
"0610043K17RIK",6.32831095991265,3.63527580357256,2.46151972151578,3.61927184603955,2.80855540885221,6.87067333589651,4.95460196495734,9.91937975449147,8.19481691801656,9.02224023162224,8.22619791900981,5.05148140470489,9.00694085394956,8.31630579823828,16.3740774785617,4.41299214522813
"1-MAR",173.395720301607,178.128514375056,171.691000575726,168.748549821594,187.471073540885,83.211488179191,103.220874269945,90.2663557658724,81.9481691801656,90.2224023162225,21.0225057930251,1.26287035117622,24.4474108892917,22.8698409451553,7.01746177652645,19.4171654390038
"1-SEP",55.6891364472313,60.5879300595427,86.7685701834312,87.3149332857041,70.9160240735184,54.2019785387391,42.1141167021374,64.4759684041946,51.9005071474382,48.4945412449696,30.162725703036,23.9945366723482,24.4474108892917,33.2652231929531,95.9053109458616,31.7735434456426
"10-MAR",10.1252975358602,4.84703440476342,6.76917923416839,4.52408980754943,5.61711081770443,4.58044889059767,0.825766994159557,3.96775190179659,2.73160563933885,2.25556005790556,5.48413194600654,1.26287035117622,5.14682334511404,6.23722934867871,2.33915392550882,6.17818900331939
"10-SEP",689.785894630479,741.596263928803,604.918471562503,633.372573056921,644.563466331583,692.411190628681,677.128935210836,741.969605635962,663.780170359342,762.37929957208,369.26488436444,601.126287159881,386.011750883553,349.284843526008,477.187400803799,382.165119776756
"1010001B22RIK",5.06264876793012,9.69406880952684,6.76917923416839,5.42890776905932,8.42566622655665,6.87067333589651,0.825766994159557,1.98387595089829,2.73160563933885,4.51112011581112,8.22619791900981,11.365833160586,10.2936466902281,14.553535146917,2.33915392550882,8.82598429045627
"1010001N08RIK",5.06264876793012,7.87643090774055,8.61531902530523,4.07168082679449,8.42566622655665,8.3974896327624,7.43190294743601,7.93550380359318,13.6580281966943,19.1722604921973,7.31217592800872,7.57722210705733,5.14682334511404,4.15815289911914,2.33915392550882,12.3563780066388
"11-MAR",2.53132438396506,1.81763790178628,3.07689965189472,7.23854369207909,8.42566622655665,7.63408148432945,10.7349709240742,14.8790696317372,10.9264225573554,6.76668017371668,5.48413194600654,1.26287035117622,5.14682334511404,18.7116880460361,2.33915392550882,14.12157486473
"11-SEP",9335.52432806314,9789.79773902091,8001.16985478704,8010.35341324703,7960.8503063916,8464.6695498245,8801.02462375255,8541.5779065926,9413.11303316169,10003.4088568112,5083.79031394806,1448.51229279913,5198.29157856518,4867.11796841895,2364.88461868942,4727.19718596838
"1110001J03RIK",54.4234742552488,63.6173265625199,59.0764733163787,69.6709830362613,58.2775247336835,59.5458355777697,62.7582915561263,53.564650674254,61.4611268851242,56.389001447639,63.0675173790752,138.915738629384,74.6289385041535,97.7165931292998,91.2270030948439,72.3730711817414
"1110002E22RIK",11.3909597278428,8.48231020833598,11.6922186771999,7.23854369207909,10.5320827831958,35.1167748279155,33.8564467605418,39.6775190179659,27.3160563933885,25.938940665914,4.57010995500545,3.78861105352867,9.00694085394956,2.07907644955957,4.67830785101764,9.7085827195019
"1110002J07RIK",8.85963534387771,10.9058274107177,10.4614588164421,14.4770873841582,11.2342216354089,12.2145303749271,9.90920392991468,6.94356582814403,13.6580281966943,12.4055803184806,6.39815393700763,1.26287035117622,19.3005875441776,4.15815289911914,2.33915392550882,6.17818900331939
"1110002L01RIK",305.02458826779,332.62773602689,297.22850637303,288.636929721654,306.132539564891,283.224423068623,274.980409055132,267.82325337127,293.647606228927,225.556005790556,357.382598481426,255.099810937597,351.270693304033,261.963632644506,243.272008252917,324.796221888791
"1110004E09RIK",226.553532364873,225.387099821499,212.306075980736,233.895443050306,209.939516811703,242.763791201677,241.123962294591,227.153796377855,218.528451147108,222.172665703698,247.699959561295,587.234713296943,289.508813162665,270.279938442744,486.544016505834,245.362363274684
"1110004F10RIK",2217.44016035339,2328.39415218823,2127.36841932001,2174.27756150826,2286.1641028057,2236.78587490853,2131.30461192582,2281.45734353304,2166.16327199571,2333.3768799033,2234.78376799766,4186.41521414917,2246.58839014228,2239.16533617566,3890.01297812116,2195.90489146552
"1110007C09RIK",577.141959544034,628.902714018053,755.071174574965,826.551207839281,796.927597261816,664.165089136662,658.962061339326,757.840613243148,594.124226556201,558.251114331626,430.504357761513,909.26665284688,492.808335294669,378.391913819842,1064.31503610651,448.360001955178
"1110008F13RIK",1909.88424770164,2029.08977769409,1928.60070180761,2097.36803477992,2076.224585994,2052.80451113619,2078.4555242996,2138.61827506836,1981.77989134034,2104.43753402589,1537.38498886383,2273.1666321172,1496.43888759191,1532.2793433254,1759.04375198263,1472.17417964811
"1110008L16RIK",317.681210187615,353.227632247134,371.689477948883,326.186875124314,293.494040225056,449.647399427005,416.186565056417,404.710693983252,345.548113376365,420.661950799387,400.341632058477,591.023324350472,388.58516255611,461.554971802225,526.309633239484,487.194332833186
"1110008P14RIK",237.944492092716,241.13996163698,361.843399062819,470.957748965896,380.559257899475,381.704074216473,329.481030669663,387.847748400617,281.355380851902,252.622726485423,284.260839201339,718.57322981927,348.697281631476,291.07070293834,615.197482408819,370.691340199163
"1110012L19RIK",775.850923685291,801.57831468775,719.379138612986,755.07058888,766.735626616655,625.231273566582,610.241808683912,621.945110606615,609.148057572564,676.668017371668,943.270694713125,979.987392512748,999.770434788402,854.500420768983,1125.13303816974,830.525121731935
"1110017D15RIK",8.85963534387771,8.48231020833598,5.5384193734105,12.2150424803835,5.61711081770443,12.2145303749271,12.3865049123933,9.91937975449147,16.3896338360331,11.2778002895278,7.31217592800872,1.26287035117622,5.14682334511404,8.31630579823828,25.730693180597,11.4737795775931
"1110018N20RIK",2.53132438396506,2.42351720238171,3.69227958227367,1.35722694226483,3.51069426106527,4.58044889059767,1.65153398831911,2.97581392634744,2.73160563933885,6.76668017371668,8.22619791900981,1.26287035117622,3.86011750883553,8.31630579823828,2.33915392550882,3.53039371618251
"1110019D14RIK",111.378272894463,114.511187812536,88.614709974568,107.220928438922,106.022966684171,90.8455696635205,69.3644275094028,105.14542539761,92.874591737521,101.50020260575,122.478946794146,169.224627057614,111.94340775623,95.6375166797402,25.730693180597,94.4380319078821
"1110020A21RIK",8.85963534387771,7.87643090774055,3.69227958227367,6.33372573056921,9.82994393098275,3.81704074216473,4.12883497079778,4.95968987724574,8.19481691801656,4.51112011581112,5.48413194600654,1.26287035117622,5.14682334511404,16.6326115964766,2.33915392550882,7.06078743236502
"1110032A03RIK",396.152266090532,416.239079509059,406.766133980482,446.527664005129,446.560310007502,380.94066606804,356.731341476928,394.791314228761,342.816507737026,367.656289438607,729.38954881887,1281.81340644387,774.596913439662,567.587870729763,608.180020632293,660.183624926129
"1110034G24RIK",175.927044685572,161.163893958384,139.69124419602,139.341966072523,134.810659624906,123.672120046137,120.561981147295,123.992246931143,110.630028393224,133.078043416428,186.460486164222,243.733977777011,207.15963964084,147.614427918729,271.341855359023,195.054252819084
"1110035H17RIK",16.4536084957729,16.3587411160765,19.6921577721262,25.7873119030318,0.702138852213054,19.0852037108236,20.6441748539889,25.7903873616778,1.36580281966943,1.12778002895278,19.1944618110229,1.26287035117622,6.43352918139255,20.7907644955957,2.33915392550882,10.5911811485475
"1110037F02RIK",3347.67649779379,3419.58277256059,3163.66822207815,3040.18835067322,3234.75369214554,3037.60102261469,3240.3096850821,3239.66942781691,3328.46147153439,3304.39548483165,3660.65807395936,3741.88485053514,3611.78328243378,3711.15146246383,3478.32188723161,3751.92592187296
"1110038B12RIK",1894.69630139785,1983.04295084883,2289.21334100967,2507.2505713439,2386.56995867217,2358.9311786578,2324.53408855915,2311.21548279651,2025.48558156976,1993.91509118852,2467.85937570294,2663.39357063065,2745.83025461834,2715.2738431248,1599.98128504803,2387.42875056842
"1110038F14RIK",345.525778411231,361.104063154875,421.535252309577,498.102287811193,433.921810667667,886.316860330649,920.730198487906,931.429758946749,796.263043867276,770.273759774749,403.997720022482,382.649716406395,396.305397573781,496.899271444737,727.476870833243,569.275986734429
"1110046J04RIK",154.410787421869,159.952135357193,198.15233758202,171.010594725369,176.93899075769,212.990873412792,179.191437732624,191.444029261685,170.725352458678,151.122523879673,161.781892407193,179.327589867023,169.845170388763,180.879651111683,283.037624986567,161.51551251535
"1110051M20RIK",548.031729128436,566.497146056724,563.688016227113,583.155176193122,541.349055056264,560.341580949782,555.741187069382,521.759375086251,562.710761703804,536.823293781524,659.009855511786,966.09581864981,647.21303564809,684.016151905099,900.574261320895,669.009609216585
"1110054M08RIK",89.8620156307597,78.7643090774055,76.3071113669891,78.2667536706052,61.7882189947487,67.9433252105321,50.371786643733,54.5565886497031,53.2663099671077,46.238981187064,90.4881771091079,75.7722210705733,77.2023501767105,70.6885992850254,98.2444648713704,69.7252758946045
"1110057K04RIK",1466.90248050775,1435.32806311057,1466.45037409303,1499.73577120264,1509.59853225807,1488.64588944424,1395.54622012965,1420.45518084318,1312.53650970232,1401.83057598831,1747.61004679408,1906.93423027609,1812.96852331642,1706.92176508841,1651.44267140923,1789.02701567549
"1110058L19RIK",388.558292938637,398.062700491196,433.227470986777,401.286765929635,408.644811987997,408.423359411626,391.41355523163,357.097671161693,367.400958491076,324.800648338401,382.975214229457,848.648875990421,343.550458286362,307.703314534816,414.030244815061,302.73126116265
"1110059E24RIK",556.891364472313,462.891785654906,444.919689663977,446.527664005129,453.581698529633,506.903010559476,488.028293548298,485.057669994633,495.786423540002,548.101094071051,477.119479302569,908.003782495703,431.046455153301,430.368825058831,629.232405961872,458.06858467468
"1110059G10RIK",268.320384700296,297.486736592355,276.920968670525,280.04115908731,301.919706451613,271.009892693696,264.245438131058,269.807129322168,275.892169573224,296.606147614581,411.30989595049,728.67619262868,398.878809246338,343.047614177329,388.299551634464,335.387403037338
"1110065P20RIK",236.678829900733,288.398547083423,262.15185034143,355.14104989263,319.473177756939,248.107648240707,262.593904142739,241.040928034143,281.355380851902,244.728266282753,289.744971147345,415.484345536977,307.522694870564,274.438091341863,264.324393582496,255.953544423232
"1190002N15RIK",1193.51944703953,1271.13477264921,830.762906011575,853.695746684578,908.567674763691,433.615828309913,441.785341875363,499.93673962637,591.392620916862,570.656694650107,1223.87544595046,435.690271155796,1082.11960831023,846.184114970745,210.523853295794,836.703310735254
