Gene,TF,Tissue,log2FoldChange,TF_Family,Gene_encoded,TF_encoded,Tissue_encoded
ENG,CTCF,LMC,-1.88796924738985,Zf,894,7,0
ENG,CTCF,LMC,-1.88796924738985,Zf,894,7,0
ENG,CTCF,LMC,-1.88796924738985,Zf,894,7,0
ENG,CTCF,LMC,-1.88796924738985,Zf,894,7,0
ENG,ELF1,LMC,-1.88796924738985,ETS,894,14,0
ENG,ELF1,LMC,-1.88796924738985,ETS,894,14,0
ENG,ELF1,LMC,-1.88796924738985,ETS,894,14,0
ENG,ELF1,LMC,-1.88796924738985,ETS,894,14,0
ENG,ELK1,LMC,-1.88796924738985,ETS,894,15,0
ENG,ELK1,LMC,-1.88796924738985,ETS,894,15,0
ENG,ELK1,LMC,-1.88796924738985,ETS,894,15,0
ENG,ELK1,LMC,-1.88796924738985,ETS,894,15,0
ENG,GABPA,LMC,-1.88796924738985,ETS,894,24,0
ENG,GABPA,LMC,-1.88796924738985,ETS,894,24,0
ENG,GABPA,LMC,-1.88796924738985,ETS,894,24,0
ENG,GABPA,LMC,-1.88796924738985,ETS,894,24,0
ENG,GATA1,LMC,-1.88796924738985,Zf,894,25,0
ENG,GATA1,LMC,-1.88796924738985,Zf,894,25,0
ENG,GATA1,LMC,-1.88796924738985,Zf,894,25,0
ENG,GATA1,LMC,-1.88796924738985,Zf,894,25,0
ENG,MAFK,LMC,-1.88796924738985,bZIP,894,34,0
ENG,MAFK,LMC,-1.88796924738985,bZIP,894,34,0
ENG,MAFK,LMC,-1.88796924738985,bZIP,894,34,0
ENG,MAFK,LMC,-1.88796924738985,bZIP,894,34,0
ENG,MAX,LMC,-1.88796924738985,bHLH,894,35,0
ENG,MAX,LMC,-1.88796924738985,bHLH,894,35,0
ENG,MAX,LMC,-1.88796924738985,bHLH,894,35,0
ENG,MAX,LMC,-1.88796924738985,bHLH,894,35,0
ENG,MAZ,LMC,-1.88796924738985,Zf,894,36,0
ENG,MAZ,LMC,-1.88796924738985,Zf,894,36,0
ENG,MAZ,LMC,-1.88796924738985,Zf,894,36,0
ENG,MAZ,LMC,-1.88796924738985,Zf,894,36,0
ENG,RFX5,LMC,-1.88796924738985,HTH,894,46,0
ENG,RFX5,LMC,-1.88796924738985,HTH,894,46,0
ENG,RFX5,LMC,-1.88796924738985,HTH,894,46,0
ENG,RFX5,LMC,-1.88796924738985,HTH,894,46,0
ENG,STAT1,LMC,-1.88796924738985,Stat,894,49,0
ENG,STAT1,LMC,-1.88796924738985,Stat,894,49,0
ENG,STAT1,LMC,-1.88796924738985,Stat,894,49,0
ENG,STAT1,LMC,-1.88796924738985,Stat,894,49,0
ENG,USF1,LMC,-1.88796924738985,bHLH,894,54,0
ENG,USF1,LMC,-1.88796924738985,bHLH,894,54,0
ENG,USF1,LMC,-1.88796924738985,bHLH,894,54,0
ENG,USF1,LMC,-1.88796924738985,bHLH,894,54,0
ENG,YY1,LMC,-1.88796924738985,Zf,894,56,0
ENG,YY1,LMC,-1.88796924738985,Zf,894,56,0
ENG,YY1,LMC,-1.88796924738985,Zf,894,56,0
ENG,YY1,LMC,-1.88796924738985,Zf,894,56,0
ENG,ZKSCAN1,LMC,-1.88796924738985,Zf,894,59,0
ENG,ZKSCAN1,LMC,-1.88796924738985,Zf,894,59,0
