Iteration,CV_R2,CV_MSE,Test_R2,Test_MSE
1,0.6435144529877646,1.7457273935572477,0.745589713413786,1.235645449368961
2,0.6716537997456637,1.6003108864503894,0.7695820541674876,1.111111464838514
3,0.6716319911065032,1.6048729617317754,0.7590872765191703,1.1853721854552193
4,0.6644060845139407,1.672686417665081,0.7506738445743948,1.184286053617939
5,0.681108465414876,1.586966392917377,0.7682267014872597,1.1775522906200042
6,0.6375067656107045,1.7768379375150603,0.7084233606844955,1.4054114499537986
7,0.6760955306618591,1.596277462413561,0.7558583786728112,1.228352089706152
8,0.6652060079410772,1.608660494493197,0.7668653206665409,1.1202025530181179
9,0.6535211394458496,1.724992608266366,0.7529050519793558,1.2081695914502588
10,0.6424386041851243,1.7405564987239626,0.7433703934512452,1.255116604774236
Mean ± Std,0.6607 ± 0.0146,1.6658 ± 0.0708,0.7521 ± 0.0170,1.2111 ± 0.0783
