Gene_encoded,TF_encoded,Tissue_encoded,log2FoldChange,Gene,TF,Tissue,TF_Family
2297,11,1,2.65957264531854,POU3F4,E2F6,MEF,E2F
1463,7,1,-1.11626598764505,INCENP,CTCF,MEF,Zf
1346,21,0,1.85192391244381,HMHA1,FOXA1,LMC,Forkhead
1744,34,0,1.61605159328595,MAFB,MAFK,LMC,bZIP
3225,36,1,5.45899308497482,WNT10A,MAZ,MEF,Zf
1217,24,1,-1.68453986158092,GNG3,GABPA,MEF,ETS
711,14,1,2.11217937635769,CYBRD1,ELF1,MEF,ETS
2018,7,1,3.27657972227678,NOTUM,CTCF,MEF,Zf
2424,8,1,-1.43699971579521,RAB3D,CUX1,MEF,Homeobox
3037,10,1,2.44630845450856,TMEM255A,E2F4,MEF,E2F
589,10,1,-2.54677802260555,CMTM8,E2F4,MEF,E2F
1348,58,0,1.6180838227508,HMOX1,ZEB1,LMC,Zf
1995,7,1,-1.79862701384107,NKAIN3,CTCF,MEF,Zf
1256,34,1,5.22776982339002,GPR37,MAFK,MEF,bZIP
948,49,1,-1.28879864864141,F2R,STAT1,MEF,Stat
1421,50,1,-1.30620556259726,IGF2BP3,STAT3,MEF,Stat
2452,23,0,1.99174899636394,RASAL3,FOXM1,LMC,Forkhead
1792,6,1,-5.09340625018667,MCOLN2,BHLHE40,MEF,bHLH
1277,12,1,3.21200492818692,GRHL1,EBF1,MEF,EBF
1476,24,1,1.61848963132255,IRF6,GABPA,MEF,ETS
1219,12,1,-2.16856191000515,GNGT2,EBF1,MEF,EBF
1957,0,0,-1.64466006634202,NDC80,ATF1,LMC,bZIP
198,57,1,-3.3044652172803,ARHGEF39,ZBTB33,MEF,Zf
1269,36,1,-3.15847904173922,GPSM3,MAZ,MEF,Zf
944,15,0,-1.00757252383823,EZH2,ELK1,LMC,ETS
2564,6,1,-1.20488236911413,S1PR2,BHLHE40,MEF,bHLH
2750,19,0,1.09773948896469,SLC46A3,FOS,LMC,bZIP
1662,60,1,4.04496698430501,LIN7A,ZNF263,MEF,Zf
1441,7,0,-1.95169115556536,IL17D,CTCF,LMC,Zf
108,16,1,1.07862740724675,ALCAM,ELK4,MEF,ETS
563,56,1,-3.27232018490678,CKAP2L,YY1,MEF,Zf
2615,15,0,-1.46513423498235,SEMA6A,ELK1,LMC,ETS
609,49,1,2.58711429478437,COL14A1,STAT1,MEF,Stat
3103,22,1,-2.65821541512878,TRIM14,FOXA2,MEF,Forkhead
490,53,1,-1.01868372437041,CDK2,TEAD4,MEF,TEA
698,47,0,2.17434427517752,CXADR,SP1,LMC,Zf
3016,54,1,1.16688239476946,TMEM151A,USF1,MEF,bHLH
1596,54,1,1.73718361562128,KLHL31,USF1,MEF,bHLH
276,34,0,-2.52309707321754,BCAT1,MAFK,LMC,bZIP
1279,36,1,1.2815939015013,GRIA2,MAZ,MEF,Zf
1662,53,0,-1.79206421323517,LIN7A,TEAD4,LMC,TEA
3160,11,1,-2.89414773676838,UBE2C,E2F6,MEF,E2F
2330,21,1,-1.38610302093725,PREX1,FOXA1,MEF,Forkhead
2908,11,0,2.15018091102076,SYCP3,E2F6,LMC,E2F
2479,52,0,1.00352479153394,RCSD1,TCF3,LMC,HMG
842,11,0,-1.22085282670557,EBF4,E2F6,LMC,E2F
3197,29,0,2.62564068851822,VILL,IRF1,LMC,IRF
1959,4,1,2.12947183778239,NDP,BATF,MEF,bZIP
988,24,1,1.57124127789086,FAM19A3,GABPA,MEF,ETS
1680,13,0,-2.52137855759845,LOXL4,EGR1,LMC,Zf
1655,52,1,-1.4939244371639,LIG1,TCF3,MEF,HMG
1437,32,0,2.5909647487906,IL11,JUND,LMC,bZIP
3015,22,0,1.30655408629672,TMEM140,FOXA2,LMC,Forkhead
65,54,1,-1.53401258580735,ADAMTSL2,USF1,MEF,bHLH
1914,54,0,-1.36772091134983,MYLK,USF1,LMC,bHLH
2466,1,1,1.32338894662691,RB1,ATF2,MEF,bZIP
2756,35,0,2.04133615806583,SLC7A14,MAX,LMC,bHLH
2223,51,0,2.42323666921668,PKIB,TCF12,LMC,bHLH
371,55,0,-1.48706087543006,CASS4,USF2,LMC,bHLH
1984,8,1,-1.74102844682325,NFKBID,CUX1,MEF,Homeobox
693,12,0,-1.02311552800996,CUL7,EBF1,LMC,EBF
1941,2,0,1.87583189367755,NAT8L,ATF3,LMC,bZIP
706,22,1,1.17172577203364,CXXC5,FOXA2,MEF,Forkhead
1901,24,1,1.12093207460751,MYBL1,GABPA,MEF,ETS
2937,7,1,1.50150751434557,TBC1D8,CTCF,MEF,Zf
1201,11,1,5.88965789173088,GLDN,E2F6,MEF,E2F
54,15,0,-1.06071433236995,ADAMTS1,ELK1,LMC,ETS
711,17,0,1.60648665149506,CYBRD1,ETS1,LMC,ETS
2484,29,1,-1.61727756925469,REPS2,IRF1,MEF,IRF
879,43,0,1.68125619987682,ELMO1,PAX5,LMC,"Paired,Homeobox"
2439,25,1,-1.16961792333877,RALGPS2,GATA1,MEF,Zf
1751,25,0,1.2574581791148,MAN1C1,GATA1,LMC,Zf
791,50,0,-1.80214698809254,DNM3OS,STAT3,LMC,Stat
2505,34,1,1.57356945981718,RHPN2,MAFK,MEF,bZIP
2496,47,0,-1.87567434541817,RGS5,SP1,LMC,Zf
2209,46,1,-3.76137984375333,PIF1,RFX5,MEF,HTH
1809,1,1,-1.12365506432939,MESDC1,ATF2,MEF,bZIP
116,6,1,1.26327774022441,ALOX5,BHLHE40,MEF,bHLH
1380,44,0,2.66649461859052,HOXD8,PBX3,LMC,Homeobox
3040,59,0,-1.15867301067613,TMEM38A,ZKSCAN1,LMC,Zf
1730,27,0,2.2809729198419,LYL1,GATA3,LMC,Zf
2988,44,1,2.47016823813231,TIPARP,PBX3,MEF,Homeobox
340,36,1,-1.36183817971496,CACNA1G,MAZ,MEF,Zf
2296,42,1,-3.99984604222538,POU2F2,NRF1,MEF,NRF
1859,10,0,-1.22977631970534,MNS1,E2F4,LMC,E2F
1181,14,1,3.4981608425236,GFRA3,ELF1,MEF,ETS
2686,58,1,1.0133885125942,SLC12A2,ZEB1,MEF,Zf
2626,6,1,3.1389116323707,SERPINE2,BHLHE40,MEF,bHLH
235,3,0,-1.029209618599,ATG16L2,BACH1,LMC,bZIP
171,19,0,-1.30844755503104,APOLD1,FOS,LMC,bZIP
267,34,0,1.93708273972907,BAI2,MAFK,LMC,bZIP
2110,19,0,1.9334545394149,PADI1,FOS,LMC,bZIP
317,33,0,1.98250644378338,BTK,MAFF,LMC,bZIP
1571,6,1,-2.07809907277535,KIF20B,BHLHE40,MEF,bHLH
2668,19,1,2.58347136368488,SHROOM3,FOS,MEF,bZIP
1850,46,0,-1.38750787951632,MMP17,RFX5,LMC,HTH
1614,14,1,-1.61904378831684,LAG3,ELF1,MEF,ETS
1421,13,1,-1.30620556259726,IGF2BP3,EGR1,MEF,Zf
1613,24,0,2.4317777613676,LAD1,GABPA,LMC,ETS
1665,42,1,-1.09066040559918,LIPA,NRF1,MEF,NRF
2688,3,0,2.79969545867571,SLC13A4,BACH1,LMC,bZIP
2132,32,0,-3.97146035306406,PAX9,JUND,LMC,bZIP
1835,13,1,1.22196139832031,MKX,EGR1,MEF,Zf
1935,7,0,-1.2886287110064,NACAD,CTCF,LMC,Zf
2702,35,1,-2.34280893316681,SLC17A6,MAX,MEF,bHLH
150,60,1,-1.50638570003123,ANXA4,ZNF263,MEF,Zf
2614,6,1,-1.66143168013089,SEMA4G,BHLHE40,MEF,bHLH
3122,19,0,-1.24389385987994,TSHZ2,FOS,LMC,bZIP
840,11,1,-1.61717204304951,EBF2,E2F6,MEF,E2F
939,0,1,1.71146128558084,EXPH5,ATF1,MEF,bZIP
3160,46,0,-1.97475920549478,UBE2C,RFX5,LMC,HTH
2366,50,1,-1.40721476381322,PSTPIP1,STAT3,MEF,Stat
2270,51,0,1.49305765456438,PLXDC1,TCF12,LMC,bHLH
2766,17,0,2.08815946386601,SLCO2A1,ETS1,LMC,ETS
2982,0,0,-1.48427698650404,TICRR,ATF1,LMC,bZIP
3124,36,1,1.83509447372902,TSLP,MAZ,MEF,Zf
2446,1,0,1.07317576939101,RAP2A,ATF2,LMC,bZIP
2886,50,1,1.35412699954028,STK38L,STAT3,MEF,Stat
3129,55,0,-1.65562226803156,TSPAN2,USF2,LMC,bHLH
1757,3,1,-1.5178339960259,MAP1B,BACH1,MEF,bZIP
917,54,1,-2.15452790343404,ERCC6L,USF1,MEF,bHLH
1808,54,0,-1.82115918803008,MELK,USF1,LMC,bHLH
1466,13,1,-6.8335510393848,INPP5D,EGR1,MEF,Zf
3080,3,0,1.78306212287679,TOX2,BACH1,LMC,bZIP
2651,19,1,-1.09294851276797,SH3KBP1,FOS,MEF,bZIP
1705,34,0,-3.18006629249493,LRRC7,MAFK,LMC,bZIP
2116,41,1,1.25392386281418,PAM,NANOG,MEF,Homeobox
2603,49,1,1.0266249678335,SEC61G,STAT1,MEF,Stat
1094,14,1,1.9671559113756,FOXA3,ELF1,MEF,ETS
1123,7,0,1.42329473898804,FTH1,CTCF,LMC,Zf
1535,7,1,-1.95833333411484,KCND1,CTCF,MEF,Zf
2514,36,0,1.36002626195056,RNASEL,MAZ,LMC,Zf
640,32,1,2.11611963339668,CPNE7,JUND,MEF,bZIP
767,60,1,2.50105789905647,DLX1,ZNF263,MEF,Zf
2616,47,0,-1.1018521339641,SEMA6C,SP1,LMC,Zf
1446,8,0,1.17277834852757,IL18RAP,CUX1,LMC,Homeobox
3197,25,0,2.62564068851822,VILL,GATA1,LMC,Zf
1164,35,1,3.04067722262109,GCHFR,MAX,MEF,bHLH
1913,4,0,1.12680224428471,MYLIP,BATF,LMC,bZIP
296,5,1,-1.59805342544592,BLNK,BCL11A,MEF,Zf
1003,42,1,-3.49365096633453,FAM64A,NRF1,MEF,NRF
438,46,1,-3.80310192593788,CD244,RFX5,MEF,HTH
2004,12,1,-3.25660835850974,NLRP3,EBF1,MEF,EBF
3160,14,0,-1.97475920549478,UBE2C,ELF1,LMC,ETS
725,7,1,1.02420262689616,DACH2,CTCF,MEF,Zf
1751,42,0,1.2574581791148,MAN1C1,NRF1,LMC,NRF
695,55,1,1.09241109000734,CWF19L2,USF2,MEF,bHLH
1401,55,1,1.38533707225827,HSPB6,USF2,MEF,bHLH
55,54,0,-1.02577829579336,ADAMTS10,USF1,LMC,bHLH
1290,11,1,1.06880276531926,GRTP1,E2F6,MEF,E2F
2524,7,1,2.85091477264428,RNF208,CTCF,MEF,Zf
2286,52,0,3.9140576319777,PODXL,TCF3,LMC,HMG
2658,22,1,-2.88909226113325,SHC2,FOXA2,MEF,Forkhead
1966,50,1,2.59471853436988,NEBL,STAT3,MEF,Stat
248,7,1,-1.93874767251077,ATP8B4,CTCF,MEF,Zf
2057,44,0,-2.07327400721528,NUF2,PBX3,LMC,Homeobox
2507,24,1,1.46211095668612,RIC3,GABPA,MEF,ETS
762,23,0,1.09464442057264,DLEU2,FOXM1,LMC,Forkhead
441,1,0,2.38543624011782,CD300A,ATF2,LMC,bZIP
2736,27,1,2.09488654749349,SLC35G1,GATA3,MEF,Zf
3080,53,0,1.78306212287679,TOX2,TEAD4,LMC,TEA
729,42,0,-2.11502159319182,DCC,NRF1,LMC,NRF
1779,12,1,-1.49186664130323,MBOAT1,EBF1,MEF,EBF
2902,40,1,1.29983786074991,SUSD4,MYOG,MEF,bHLH
450,17,1,-6.20798443020464,CD52,ETS1,MEF,ETS
150,34,1,-1.50638570003123,ANXA4,MAFK,MEF,bZIP
854,36,0,1.36893250160883,EEPD1,MAZ,LMC,Zf
407,49,1,1.03514271363307,CCDC90B,STAT1,MEF,Stat
1871,7,0,2.04102619873036,MRC1,CTCF,LMC,Zf
826,19,1,1.4823410612308,DUSP27,FOS,MEF,bZIP
328,36,1,1.77868570595405,C1QTNF4,MAZ,MEF,Zf
1970,51,0,-1.56249356356483,NEK2,TCF12,LMC,bHLH
1465,55,1,-1.70855556177806,INPP4B,USF2,MEF,bHLH
2750,50,0,1.09773948896469,SLC46A3,STAT3,LMC,Stat
761,34,1,2.14213441280121,DKKL1,MAFK,MEF,bZIP
165,20,0,1.51242432274021,APOBEC1,FOSL2,LMC,bZIP
1387,7,1,-2.44170919251263,HPSE,CTCF,MEF,Zf
761,13,1,2.14213441280121,DKKL1,EGR1,MEF,Zf
2492,44,1,-1.83237956996519,RGS16,PBX3,MEF,Homeobox
352,51,0,5.17564912690725,CALCB,TCF12,LMC,bHLH
2572,57,1,1.24918446806687,SAP18,ZBTB33,MEF,Zf
1023,3,1,-1.69694882969295,FBLN1,BACH1,MEF,bZIP
2725,44,0,1.14130727579286,SLC2A13,PBX3,LMC,Homeobox
2616,10,0,-1.1018521339641,SEMA6C,E2F4,LMC,E2F
10,40,1,-1.23887475365134,ABCB4,MYOG,MEF,bHLH
2477,51,1,1.46967424150988,RCAN2,TCF12,MEF,bHLH
2593,60,1,1.89579329835955,SCUBE1,ZNF263,MEF,Zf
1482,25,0,1.42105511718159,ISG15,GATA1,LMC,Zf
1121,51,0,-1.09945691947873,FSTL3,TCF12,LMC,bHLH
963,11,0,1.37994791995384,FAM105A,E2F6,LMC,E2F
399,7,1,2.3751815801806,CCDC65,CTCF,MEF,Zf
2901,13,1,-5.15300147386645,SUSD3,EGR1,MEF,Zf
