Gene_encoded,TF_te,TF_Family_te,Tissue_encoded,log2FoldChange,Gene,TF,Tissue,TF_Family
2297,-0.17107733425117988,-0.23042526569186958,1,2.65957264531854,POU3F4,E2F6,MEF,E2F
1463,-0.024333375166328407,-0.24055162484804216,1,-1.11626598764505,INCENP,CTCF,MEF,Zf
1346,0.023694036513735375,-0.22772750011888523,0,1.85192391244381,HMHA1,FOXA1,LMC,Forkhead
1744,-0.2531799907181821,-0.21807786581075275,0,1.61605159328595,MAFB,MAFK,LMC,bZIP
3225,-0.19305637283257054,-0.24055162484804216,1,5.45899308497482,WNT10A,MAZ,MEF,Zf
1217,-0.44138880677200293,-0.35874841498741566,1,-1.68453986158092,GNG3,GABPA,MEF,ETS
711,-0.2384484828274451,-0.35874841498741566,1,2.11217937635769,CYBRD1,ELF1,MEF,ETS
2018,-0.024333375166328407,-0.24055162484804216,1,3.27657972227678,NOTUM,CTCF,MEF,Zf
2424,-0.5692078006234296,-0.4117228529378932,1,-1.43699971579521,RAB3D,CUX1,MEF,Homeobox
3037,-0.2295785336880661,-0.23042526569186958,1,2.44630845450856,TMEM255A,E2F4,MEF,E2F
589,-0.2295785336880661,-0.23042526569186958,1,-2.54677802260555,CMTM8,E2F4,MEF,E2F
1348,-0.35656081815482665,-0.24055162484804216,0,1.6180838227508,HMOX1,ZEB1,LMC,Zf
1995,-0.024333375166328407,-0.24055162484804216,1,-1.79862701384107,NKAIN3,CTCF,MEF,Zf
1256,-0.2531799907181821,-0.21807786581075275,1,5.22776982339002,GPR37,MAFK,MEF,bZIP
948,-0.36396349791647825,-0.22688628192079743,1,-1.28879864864141,F2R,STAT1,MEF,Stat
1421,-0.13376741412866516,-0.22688628192079743,1,-1.30620556259726,IGF2BP3,STAT3,MEF,Stat
2452,-0.6294050389829617,-0.22772750011888523,0,1.99174899636394,RASAL3,FOXM1,LMC,Forkhead
1792,-0.2134859055500093,-0.16226770650044012,1,-5.09340625018667,MCOLN2,BHLHE40,MEF,bHLH
1277,-0.36394923652108524,-0.36394923652108524,1,3.21200492818692,GRHL1,EBF1,MEF,EBF
1476,-0.44138880677200293,-0.35874841498741566,1,1.61848963132255,IRF6,GABPA,MEF,ETS
1219,-0.36394923652108524,-0.36394923652108524,1,-2.16856191000515,GNGT2,EBF1,MEF,EBF
1957,-0.4338340387794032,-0.21807786581075275,0,-1.64466006634202,NDC80,ATF1,LMC,bZIP
198,-0.4196242791334183,-0.24055162484804216,1,-3.3044652172803,ARHGEF39,ZBTB33,MEF,Zf
1269,-0.19305637283257054,-0.24055162484804216,1,-3.15847904173922,GPSM3,MAZ,MEF,Zf
944,-0.3825682599092054,-0.35874841498741566,0,-1.00757252383823,EZH2,ELK1,LMC,ETS
2564,-0.2134859055500093,-0.16226770650044012,1,-1.20488236911413,S1PR2,BHLHE40,MEF,bHLH
2750,-0.26925687732944,-0.21807786581075275,0,1.09773948896469,SLC46A3,FOS,LMC,bZIP
1662,-0.420121647582753,-0.24055162484804216,1,4.04496698430501,LIN7A,ZNF263,MEF,Zf
1441,-0.024333375166328407,-0.24055162484804216,0,-1.95169115556536,IL17D,CTCF,LMC,Zf
108,-0.0686255467634714,-0.35874841498741566,1,1.07862740724675,ALCAM,ELK4,MEF,ETS
563,-0.21040797732426292,-0.24055162484804216,1,-3.27232018490678,CKAP2L,YY1,MEF,Zf
2615,-0.3825682599092054,-0.35874841498741566,0,-1.46513423498235,SEMA6A,ELK1,LMC,ETS
609,-0.36396349791647825,-0.22688628192079743,1,2.58711429478437,COL14A1,STAT1,MEF,Stat
3103,-0.1427744352972257,-0.22772750011888523,1,-2.65821541512878,TRIM14,FOXA2,MEF,Forkhead
490,-0.10243811445811093,-0.10243811445811093,1,-1.01868372437041,CDK2,TEAD4,MEF,TEA
698,-0.2781468465397177,-0.24055162484804216,0,2.17434427517752,CXADR,SP1,LMC,Zf
3016,-0.028028488630146852,-0.16226770650044012,1,1.16688239476946,TMEM151A,USF1,MEF,bHLH
1596,-0.028028488630146852,-0.16226770650044012,1,1.73718361562128,KLHL31,USF1,MEF,bHLH
276,-0.2531799907181821,-0.21807786581075275,0,-2.52309707321754,BCAT1,MAFK,LMC,bZIP
1279,-0.19305637283257054,-0.24055162484804216,1,1.2815939015013,GRIA2,MAZ,MEF,Zf
1662,-0.10243811445811093,-0.10243811445811093,0,-1.79206421323517,LIN7A,TEAD4,LMC,TEA
3160,-0.17107733425117988,-0.23042526569186958,1,-2.89414773676838,UBE2C,E2F6,MEF,E2F
2330,0.023694036513735375,-0.22772750011888523,1,-1.38610302093725,PREX1,FOXA1,MEF,Forkhead
2908,-0.17107733425117988,-0.23042526569186958,0,2.15018091102076,SYCP3,E2F6,LMC,E2F
2479,-0.3864884434229737,-0.3864884434229737,0,1.00352479153394,RCSD1,TCF3,LMC,HMG
842,-0.17107733425117988,-0.23042526569186958,0,-1.22085282670557,EBF4,E2F6,LMC,E2F
3197,-0.3241398962390605,-0.4667786659818261,0,2.62564068851822,VILL,IRF1,LMC,IRF
1959,-0.7636466334835217,-0.21807786581075275,1,2.12947183778239,NDP,BATF,MEF,bZIP
988,-0.44138880677200293,-0.35874841498741566,1,1.57124127789086,FAM19A3,GABPA,MEF,ETS
1680,-0.39206578990544383,-0.24055162484804216,0,-2.52137855759845,LOXL4,EGR1,LMC,Zf
1655,-0.3864884434229737,-0.3864884434229737,1,-1.4939244371639,LIG1,TCF3,MEF,HMG
1437,-0.17068129734876603,-0.21807786581075275,0,2.5909647487906,IL11,JUND,LMC,bZIP
3015,-0.1427744352972257,-0.22772750011888523,0,1.30655408629672,TMEM140,FOXA2,LMC,Forkhead
65,-0.028028488630146852,-0.16226770650044012,1,-1.53401258580735,ADAMTSL2,USF1,MEF,bHLH
1914,-0.028028488630146852,-0.16226770650044012,0,-1.36772091134983,MYLK,USF1,LMC,bHLH
2466,-0.38280731081485264,-0.21807786581075275,1,1.32338894662691,RB1,ATF2,MEF,bZIP
2756,-0.12424785148432936,-0.16226770650044012,0,2.04133615806583,SLC7A14,MAX,LMC,bHLH
2223,-0.3441801093275379,-0.16226770650044012,0,2.42323666921668,PKIB,TCF12,LMC,bHLH
371,-0.15589533538605682,-0.16226770650044012,0,-1.48706087543006,CASS4,USF2,LMC,bHLH
1984,-0.5692078006234296,-0.4117228529378932,1,-1.74102844682325,NFKBID,CUX1,MEF,Homeobox
693,-0.36394923652108524,-0.36394923652108524,0,-1.02311552800996,CUL7,EBF1,LMC,EBF
1941,-0.20320451878994805,-0.21807786581075275,0,1.87583189367755,NAT8L,ATF3,LMC,bZIP
706,-0.1427744352972257,-0.22772750011888523,1,1.17172577203364,CXXC5,FOXA2,MEF,Forkhead
1901,-0.44138880677200293,-0.35874841498741566,1,1.12093207460751,MYBL1,GABPA,MEF,ETS
2937,-0.024333375166328407,-0.24055162484804216,1,1.50150751434557,TBC1D8,CTCF,MEF,Zf
1201,-0.17107733425117988,-0.23042526569186958,1,5.88965789173088,GLDN,E2F6,MEF,E2F
54,-0.3825682599092054,-0.35874841498741566,0,-1.06071433236995,ADAMTS1,ELK1,LMC,ETS
711,-0.34334100110644417,-0.35874841498741566,0,1.60648665149506,CYBRD1,ETS1,LMC,ETS
2484,-0.3241398962390605,-0.4667786659818261,1,-1.61727756925469,REPS2,IRF1,MEF,IRF
879,-0.367509213401688,-0.367509213401688,0,1.68125619987682,ELMO1,PAX5,LMC,"Paired,Homeobox"
2439,-0.3218229349053168,-0.24055162484804216,1,-1.16961792333877,RALGPS2,GATA1,MEF,Zf
1751,-0.3218229349053168,-0.24055162484804216,0,1.2574581791148,MAN1C1,GATA1,LMC,Zf
791,-0.13376741412866516,-0.22688628192079743,0,-1.80214698809254,DNM3OS,STAT3,LMC,Stat
2505,-0.2531799907181821,-0.21807786581075275,1,1.57356945981718,RHPN2,MAFK,MEF,bZIP
2496,-0.2781468465397177,-0.24055162484804216,0,-1.87567434541817,RGS5,SP1,LMC,Zf
2209,-0.07675555573538734,-0.09391104304834053,1,-3.76137984375333,PIF1,RFX5,MEF,HTH
1809,-0.38280731081485264,-0.21807786581075275,1,-1.12365506432939,MESDC1,ATF2,MEF,bZIP
116,-0.2134859055500093,-0.16226770650044012,1,1.26327774022441,ALOX5,BHLHE40,MEF,bHLH
1380,-0.3879288830557581,-0.4117228529378932,0,2.66649461859052,HOXD8,PBX3,LMC,Homeobox
3040,-0.34939441107522407,-0.24055162484804216,0,-1.15867301067613,TMEM38A,ZKSCAN1,LMC,Zf
1730,0.01123290849505778,-0.24055162484804216,0,2.2809729198419,LYL1,GATA3,LMC,Zf
2988,-0.3879288830557581,-0.4117228529378932,1,2.47016823813231,TIPARP,PBX3,MEF,Homeobox
340,-0.19305637283257054,-0.24055162484804216,1,-1.36183817971496,CACNA1G,MAZ,MEF,Zf
2296,-0.25726485204107,-0.25726485204107,1,-3.99984604222538,POU2F2,NRF1,MEF,NRF
1859,-0.2295785336880661,-0.23042526569186958,0,-1.22977631970534,MNS1,E2F4,LMC,E2F
1181,-0.2384484828274451,-0.35874841498741566,1,3.4981608425236,GFRA3,ELF1,MEF,ETS
2686,-0.35656081815482665,-0.24055162484804216,1,1.0133885125942,SLC12A2,ZEB1,MEF,Zf
2626,-0.2134859055500093,-0.16226770650044012,1,3.1389116323707,SERPINE2,BHLHE40,MEF,bHLH
235,0.12201789027868709,-0.21807786581075275,0,-1.029209618599,ATG16L2,BACH1,LMC,bZIP
171,-0.26925687732944,-0.21807786581075275,0,-1.30844755503104,APOLD1,FOS,LMC,bZIP
267,-0.2531799907181821,-0.21807786581075275,0,1.93708273972907,BAI2,MAFK,LMC,bZIP
2110,-0.26925687732944,-0.21807786581075275,0,1.9334545394149,PADI1,FOS,LMC,bZIP
317,-0.2202036001067245,-0.21807786581075275,0,1.98250644378338,BTK,MAFF,LMC,bZIP
1571,-0.2134859055500093,-0.16226770650044012,1,-2.07809907277535,KIF20B,BHLHE40,MEF,bHLH
2668,-0.26925687732944,-0.21807786581075275,1,2.58347136368488,SHROOM3,FOS,MEF,bZIP
1850,-0.07675555573538734,-0.09391104304834053,0,-1.38750787951632,MMP17,RFX5,LMC,HTH
1614,-0.2384484828274451,-0.35874841498741566,1,-1.61904378831684,LAG3,ELF1,MEF,ETS
1421,-0.39206578990544383,-0.24055162484804216,1,-1.30620556259726,IGF2BP3,EGR1,MEF,Zf
1613,-0.44138880677200293,-0.35874841498741566,0,2.4317777613676,LAD1,GABPA,LMC,ETS
1665,-0.25726485204107,-0.25726485204107,1,-1.09066040559918,LIPA,NRF1,MEF,NRF
2688,0.12201789027868709,-0.21807786581075275,0,2.79969545867571,SLC13A4,BACH1,LMC,bZIP
2132,-0.17068129734876603,-0.21807786581075275,0,-3.97146035306406,PAX9,JUND,LMC,bZIP
1835,-0.39206578990544383,-0.24055162484804216,1,1.22196139832031,MKX,EGR1,MEF,Zf
1935,-0.024333375166328407,-0.24055162484804216,0,-1.2886287110064,NACAD,CTCF,LMC,Zf
2702,-0.12424785148432936,-0.16226770650044012,1,-2.34280893316681,SLC17A6,MAX,MEF,bHLH
150,-0.420121647582753,-0.24055162484804216,1,-1.50638570003123,ANXA4,ZNF263,MEF,Zf
2614,-0.2134859055500093,-0.16226770650044012,1,-1.66143168013089,SEMA4G,BHLHE40,MEF,bHLH
3122,-0.26925687732944,-0.21807786581075275,0,-1.24389385987994,TSHZ2,FOS,LMC,bZIP
840,-0.17107733425117988,-0.23042526569186958,1,-1.61717204304951,EBF2,E2F6,MEF,E2F
939,-0.4338340387794032,-0.21807786581075275,1,1.71146128558084,EXPH5,ATF1,MEF,bZIP
3160,-0.07675555573538734,-0.09391104304834053,0,-1.97475920549478,UBE2C,RFX5,LMC,HTH
2366,-0.13376741412866516,-0.22688628192079743,1,-1.40721476381322,PSTPIP1,STAT3,MEF,Stat
2270,-0.3441801093275379,-0.16226770650044012,0,1.49305765456438,PLXDC1,TCF12,LMC,bHLH
2766,-0.34334100110644417,-0.35874841498741566,0,2.08815946386601,SLCO2A1,ETS1,LMC,ETS
2982,-0.4338340387794032,-0.21807786581075275,0,-1.48427698650404,TICRR,ATF1,LMC,bZIP
3124,-0.19305637283257054,-0.24055162484804216,1,1.83509447372902,TSLP,MAZ,MEF,Zf
2446,-0.38280731081485264,-0.21807786581075275,0,1.07317576939101,RAP2A,ATF2,LMC,bZIP
2886,-0.13376741412866516,-0.22688628192079743,1,1.35412699954028,STK38L,STAT3,MEF,Stat
3129,-0.15589533538605682,-0.16226770650044012,0,-1.65562226803156,TSPAN2,USF2,LMC,bHLH
1757,0.12201789027868709,-0.21807786581075275,1,-1.5178339960259,MAP1B,BACH1,MEF,bZIP
917,-0.028028488630146852,-0.16226770650044012,1,-2.15452790343404,ERCC6L,USF1,MEF,bHLH
1808,-0.028028488630146852,-0.16226770650044012,0,-1.82115918803008,MELK,USF1,LMC,bHLH
1466,-0.39206578990544383,-0.24055162484804216,1,-6.8335510393848,INPP5D,EGR1,MEF,Zf
3080,0.12201789027868709,-0.21807786581075275,0,1.78306212287679,TOX2,BACH1,LMC,bZIP
2651,-0.26925687732944,-0.21807786581075275,1,-1.09294851276797,SH3KBP1,FOS,MEF,bZIP
1705,-0.2531799907181821,-0.21807786581075275,0,-3.18006629249493,LRRC7,MAFK,LMC,bZIP
2116,-0.13755040436917615,-0.4117228529378932,1,1.25392386281418,PAM,NANOG,MEF,Homeobox
2603,-0.36396349791647825,-0.22688628192079743,1,1.0266249678335,SEC61G,STAT1,MEF,Stat
1094,-0.2384484828274451,-0.35874841498741566,1,1.9671559113756,FOXA3,ELF1,MEF,ETS
1123,-0.024333375166328407,-0.24055162484804216,0,1.42329473898804,FTH1,CTCF,LMC,Zf
