TF_Family,log2FoldChange_LMC,log2FoldChange_MEF,FoldChange_Diff,t_stat,p_value,Significant
ETS,0.11297796229922821,-0.6499510853513961,0.7629290476506243,35.16349954060422,1.7477342385793255e-266,True
bZIP,0.09216285672721157,-0.4504295768172718,0.5425924335444834,33.07985559438485,4.535690752412589e-238,True
Zf,0.0542309026560157,-0.36104512844356507,0.4152760310995808,31.3271574652437,1.984537257495971e-214,True
IRF,0.12559339144145934,-0.8926943463904444,1.0182877378319037,25.62093752712413,1.7848824321249761e-140,True
EBF,0.24609475064214728,-0.8320851805671335,1.0781799312092808,22.539895440658878,3.6144641765494673e-109,True
Stat,0.13696209358561465,-0.6064319272510403,0.743394020836655,22.248028645815552,4.444502619172808e-108,True
MADS,0.6497530683112458,-1.338074905063423,1.9878279733746689,21.74600437602917,2.5175897648498485e-96,True
bHLH,0.04099704751419815,-0.3081470500448062,0.34914409755900433,20.079515528327352,2.1461732616983304e-89,True
Homeobox,0.04315731084464178,-0.642168504515036,0.6853258153596778,19.486325167379988,1.7023134970034008e-83,True
HMG,0.2414172281241228,-0.7692664391982529,1.0106836673223758,18.99657934659069,3.0851572276257225e-78,True
"Paired,Homeobox",0.18861271114425024,-0.677641457624933,0.8662541687691833,17.63301354435569,3.551257659886142e-68,True
Forkhead,0.07203634069217978,-0.3804156669949534,0.4524520076871332,14.432971660097868,5.930295962315032e-47,True
HTH,0.07472831281187564,-0.4078109401023388,0.48253925291421446,11.489834892607545,2.270081866399295e-30,True
NRF,-0.06115659107490298,-0.5015180552469252,0.44036146417202215,9.0290176731201,2.2009185043802956e-19,True
TEA,0.007902691645544156,-0.23198868651629076,0.23989137816183492,5.53356044216969,3.218957436769738e-08,True
E2F,-0.10949873238115437,-0.24640892135621892,0.13691018897506455,4.962776499330306,7.001640735509166e-07,True
NR,0.06993022895752717,-0.27431160997040405,0.3442418389279312,4.470113894555531,8.144718285392252e-06,True
