gene,log2FC,pvalue,adjusted_pvalue
Eng,-1.88796924738985,2.07135772929253e-29,3.31852221809956e-25
Crtap,-0.916047502739715,8.51465119318536e-28,6.82066133830113e-24
Rcn1,-1.05749006064145,1.5219859769854498e-26,7.10728732706922e-23
Tom1l1,-1.50867268856158,1.77449280995424e-26,7.10728732706922e-23
Dpysl3,-2.38707552086668,3.5597270661376e-26,1.14060774653181e-22
Olr1,2.94695522618019,1.23062207271429e-25,3.28596603782593e-22
Kidins220,0.575808143568531,5.38333390263458e-25,1.2320913207729801e-21
Npl,2.97162299189356,1.35399163156849e-24,2.7115374911698502e-21
Fam101b,-1.89184174952969,8.68164939331495e-24,1.5454300547811e-20
Col10a1,-4.36954489394742,1.3615333293612902e-23,2.18131254696972e-20
Pdia5,-1.03900312371046,8.042887198195991e-23,1.1714099618390701e-19
Stk10,1.37774982496442,3.06019902301112e-22,4.0856207123050903e-19
Col12a1,-2.4757870408384,3.93832879413279e-21,4.8535358162155e-18
Bcat1,-2.52309707321754,8.90219978531048e-21,1.01872959114614e-17
Gm2115,-2.77366392895121,9.96651937123092e-21,1.06449071230994e-17
Itga8,-2.80869199939464,1.11727156335746e-20,1.1187379822843701e-17
Ppap2a,-1.30817783764579,1.64802039155321e-20,1.46682970517077e-17
Sp3,-2.25716671489851,1.5631565330613802e-20,1.46682970517077e-17
Dmd,-1.59844360279353,2.45175194927914e-20,2.06734305154742e-17
Bcar3,2.08542669283767,3.23061906940242e-20,2.58788740554481e-17
Impdh1,-1.27116199450646,3.8647889007986705e-20,2.9484658561759804e-17
Chd5,2.05129152153981,8.481680388074141e-20,6.17659097715163e-17
Pdgfd,-1.12952040014732,2.61523047036108e-19,1.82167858111543e-16
Sh3pxd2a,-0.894831736610822,2.74211879542273e-19,1.83047855089448e-16
Eno3,-2.74176093683303,2.90605941538861e-19,1.86231911575764e-16
Cnn1,-3.63064064085732,4.51916262858272e-19,2.78467324894322e-16
Tgfb2,-1.58578942419484,7.052844833024651e-19,4.1849491507365897e-16
Axin2,3.56926736392585,1.6418171057301e-18,9.39412566103643e-16
Gpr125,-1.09288268752416,4.82948028452941e-18,2.66803805649812e-15
Efemp2,-0.736854464515883,5.13015675311034e-18,2.73967471138602e-15
Mdga2,-2.22934069982596,6.179204639733979e-18,3.1934528236509e-15
Arf2,0.997187439127733,9.15453514510059e-18,4.58327523623926e-15
Actg2,-3.9178008496154,1.57656400509934e-17,7.42886233108719e-15
