gene,log2FC,pvalue,adjusted_pvalue
Ccl2,7.5700017043359,3.96856491237298e-136,5.864745227504791e-132
Bcl3,3.60346386882993,6.15065130516502e-103,4.5447162493864395e-99
Cxcl1,11.0150705042936,6.99912398927091e-75,3.44776847711485e-71
Zc3h12a,3.86068670880949,1.1073951604965e-74,4.09127142045433e-71
Nfkbia,4.58170098038951,3.21550447111795e-64,9.50374501483622e-61
Ccl7,6.83784670213272,5.24100548308262e-61,1.29085965048325e-57
Plscr1,2.28581544077266,5.75825874504408e-56,1.2156506819180202e-52
Relb,2.98973817851603,9.595108385077139e-56,1.77245639643337e-52
Rsad2,9.30480689223889,2.21994296028559e-52,3.64514634078893e-49
Gbp2,6.52408914228997,2.6586479615381997e-50,3.92894995756116e-47
Nfkbie,4.66476645641061,3.10690214838878e-50,4.1739818135354003e-47
Gbp3,6.71148618702381,5.38591229629022e-49,6.6327509928814006e-46
Cmpk2,8.9056794168503,1.8529649312601e-48,2.10639351955091e-45
Gbp5,10.1354905919123,2.5183477927558003e-46,2.65829597723894e-43
Ccl20,7.93075016674196,5.81851991218052e-43,5.732405817480249e-40
Cxcl10,9.85710640516663,1.56524749639364e-41,1.44570171885658e-38
Nfkbiz,4.64316731751742,4.6518708232892194e-40,4.0438439427393e-37
Tnfaip3,5.39305084270395,4.31604650862249e-39,3.5434741835790596e-36
Cebpd,3.22772022864964,8.23183419485797e-39,6.402633985874259e-36
Tlr2,5.26626144735781,1.1588334934849301e-38,8.562620683360169e-36
Isg15,6.31494324159032,1.6409477778111701e-38,1.15475839335683e-35
Lif,2.95814043626935,3.85471474767779e-38,2.5893170245992e-35
Ccl5,8.74179857754997,2.99971997415798e-37,1.92738529470029e-34
Ripk2,3.97591131679585,5.0761540704238204e-37,3.1256418688634697e-34
Saa3,6.1306868959445,5.50873461615514e-37,3.25632320630163e-34
Neurl3,4.86380192220748,2.3032486593234597e-36,1.3091311033647e-33
Csf1,2.29395002502093,1.99450347928116e-35,1.09165823765989e-32
Pglyrp3,5.58792709187279,2.30198958037446e-35,1.21495721495621e-32
Irf1,4.44099851831584,4.58721460887334e-35,2.33758129275622e-32
Gbp6,7.50313092872767,2.69121397647411e-34,1.32569200481115e-31
Stx11,3.72456454010454,3.06478920159885e-34,1.4610146716525101e-31
Icam1,3.98856046921656,3.41442409180423e-34,1.57682372589634e-31
Ifi205,9.15281271797415,6.9323780267387195e-34,3.1044449236104503e-31
Mx1,8.9772550830009,1.57285805362439e-33,6.83638126954742e-31
Ifit2,6.00050045234138,8.4753790296189e-33,3.57854717999166e-30
Steap4,7.16078211436286,4.87186067123919e-32,1.99989880554369e-29
Gm12250,8.64549162486902,7.35406063233035e-32,2.93725156823184e-29
Traf2,1.20398685487417,7.69981157205681e-32,2.99441619504883e-29
Tnip1,1.82476169728887,1.44760693562915e-31,5.48531674223783e-29
Nos2,10.2598590222239,5.38651874783995e-31,1.9900493513894698e-28
Cd69,8.96382383045955,1.08482229347238e-30,3.9101228909597e-28
Vcam1,4.2045015729261,2.7548811525185097e-30,9.693246112361549e-28
Mx2,7.04490263303744,3.9463196873784096e-30,1.35624912418786e-27
Oasl2,5.56516903340985,6.84924196488451e-30,2.30041131266053e-27
Ifi47,4.93521595233092,9.586780357281249e-30,3.14829866933116e-27
Cxcl3,8.88163599518337,1.7718866333286998e-29,5.69237840594164e-27
Ifit1,6.90614137619947,2.61113042335452e-29,8.21006072262405e-27
Mnda,6.27343798817064,2.994672433615e-29,9.21984775499217e-27
Parp14,5.81266767850216,4.13097195606388e-29,1.24586741972882e-26
Oasl1,6.39678548868819,5.73842643016698e-29,1.69604931570015e-26
Igtp,5.96563590053604,6.0027454502362e-29,1.73938376987433e-26
Gbp7,5.58601108101575,2.55994710231419e-28,7.275172745769059e-26
Nfkb2,2.96532683274902,6.66890492590523e-28,1.8594920187741e-25
Nlrp3,6.9340043158626,2.03074164459499e-27,5.55746296737495e-25
Ifih1,5.19199071592444,3.07846259409189e-27,8.271549130089091e-25
Tnf,9.25480597920383,5.50446460182913e-27,1.4525888908184101e-24
Birc3,2.94576249185843,1.59999112422076e-26,4.14818751469023e-24
Sod2,2.78604930436273,1.7818522366498e-26,4.5400366126225504e-24
Rtp4,5.72824257342036,1.91975005876187e-26,4.80848582514966e-24
Il1a,6.60023035250987,5.0708368384366e-26,1.2489471133069301e-23
Nfkb1,2.77123552345427,6.8353216035999e-26,1.65594069931146e-23
Cxcl2,10.2841860846838,7.566039051652601e-26,1.8034020178277702e-23
Zbp1,7.00002750012363,8.593036141383869e-26,2.01568076345033e-23
Nupr1,1.15887649929758,1.11704597160256e-25,2.57932896380353e-23
Il27,9.47579828864486,2.10254665538354e-25,4.78022068819352e-23
H2-M2,8.69880284211129,6.23775195791076e-25,1.3966893702122e-22
Slc2a6,4.86187678032879,1.11967682192141e-24,2.46963941408278e-22
Fas,2.78609852193106,2.47230705736073e-24,5.372904954952489e-22
Il6,6.14151129940648,5.9321954998928904e-24,1.27052152315097e-21
Helz2,4.62211094044107,9.46056987759635e-24,1.99726145215884e-21
Gbp4,9.27431109788029,1.04809203253869e-23,2.1815076136418e-21
Irg1,9.57343653402527,1.23111362417974e-23,2.52686071362892e-21
Clec4e,8.842546909277,1.87259435638751e-23,3.79084923269788e-21
Irgm1,3.58474259338448,2.2084031635442397e-22,4.41024080416984e-20
Irgm2,4.83475410904679,2.4319785845472198e-22,4.79197060299184e-20
Pde4b,3.76913749032922,7.926153728254809e-22,1.54121973415986e-19
Ccl3,6.19644900401984,8.065929009897859e-22,1.54802985595157e-19
Il12b,10.4614854767991,9.95992547607219e-22,1.88702280365891e-19
Jak2,2.66344545542614,1.54719787032181e-21,2.89423925666022e-19
Bcl10,1.05834816906679,1.97676802781494e-21,3.65158473938115e-19
Ccrl2,6.46592602810131,2.01544872378158e-21,3.67707422716594e-19
Ptx3,4.44724533821061,2.69324587996965e-21,4.85375458709652e-19
Myc,1.64234468983309,3.7567211265453004e-21,6.68877407326343e-19
Slc7a2,5.20083742794854,4.3271213862401e-21,7.61264283879241e-19
Psd,2.36422775244826,5.6501324149551006e-21,9.82325374449488e-19
Ifit3,5.56125111341608,5.8456562411183e-21,1.00450125501449e-18
Ets2,2.41222961469263,7.82881112417784e-21,1.32981805509311e-18
Traf1,7.22059939934462,7.96408578631997e-21,1.3374234062526898e-18
Gpr84,5.32822452042959,8.392760382608381e-21,1.39357542622682e-18
Irf7,4.85096029951313,8.60823082705224e-21,1.4134715018019799e-18
Ccl4,6.12662387496243,1.05597486858087e-20,1.7148567700975899e-18
Exoc3l4,2.2527277584723,1.2375837060534301e-20,1.98793608783234e-18
Herc6,4.46557514934241,1.89666802717021e-20,3.01386667801306e-18
Csf3,6.91124083842601,2.0793819788451802e-20,3.2690539237632e-18
Slfn8,5.81305308474839,3.58046704124078e-20,5.56969915110065e-18
Gm4841,7.62032077013353,5.70493587884243e-20,8.782035668493069e-18
Tnfaip2,2.97543605186877,6.2881783760978e-20,9.5800721692756e-18
Ddx60,5.47370218328977,7.21083273206772e-20,1.08736414402548e-17
Gadd45b,2.29644128791088,1.1580052797252202e-19,1.72858606300801e-17
Tmem2,1.38107106999403,1.8038475820267902e-19,2.6657259567191802e-17
Dtx3l,4.08760115592308,1.8713002773550502e-19,2.73802727710425e-17
Sdc4,2.27610329653827,7.005980303270371e-19,1.01504291099735e-16
I830012O16Rik,6.06696759869955,7.32887256379979e-19,1.05151532764887e-16
Tgtp1,4.7191498517317,7.61416333624523e-19,1.08194332483685e-16
Trim30d,4.85640240042706,8.96626947925664e-19,1.26193838442338e-16
Nod2,5.23805886177734,1.7918205873827002e-18,2.4980683622963697e-16
Parp9,3.66968122937624,2.09182842670661e-18,2.88906920466077e-16
Arid5a,2.78125399813626,2.1744203280542497e-18,2.9753318155542298e-16
Fam26f,6.76257148720155,2.2450202764466498e-18,3.04375317847052e-16
Cd40,6.0050193538519,2.32222838419898e-18,3.11980827833568e-16
Stk40,1.68696536019188,2.86710570404063e-18,3.81712505354166e-16
Rnd1,2.94947502333273,3.9903909755552294e-18,5.26517837828171e-16
Tgtp2,7.27224685364906,4.8895771977468795e-18,6.39452848038083e-16
Psmd10,1.10211439210334,6.3681008066927e-18,8.255069624675849e-16
Egln3,1.6847306608289,7.91309452830211e-18,1.01686705164564e-15
Trex1,3.45736243903348,8.71996211621997e-18,1.1108931047715402e-15
Cxcl16,2.93435828320924,1.1553932338125801e-17,1.45935053070789e-15
