gene,log2FC,pvalue,adjusted_pvalue
Ccl2,7.03613162298433,2.08459801263078e-123,3.21007247965014e-119
Bcl3,3.34490467837832,1.4520800552272201e-88,1.1180290385221998e-84
Zc3h12a,3.95718403787977,3.31386693477767e-83,1.70100789762138e-79
Cxcl1,10.6967357310935,3.91283927716832e-76,1.50634530072787e-72
Nfkbia,4.09330977480476,4.12303152694953e-53,1.26981124966992e-49
Relb,2.75372250810819,7.25828594264951e-51,1.8628390871810001e-47
Ccl7,5.96160323402834,1.19721124947691e-50,2.63369371867071e-47
Rsad2,9.07277589409291,2.10269016761117e-49,4.0474157363805604e-46
Ccl20,7.78514492729485,6.04220720044421e-47,1.033821651996e-43
Plscr1,2.02647569321623,1.94119364238092e-45,2.98924408990238e-42
Gbp5,9.99144835329871,6.1761344969059905e-44,8.64602682889594e-41
Neurl3,5.20780419381932,7.51077924370691e-42,9.63820746448689e-39
Lif,3.05241605897552,5.34735765979671e-41,6.3341508156315e-38
Cebpd,3.15740616218548,1.00232400321351e-40,1.1024848089631999e-37
Saa3,6.79821502412353,1.3027562006223898e-40,1.33740951555895e-37
Cxcl10,9.3758223563328,1.07183527163396e-38,1.03157445924321e-35
Steap4,7.80268248173714,2.80660081807766e-37,2.54228505868105e-34
Gbp6,7.97574831382287,2.3231961215302002e-36,1.9874942819690898e-33
Icam1,4.10129789093968,2.8677138473759097e-36,2.32420660714429e-33
Ccl5,8.79234590094984,3.3128996156818e-36,2.5507670590942e-33
Nos2,11.0691401858053,3.26022099845562e-35,2.39067348358181e-32
Csf1,2.26541332251956,1.05811985512123e-34,7.40635802227809e-32
Gbp3,5.46578406763997,1.35061839483693e-34,9.04268376612777e-32
Cmpk2,7.15950199826447,7.7024866718243e-33,4.94210801080926e-30
Nfkbie,3.58339142593064,9.016649967418519e-33,5.5538957139311096e-30
Gbp2,5.1038944856521,4.43262761678508e-32,2.62530894887975e-29
Tnip1,1.78824654515913,7.332690232762361e-31,4.18207766275214e-28
Sele,8.0946891842466,4.30909235600724e-29,2.36984689964841e-26
Tnfaip3,4.57265037741997,5.77373769808269e-29,3.0658547176819096e-26
Isg15,5.38830295759752,1.12917320916364e-28,5.79604608263697e-26
Mx1,8.27644223692842,3.5313447708337198e-28,1.6993493164396402e-25
Ifit1,6.76687890128732,3.51657618066559e-28,1.6993493164396402e-25
Oasl2,5.27959589106094,2.9650132095793e-27,1.38358298225187e-24
Tnf,9.25391039442752,1.08615124361409e-26,4.91930676482744e-24
Parp14,5.54348383735665,1.20795275347014e-26,5.3146469859105e-24
Tlr2,4.26430928471991,2.99233126278194e-26,1.2799696976549701e-23
Cxcl3,8.16766083004152,7.39338880845026e-26,3.0770484935493404e-23
Ifi205,8.05213814688637,1.1886585986343e-25,4.8168825685183304e-23
Irg1,10.084249287938,3.4528930237731303e-25,1.3633615300790399e-22
Ripk2,3.17820747555225,7.6374940434410805e-25,2.94024426937373e-22
Cxcl2,10.1355362975461,1.1444969017031701e-24,4.298562875445659e-22
Pglyrp3,4.85088862956058,3.51763131127593e-24,1.28971439434138e-21
Vcam1,3.69720747568887,7.96655643593925e-24,2.85295354783787e-21
Stx11,2.98341761763866,1.00857560543663e-23,3.52978539729968e-21
Nlrp3,6.36990074272605,3.04654486903239e-23,1.0425276541828801e-20
Cxcl16,3.39291753418958,4.58018335752279e-23,1.5332661635324702e-20
Birc3,2.6819667600698,6.900871177885581e-23,2.2609896865587202e-20
Zmynd15,2.78740254511668,8.63596249739812e-23,2.77052471869653e-20
Cx3cl1,3.30489277315847,1.17915641157309e-22,3.70567950649265e-20
Gm12250,6.9027686024788,1.6314496047533699e-22,5.02453849271942e-20
Traf2,0.970744434484798,4.7102953158299e-22,1.4222321091855802e-19
Cd69,8.26615948219625,2.9893319499933903e-21,8.85244667268234e-19
Csf3,6.51348599961273,5.24714387395963e-21,1.52454280217178e-18
Nfkbiz,3.23343207697458,7.23781315492247e-21,2.06398305134539e-18
Mx2,5.49473353504995,1.50179503876342e-20,4.2047530548941595e-18
Traf3,1.13563666079284,1.8394072819146302e-20,5.0580415596791796e-18
Mnda,5.12812969890386,3.00666208113896e-20,8.12273498025594e-18
Gbp9,5.85871679949787,3.29654115174362e-20,8.75231675787932e-18
Angptl4,2.54653637022413,4.8707545503540703e-20,1.27126693764241e-17
Fas,2.4510515049944,8.103118540997301e-20,2.07966537354696e-17
Gbp4,8.41415388449232,9.05639856056065e-20,2.28622100711596e-17
Ifi47,3.89803416614551,1.4526246851471998e-19,3.6078979881583403e-17
Gbp7,4.50722661533836,1.72011110020687e-19,4.20444298921993e-17
Slfn8,5.73168717620325,2.24179895368658e-19,5.3939784512218105e-17
Tnfaip2,2.90776944462007,4.0305142067400304e-19,9.54859819532149e-17
Clec4e,7.77323879618362,4.45317354852188e-19,1.03900635566195e-16
Bid,1.75476532548569,9.22441093408141e-19,2.12010005931223e-16
Zbp1,5.63410367969491,1.1326866676442298e-18,2.56503558750786e-16
Ccl3,5.65602148218465,2.08214388026387e-18,4.6468019727802e-16
Igtp,4.6199136254607,2.16117180297799e-18,4.75426922772259e-16
Irf1,3.11916171307126,2.86408789908315e-18,6.2118435997157e-16
Exoc3l4,1.99993582050984,3.71046690031731e-18,7.935761083053649e-16
Myc,1.43624009453092,9.39891929954846e-18,1.98265696292804e-15
Ptx3,3.97330329196388,1.13022751008606e-17,2.35194235511017e-15
Il12b,9.8538723033767,1.33023854472573e-17,2.7312457800308704e-15
Zswim4,1.09522296058816,1.49980158609639e-17,3.03887429267084e-15
Slc2a6,3.97416278278618,1.5632739206009102e-17,3.12634481861472e-15
Rtp4,4.45576041883318,1.64952050285262e-17,3.2565341312086502e-15
Ccrl2,5.7791391996541,1.80808788540892e-17,3.5243981452420203e-15
Il27,7.10907922659081,2.58983005549568e-17,4.98509912807225e-15
Il1a,5.32688148596497,3.33008421079186e-17,6.330860094072081e-15
Smurf1,0.760200496372444,3.6945789368866e-17,6.938148908428861e-15
A4galt,3.67853828045109,9.18638080298151e-17,1.70435033717003e-14
H2-M2,7.5972408253616,1.15144411372561e-16,2.11084379848342e-14
Ddx60,4.88444587543451,1.91939714240146e-16,3.4772701877459e-14
Gpr84,4.7697143758236,2.0022294743015299e-16,3.5851548459034e-14
Oasl1,4.49350671599596,2.48422324978713e-16,4.39707515212322e-14
Tgtp1,4.25324303855204,3.6939845791269897e-16,6.46405324249733e-14
Ccl4,5.35063684375718,4.03715210684223e-16,6.9851803700296e-14
Il6,4.90781154010487,4.23972178006441e-16,7.2541639656902e-14
Madcam1,5.09582578796272,1.0343150032332201e-15,1.75026557525148e-13
Selp,3.62124563912364,1.17383283498074e-15,1.96476650281178e-13
Ccl8,4.05755884032699,1.30132348835539e-15,2.15473982765426e-13
Pyhin1,6.63217994768793,1.8225146563874e-15,2.98562799933081e-13
Cdk6,1.07897583042529,2.1274066853230403e-15,3.44841426813574e-13
Psmb10,2.40382886799933,2.3314204781538204e-15,3.73974416073861e-13
Slco5a1,1.9805863347688,2.9954006996693702e-15,4.755275811774079e-13
Irf7,4.01128088006454,5.5673586525893405e-15,8.74813835624726e-13
Rnd1,2.64620951066462,5.7143847038732e-15,8.88846566211549e-13
Tnip3,4.3241834899143,6.996047528721911e-15,1.07732135894789e-12
Icosl,3.96592057327632,7.8023993883749e-15,1.1895955265503499e-12
Ier3,2.10595377627206,9.01585171960854e-15,1.36112843755149e-12
Nfkb2,2.08087357923298,1.0633670338141e-14,1.589785335311e-12
Lrig1,1.52615839902484,1.21703894045017e-14,1.8020367926915598e-12
Il1b,9.08847874504926,1.25668088169887e-14,1.84301227593151e-12
Slfn5,5.51028399801769,1.2726576981958501e-14,1.84883546174697e-12
Ifit3,4.536048246751,1.3887162919253401e-14,1.9985833812484497e-12
Cd40,5.24224979711298,1.49831223040854e-14,2.13634352185751e-12
Psd,1.87607883170288,2.4039737846386802e-14,3.39621947794964e-12
Ifih1,3.64209843191426,2.48416595037379e-14,3.4776064972550898e-12
Ifi203,5.62909994675759,2.6398480380727202e-14,3.66225404849386e-12
D630003M21Rik,2.98467746381796,3.02794966714944e-14,4.1631604396816194e-12
Usp18,4.61494978782789,3.6225636673218103e-14,4.9366245940786295e-12
Map3k8,2.80408216297067,4.7538358509942e-14,6.421431427145579e-12
Serpina3g,4.99345602451016,8.3437914681768e-14,1.1172699549430799e-11
Trim30d,4.06478303127226,9.48445856403342e-14,1.2590618743754399e-11
Slc25a25,1.47210646345621,1.33299679855194e-13,1.7544288633249002e-11
Lcn2,6.45258797827788,1.39571938083735e-13,1.82141379199274e-11
I830012O16Rik,4.98368440728247,1.45657954113179e-13,1.88486288688138e-11
Oas3,4.83862389518253,1.68109914930463e-13,2.1572704833451598e-11
Nfkb1,1.92939807633264,1.89540738366107e-13,2.4121800248757698e-11
Irgm2,3.63337539390708,1.95727675027711e-13,2.4705003834030497e-11
Kcnn3,2.5084158333967,2.09278505894942e-13,2.62006480672863e-11
Phf11d,4.58042801179294,2.16163482090714e-13,2.68443666186686e-11
Bdkrb1,4.33801096263386,3.2597232844007e-13,4.01571830851891e-11
Casp4,3.90007480166959,3.89583410131918e-13,4.7612658195408e-11
Micall2,1.85912986911151,4.25230134975855e-13,5.1559990933017294e-11
Cd44,2.12108474350459,5.51921008712711e-13,6.63986844778674e-11
Trim47,1.17224053558236,7.6103541908388e-13,9.01475724497897e-11
H2-Q4,3.24337413305394,7.58643711761389e-13,9.01475724497897e-11
Ch25h,4.27966531078119,8.43503174701442e-13,9.91534762383779e-11
Mcc,1.70897485372638,1.0360220550769299e-12,1.20861391107043e-10
Oas1b,3.95606164985452,1.9657252569233798e-12,2.27595513017768e-10
Rgs16,3.35401668537154,2.03412634741968e-12,2.33757549432206e-10
Tgtp2,5.79164310494547,2.3647902423117797e-12,2.69743740306364e-10
Plk2,1.89634351067284,4.0360065312759396e-12,4.56988710111164e-10
Ifi204,4.76424499796737,4.69662457852925e-12,5.27907459012934e-10
Cish,1.69935395542433,4.95686902415597e-12,5.53121928282448e-10
Adtrp,2.97313206736422,5.02656076545773e-12,5.56863375735853e-10
Xaf1,3.31465000082483,5.08560632913444e-12,5.59380370445295e-10
Dtx3l,3.1076218634434,5.170801544742929e-12,5.64717538918414e-10
H2-K2,3.03558565198631,5.43701353663996e-12,5.89609658103654e-10
Cd274,4.16429285253416,5.48787710940899e-12,5.90963773481042e-10
Raph1,1.06993827238068,6.02112919089972e-12,6.43884502851839e-10
Parp9,2.84865326141504,8.65285556692907e-12,9.18933261207867e-10
Sdc4,1.72924405710614,1.5270673918969798e-11,1.6106377238234e-09
Smad9,-1.56068294361652,1.7674073914738098e-11,1.8514494164153201e-09
Tnn,5.28681420789916,1.79664954609271e-11,1.86936529461363e-09
Fam26f,5.0035966818421,1.84223978445103e-11,1.90393627119204e-09
Zbtb7c,2.04341289483656,1.85946878478608e-11,1.90893065446139e-09
Gbp11,6.58971351694337,2.2865303112600297e-11,2.33180663993994e-09
Traf1,4.76001000885878,2.5204021257804398e-11,2.55339949571665e-09
Dhx58,3.39084777042225,2.5402707400922397e-11,2.5567077860575404e-09
D10Wsu102e,0.68401964636922,2.6009374965503696e-11,2.6007686045051402e-09
Enpp2,3.88822890128097,2.8096850100915498e-11,2.79137674002579e-09
Ifit2,3.33445462402598,2.8356598454872697e-11,2.79912345901657e-09
Ets2,1.69167395991719,3.7970289367365694e-11,3.7242323947010504e-09
Tapbp,1.57517406975986,4.32428149685285e-11,4.21453232721753e-09
Pdgfb,2.54160458418753,4.516127661944719e-11,4.3738270356155205e-09
Rffl,1.54604909572164,4.5503771795988094e-11,4.3794536367901305e-09
Cd74,3.90809354910162,5.0320893045452494e-11,4.81299026091257e-09
Herc6,3.13238006369183,5.28112647225432e-11,5.02000410779286e-09
Tnfsf10,6.45734387253974,5.5642347542610796e-11,5.25666570434763e-09
Fam83c,2.87317262483455,6.08046577567091e-11,5.7093349072900206e-09
Rassf10,2.95157235779237,6.1889978055052e-11,5.776022861028761e-09
3-Mar,1.695212837994,6.32813449526661e-11,5.870297776663281e-09
Slc7a2,3.55250848643154,8.609985982120619e-11,7.939231984351821e-09
Slfn2,4.08853154829099,9.486566695761749e-11,8.695454794525911e-09
Rhbdf2,1.5575347592547,1.06186772138715e-10,9.67556274653299e-09
Heatr9,5.64131763083027,1.11449271828649e-10,1.00953372758198e-08
Nod2,3.72045877047698,1.20900153712525e-10,1.08873770001121e-08
Nr3c2,1.81912604105107,1.3434955243197401e-10,1.20281904529068e-08
Trim30a,3.98743685389235,1.63681259247569e-10,1.45695243419267e-08
Oas2,4.9127377670036,1.68705374947362e-10,1.49304256828415e-08
Bcl10,0.700850730960285,2.45994314590809e-10,2.16460940021936e-08
Fbrsl1,1.07653353403832,4.33363244131549e-10,3.79168215703507e-08
Trp53,0.899366325971666,4.57653718179464e-10,3.97473546165096e-08
Gbp10,5.8902483147976,4.59447309678466e-10,3.97473546165096e-08
Tmem132e,3.23822549243552,7.10488669362667e-10,6.11218716174061e-08
Rassf4,4.15429797930674,8.233311239625821e-10,7.04359776549989e-08
Atp2b4,0.965031963687303,8.91474361178758e-10,7.58442745181862e-08
Ereg,2.34716629938056,9.588917299099211e-10,8.11317238949609e-08
Sod2,1.59023524071988,9.84124163802605e-10,8.28116284065373e-08
Olfr56,4.30728367113357,1.0073220793688e-09,8.43030038054355e-08
Olr1,1.72303032516816,1.0284953200746201e-09,8.56097266693464e-08
Pxn,0.692971362963058,1.11375634151797e-09,9.22082467905122e-08
Slpi,4.15044277446172,1.17407555085661e-09,9.66822962975451e-08
