gene,log2FC,pvalue,adjusted_pvalue
Mpeg1,-8.92166035931453,0.0,0.0
Xist,9.86262263860266,0.0,0.0
Laptm5,-7.9528882112357,1.3046755146097e-298,8.61259796377684e-295
Cd84,-5.43043261897607,9.65080357447495e-244,4.7781128497225506e-240
Tbx4,7.0773962455296,2.88162155452457e-223,1.1413526653160901e-219
Lyz2,-8.74409165559669,2.28993420573862e-219,7.55830950174126e-216
Tiparp,2.47015895520794,5.15781755239163e-200,1.4592202686794802e-196
Specc1,-1.52632158928946,1.36827795809689e-199,3.38717208526886e-196
Lcp1,-4.84866284453622,1.59500142423837e-195,3.5097120228463e-192
Ahr,3.95107118084582,7.9339892006489e-195,1.57124722129651e-191
Slitrk5,3.03161179204117,8.26813675579924e-192,1.4885652755622602e-188
Sema4d,-4.22660034717398,7.01179926577506e-189,1.1571806054950798e-185
Synm,3.80336126163676,2.16494727390538e-186,3.2980473701863202e-183
Slc33a1,1.30662254259788,9.06344231461275e-174,1.28208865427565e-170
Plek,-5.80770369207774,6.96865845507222e-166,9.20048746961668e-163
C3ar1,-8.29783015382033,3.3667805653463e-157,4.16723264475738e-154
Mmp12,-5.0584301075499,9.29418256516684e-155,1.0827175971797901e-151
Cd36,-8.0779055162218,2.2490436057730603e-154,2.47444775381832e-151
Csf1r,-5.83335028792019,5.1766012650746e-154,5.39565323439671e-151
Cybb,-7.82916364556949,9.788216684583951e-154,9.692292161075021e-151
Pirb,-6.57437313461641,2.33246200438322e-152,2.1996227397526303e-149
Uty,-6.89784840545065,2.30239145033811e-150,2.07257092193164e-147
Ncf1,-5.99504390973369,4.89330694120405e-149,4.21335002885239e-146
Trem2,-5.88729002489507,1.06437991988876e-146,8.78290830561545e-144
Nckap1l,-8.0062142304406,4.07740419919623e-143,3.22995651043529e-140
Emr1,-8.97766778036194,8.93825564347534e-140,6.80820056782253e-137
Ddx3y,-8.87309747374855,1.46139001402293e-138,1.0719025125077799e-135
Rab3b,3.46883088538023,2.93506441421378e-138,2.07592913068177e-135
Penk,5.879742040437,6.93032249073775e-136,4.7326933312610504e-133
Pitx1,8.27504124842942,6.89499569877624e-135,4.55161649395216e-132
Fcer1g,-7.41075534894639,1.7710566487126098e-134,1.13141954422918e-131
Clec4d,-7.21758952248312,4.45895579236568e-133,2.75953626600031e-130
Ctss,-8.87139814734394,2.70546813918288e-131,1.62360881904175e-128
Itgb2,-8.07764376393143,2.8730674948325e-131,1.6734773137547898e-128
Kifap3,1.05204300692438,5.21171467033251e-130,2.9489370666075698e-127
Clip4,3.3427883202996,2.45379170115909e-124,1.34985807915985e-121
Ptprc,-6.55394557029513,8.29150293585677e-124,4.4379709227488505e-121
Igfbp4,2.42701116136781,1.90557394177609e-123,9.93104903761412e-121
Got1l1,6.89254310514671,2.05116403451506e-123,1.0415705779368302e-120
Cd59a,2.28299737724099,4.17514322270223e-123,2.0671134095598703e-120
C1qb,-8.96042691547914,8.62618688427038e-121,4.16665865990465e-118
Gfpt2,-2.29870150988189,9.35904111414267e-121,4.41301071963051e-118
Aqp5,4.73220402910284,3.82586935922293e-120,1.7620352741872303e-117
Csf2rb2,-5.83905663033723,4.885245498859961e-117,2.1988045877141497e-114
Mab21l2,6.02380226917703,2.7282391632611397e-114,1.20066774198275e-111
Tlr7,-5.67131803584963,8.08004041742151e-113,3.47863305275251e-110
Arap3,-5.36536468779563,2.17445595158784e-112,9.16232460962671e-110
Rac2,-5.545011527136,3.2495537860056503e-111,1.34071173287617e-108
Fyb,-4.13363409727596,1.1645447660052999e-109,4.7066621522385597e-107
Cd300a,-4.20189447320884,2.39545127752266e-109,9.48790342001174e-107
C1qc,-8.85443965660821,3.8860585866952e-109,1.50900988727278e-106
Exoc3,1.42766847125326,1.42810456250639e-108,5.438881299207011e-106
Clec12a,-5.19642636451416,9.55887737014619e-108,3.57177372525236e-105
Plagl1,4.19995373485313,6.33826389835029e-106,2.32449959709128e-103
Hcls1,-5.75533631566956,3.52428501017858e-105,1.26899891530139e-102
Lilrb4,-7.36399716150108,1.2596444082180701e-104,4.45464247506263e-102
Hpgds,-6.01465076692684,6.40004180252513e-104,2.22362154135452e-101
Itgam,-7.27585296815652,6.126492064561109e-103,2.09188015252704e-100
Mrc1,-6.02728206465958,8.68111717741352e-102,2.91391262002538e-99
Ucp2,-2.38130097284004,6.1981778989602e-101,2.0458119185168002e-98
Pld4,-6.52650373880647,4.15898980218834e-100,1.35023990233669e-97
Bmper,-2.41188315975464,5.31572567265631e-100,1.68225703428141e-97
Clmp,-2.50826940749368,5.35155489596691e-100,1.68225703428141e-97
Lat2,-5.3725655228967,3.10710285963143e-98,9.61454141127201e-96
Fermt3,-5.35759931686502,4.90323490531032e-97,1.4939025240733198e-94
Ncf2,-6.35981388837001,7.76939661169929e-97,2.33128985603171e-94
Fblim1,-2.11121851394652,1.63873037507356e-96,4.84379348476968e-94
Slc15a3,-5.35421166822999,2.0485636392989102e-95,5.96614034009935e-93
Pcsk9,-3.50442279244679,2.08186347962538e-95,5.975249905869711e-93
Ms4a6d,-5.65111052390946,1.93153288266394e-94,5.4645824583252395e-92
Igf2bp2,-1.15452954260696,7.20756243974565e-93,2.01040234586934e-90
Cpox,1.2849743616096,1.6212162267716002e-92,4.45924529930343e-90
Klhdc7a,3.37424137836172,2.53443930230412e-92,6.87562136203162e-90
Inpp5d,-6.83356341658342,8.37916786271775e-89,2.2424464912603e-86
Tyrobp,-9.23168877282173,1.14301080547537e-88,3.01815813221789e-86
Adam8,-5.64245044632414,2.85711244087643e-88,7.44503352356801e-86
Myo1f,-8.72892643409372,1.34917046379407e-87,3.469996346101e-85
Stard9,-2.41809055274456,2.31390564010249e-86,5.87494708930637e-84
Emp3,-0.943834357888588,2.12877847684027e-85,5.3364973361195695e-83
Adamts7,-1.94781112879801,5.05703104674306e-85,1.25186803562124e-82
Tubb2b,-2.52505424557084,9.15258208303699e-84,2.23774982188228e-81
Sox6,4.85046267506973,2.6081615349683597e-83,6.29902817542846e-81
Ptpn6,-5.85841095442808,3.35883250642432e-83,8.0142552960514695e-81
Cryab,2.27805662845138,1.92527500370028e-82,4.53906502062862e-80
C1qa,-8.90281098106877,4.9524872017823096e-82,1.15387125345996e-79
Fkbp14,0.776403406135071,6.4818412910109e-82,1.4926323828741798e-79
Alox5ap,-6.03241524553376,3.48545187845831e-81,7.93401022999866e-79
Cyth4,-7.29457940221285,7.32209289479516e-81,1.64780372373322e-78
Unc5c,2.89033722734108,2.1129355863076798e-80,4.70163779227386e-78
Wnt10a,5.45898730970998,9.496926829312799e-80,2.08974598808568e-77
Coro1a,-4.22889500598595,1.46539201221887e-79,3.1890794956024796e-77
Limd2,-1.54336785446726,2.13391502885431e-79,4.593484046894649e-77
Stab1,-6.62494634702819,2.55264278455521e-79,5.43575674250875e-77
Gldn,5.88965379172666,4.57813727815283e-79,9.64525858048284e-77
Slc11a1,-5.25360912090988,7.91708980728755e-79,1.6504215425634e-76
Gp49a,-8.37512568855426,4.359842335488699e-78,8.99399141791856e-76
Rassf4,-2.86891305482018,5.426356237067659e-78,1.10787174143183e-75
Nebl,2.59470589801147,7.560447244644829e-78,1.52782752278517e-75
Fmnl1,-5.19296607715484,1.38122176689469e-77,2.76300160319014e-75
Ano1,3.2939020554364,8.459744938274009e-77,1.6753678875757901e-74
Colec12,-1.34399406076184,2.89182924962691e-76,5.67027588709023e-74
Slc4a10,4.55706792360268,1.38169033063316e-75,2.6826465988097202e-73
Dock2,-7.53916376799853,2.37585436480581e-75,4.56809901365187e-73
Elmo1,-2.5854313559984,2.42942082907873e-75,4.62617789414185e-73
Gpx7,-1.70907509780968,5.63668543777508e-74,1.06313255628284e-71
Shc2,-2.88910149949576,7.15307934590554e-74,1.33641116383314e-71
Tmed3,0.73775972369104,1.30679313822714e-73,2.41866647751872e-71
Nav1,-1.55592868898465,2.1738364724401e-73,3.9861719907596e-71
Arhgap19,-2.88576447300406,2.36307425983477e-73,4.29342409557502e-71
Ms4a7,-8.84350654239439,2.82491711880909e-73,5.08587805644503e-71
Pcdh20,3.84727958433269,1.5070980273591799e-72,2.6888801201640798e-70
Tlr13,-8.81925929081762,2.7281944585641e-72,4.8240324158395996e-70
Efhd2,-1.62049961586363,1.70461597532372e-71,2.98745263498327e-69
Mme,3.42223165160388,7.91204757309875e-71,1.37447535208463e-68
Msi2,1.05244495514594,6.69368187809485e-70,1.1527102253373101e-67
Il1rn,5.7564661627287,1.34511162330554e-69,2.2964302230985302e-67
Arhgap30,-7.03808644713202,8.97849645424027e-68,1.5197448186305501e-65
Fes,-2.12858166555316,1.2803700906224e-67,2.1488516334479603e-65
Atp6v0e2,1.84359942886059,2.6125325922337704e-67,4.34778113080653e-65
Tubb3,-2.14380957600481,6.6491115172377e-67,1.0973250373948e-64
Crip1,-3.38355461898807,8.18872406105457e-67,1.3402437297944199e-64
Ctsf,1.06778589989026,9.64930594369141e-67,1.56635126974479e-64
Rgs10,-3.65508088264437,6.98292083398927e-66,1.1243070259863701e-63
Nt5dc2,-3.18611311327653,4.7680884723568505e-65,7.615098718270581e-63
Eif2s3y,-9.35631840964589,6.54716466025592e-65,1.03728039145367e-62
Aph1c,-3.36748587607994,1.21293450724818e-63,1.9064249985351503e-61
Pygl,-3.78191429757024,4.84569871738809e-63,7.556237590484551e-61
Mnda,-2.26525409954679,9.97179740144613e-63,1.54282402920499e-60
Cd200r4,-4.94588511612789,2.0039623168195298e-62,3.0764705211080703e-60
Cd200r1,-4.28407133344657,8.81681202745136e-62,1.34313957993574e-59
Gmip,-1.35603287812838,2.4389623428515803e-61,3.68711528533073e-59
Cd72,-5.54692979433703,2.4658533509303903e-61,3.6995272546837403e-59
Cyld,1.19143619426387,6.42995075561719e-61,9.574341711597211e-59
Adcy7,-1.69701607236957,3.59673510182156e-60,5.3156523848115106e-58
Sox12,-2.68151853393621,4.33006535841531e-60,6.35204550800421e-58
Apobec1,-2.33973424473615,1.75429678437911e-59,2.55456569984146e-57
Msr1,-7.92486332959411,1.88778670699275e-59,2.72888525148061e-57
Hspb2,3.61114613050719,1.90810597848637e-59,2.73827034767711e-57
Hoxc13,3.28480758948525,2.24026400409827e-59,3.1918121105872e-57
Irf8,-4.43612577545038,3.3412919452751e-59,4.7264961203020096e-57
Coro2a,-4.32609304268613,5.1442302881288e-59,7.225272101142039e-57
Ptpn3,1.14202163548715,9.23168881392062e-59,1.2874955300766498e-56
Slc9a5,-1.5338943462137,1.02393487757135e-58,1.41804239967993e-56
Ccl9,-4.00561662497733,1.2637612190958801e-58,1.73802272103992e-56
Cfp,-2.62958803708748,2.37024983483369e-58,3.2372708778652697e-56
Myo1g,-6.19712822970718,2.62931455169373e-58,3.55730161604232e-56
Zc3hav1l,-2.39120768421173,2.6404935243295303e-58,3.55730161604232e-56
Prex1,-1.38611199160549,6.02393939590458e-58,8.0606821484117795e-56
C5ar1,-7.57724448876509,1.08806653852992e-57,1.4461791764460798e-55
Cyp26b1,2.1831226763512,1.60443301852487e-57,2.11827943325777e-55
Cd68,-5.4775699281778,3.69800471167901e-57,4.85001889470802e-55
Wdfy4,-7.07780799842762,5.29571007782864e-57,6.89975278824462e-55
Arl11,-5.69082436288992,6.35389406715462e-57,8.22434758862288e-55
Bdnf,1.71050888449386,1.6059722578800998e-56,2.0652386100686702e-54
