gene,log2FC,pvalue,adjusted_pvalue
Neurl3,5.22731296299287,5.820909352038e-168,1.0379263465619e-163
Cxcl1,8.33049530096524,1.13572831563015e-121,1.01255857980006e-117
Nos2,6.20087194491155,9.118943060111651e-117,5.419995790161701e-113
Gbp2,4.81682332687437,7.88046412997511e-107,3.5129138975396596e-103
Nfkbia,3.39678384971443,3.51634802827792e-105,1.25400003384447e-101
Zc3h12a,3.76704283053114,5.95689852898876e-95,1.77029096117331e-91
Gm16685,5.20521076741461,1.61536897737733e-89,4.1148063193735896e-86
Cxcl2,7.12472187053495,5.40399159705906e-84,1.2044821770894999e-80
Nfkbie,3.05511017354214,5.98953047923967e-81,1.1866590886147001e-77
Birc3,2.13555761354903,1.22907085816425e-80,2.1915562471926798e-77
Lif,3.28701911133789,1.52928823168306e-80,2.4789762235582396e-77
Ccl5,5.14160808483576,1.85006839076832e-71,2.74904745631583e-68
Steap4,7.02605567739542,3.1000138488686898e-71,4.25202668762904e-68
Sele,6.34455830407676,3.3203823901054e-69,4.22898131414067e-66
Gbp7,2.72340332860779,1.39255751467094e-67,1.65537953627317e-64
Tlr2,4.04494147670032,1.87892054800769e-65,2.09393951822032e-62
Relb,2.37807707571608,2.4739642779087e-61,2.5948974729053e-58
A4galt,2.44810382321449,1.36412107142131e-60,1.35131349025075e-57
Nfkbiz,3.8252883774344,5.32030184678189e-60,4.99296327526147e-57
Bcl3,3.63457445608537,7.0572681010149805e-59,6.2919073754599e-56
Gbp5,5.29574925166541,7.768667583278349e-57,6.596338651306491e-54
Slc7a2,2.06768850717533,2.0092591459031898e-56,1.62850453775454e-53
Nfkb2,1.4214863556489,1.2060639590728699e-55,9.35014193662102e-53
Cxcl10,5.92204418851477,7.14238105045606e-55,5.3064915212784205e-52
Rnd1,3.12102963263328,1.07644972563656e-54,7.67767002313017e-52
C3,4.86146425846219,3.61570711694389e-54,2.47967975393179e-51
Icosl,4.94878695003574,9.76334086917288e-53,6.44778263104525e-50
Cxcl5,7.46361253708611,3.10538017011633e-52,1.9775726361908697e-49
H2-Q4,2.17320107950995,1.64252679567659e-49,1.00992742392101e-46
Parp14,2.72190922962296,5.40313282704049e-43,3.2114420479653e-40
Bid,2.01748044467306,6.968392745594269e-43,4.00817454989327e-40
Gbp6,5.89049484778532,3.30057739529841e-41,1.83914361048644e-38
