gene,log2FC,pvalue,adjusted_pvalue
Bcl2a1b,3.06428268133905,0.0,0.0
Tnf,8.30187809844074,0.0,0.0
Stat2,2.61439673863505,0.0,0.0
Slfn8,5.33109236341125,0.0,0.0
Slfn5,5.09389099923664,0.0,0.0
Slc7a2,4.43113635819384,0.0,0.0
Sele,8.18934896367153,0.0,0.0
Rsad2,9.02614020879188,0.0,0.0
Rassf4,4.21881450136643,0.0,0.0
Mx1,6.13740225495798,0.0,0.0
Mndal,4.01330627769639,0.0,0.0
Nos2,10.2342476723925,0.0,0.0
Irgm2,4.31119841821852,0.0,0.0
Ccl3,5.94632383012319,0.0,0.0
Ccl4,5.62033554906466,0.0,0.0
Mnda,3.6792192414984,0.0,0.0
Clec4e,7.74777005512834,0.0,0.0
Cmpk2,7.87020159053897,0.0,0.0
Ccl5,8.15856166798756,0.0,0.0
Gbp7,5.03244408298934,0.0,0.0
Gfpt2,2.10253691941475,0.0,0.0
Ifit2,4.69563321764174,0.0,0.0
Cxcl9,8.94210912410087,0.0,0.0
Nfkbie,4.44650412590183,3.9145907821515e-304,3.16494664736949e-301
Pim1,2.8832272673646,3.64463725742478e-291,2.82882165372282e-288
Nfkb2,2.4606684981232,2.74521872019747e-285,2.04877784795045e-282
Parp14,5.40520952249522,4.260008386355e-285,3.06152602699379e-282
Nfkbia,4.29046441461392,1.0202228977088e-284,7.07014468112199e-282
Ifit1,7.41492985811968,3.68307502813562e-272,2.4643582015842603e-269
Cxcl2,9.54937868746826,7.73816920409736e-272,5.00504784121017e-269
Parp9,3.20371257592439,5.598097189609769e-270,3.5040476731351e-267
Cxcl10,10.2655444236338,6.77041261701301e-268,4.1054089506412596e-265
Gbp2,5.84261709576992,7.52212414925509e-265,4.42300899976199e-262
Gbp5,9.36188099012343,3.77891182733536e-257,2.15664720875339e-254
Cxcl1,9.58472320466156,2.52498544650177e-256,1.39985193154058e-253
Znfx1,2.11190360180139,7.09068223757085e-256,3.82187772605069e-253
Neurl3,4.11929017745632,9.823601491469119e-248,5.15181522541802e-245
Sp140,3.45634232773194,3.23864945428286e-247,1.65375668449749e-244
Ttc39c,2.1037172337321,2.6543664336593802e-239,1.32064939176222e-236
Bcl2a1d,5.04019142621927,1.84287670836345e-233,8.93979491227108e-231
H2-K1,2.18749907708186,4.2367967061195994e-229,2.00514154354987e-226
Birc3,2.70174796141329,2.2272390378379e-226,1.02898443548111e-223
H2-Q4,3.53401909526656,3.4114406879700198e-217,1.5394324444039602e-214
Oasl1,5.91381558959843,3.29057863670924e-213,1.45114517878877e-210
Gvin1,3.1190224754875,6.42283983525318e-208,2.76952853696117e-205
Gm16685,6.12147044037136,2.42910506883124e-204,1.02465988599133e-201
Il12b,10.671033112062,3.80791120595402e-203,1.57210019234748e-200
Mx2,5.96448586012665,7.08682044811803e-202,2.86484716615172e-199
Zbp1,6.45004459319689,3.89156709838492e-200,1.5410605709604302e-197
Il1b,10.354318432454,1.1270253139149399e-195,4.3737598382411097e-193
Gm12250,7.02710973311469,7.82069351323527e-194,2.97554386138857e-191
A4galt,3.56414719470407,1.94028622787573e-193,7.24025268571166e-191
Rhof,2.6251509538215,1.249219712122e-191,4.57355835736138e-189
Ebi3,3.27412792061249,1.62858040811781e-191,5.85203226650334e-189
Cd83,3.95126687053529,9.850160021040438e-185,3.47513645542307e-182
Zc3h12a,3.91612496035185,1.24839017021765e-183,4.32567193980415e-181
Rgs1,2.1551729924791,6.42528325046936e-181,2.1873016875808299e-178
Tor3a,2.15569652375104,2.36542301668952e-179,7.913563485490249e-177
Il1a,7.37552487218011,5.72212393530107e-179,1.8818998786539298e-176
Irf7,3.72771690060309,4.49445311182215e-176,1.4535061363632802e-173
Il27,8.67905966787688,2.77914684211344e-175,8.840420544978541e-173
Lif,3.84239223801291,7.23652399751208e-174,2.2647985749633e-171
Ifi47,4.64631222335474,8.26687319997198e-174,2.54619694559137e-171
Nod1,1.7682001705482,3.91926006752498e-171,1.1882706617227299e-168
Gm4951,6.16249505202258,1.3777056983955001e-168,4.1127694417948e-166
Igtp,4.66459075542368,6.48591571792704e-168,1.9068592210705501e-165
C3,6.38786295186988,9.348312374828719e-168,2.70738288539069e-165
Gm8995,4.30048347499877,8.07481233472757e-167,2.30417144916256e-164
Usp18,4.82627580608486,2.38643859370388e-165,6.71108035829422e-163
Bcl3,3.67774722884635,6.27681225014562e-165,1.73993235574037e-162
Trex1,2.83558295606329,2.37295797420578e-161,6.485193877674509e-159
Adar,1.40574168717984,2.62141135323018e-161,7.06470359695534e-159
Rnd1,4.22998019481622,9.27521396441318e-161,2.46542810637635e-158
Nmi,2.48431466462669,2.73006206798731e-159,7.158665455030499e-157
Slamf7,4.10219313050734,2.94413677653418e-159,7.61707066824922e-157
Dcp2,1.84703121468507,8.91105461181848e-159,2.27513294325955e-156
Cybb,2.00675430784965,2.26106841477649e-155,5.69789240523676e-153
Tor1aip1,0.955375167449476,1.3483992223218101e-152,3.35440237306825e-150
Iigp1,6.60113085615715,1.95823138955435e-149,4.80981289657121e-147
Ube2l6,2.16564708181069,3.8540693336976e-149,9.34804516888353e-147
