ID,Description,setSize,enrichmentScore,NES,pvalue,adjusted_pvalue,qvalue,leading_edge,core_enrichment
GO:1990266,neutrophil migration,25,0.793283054617916,2.03794145409823,0.0001037021673752,0.0048889536488849,0.0041762124874135,"tags=88%, list=20%, signal=72%",Cxcl1/Cxcl2/Cxcl10/Il1b/Ccl5/Cxcl3/Ccl20/Ccl2/Ccl7/Ccl3/Ccl4/Il1a/Ccl12/Il23a/Tlr2/Ccl8/Cd74/Nod2/Cx3cl1/Ccl9/Slamf8/Lbp
GO:0002682,regulation of immune system process,213,0.552285287183511,1.61784825076344,9.99900009999e-05,0.0048889536488849,0.0041762124874135,"tags=53%, list=29%, signal=47%",Cxcl1/Gbp5/Il12b/Cxcl10/Tnf/Il1b/Rsad2/Ccl5/Sele/Ifi205/Ccl20/Clec4e/H2-M2/Il27/Ccl2/Csf3/Nlrp3/Ccl7/Ccl3/Zbp1/Ifi203/Parp14/Pglyrp2/Isg15/Il1a/Cd40/Madcam1/Il6/Ccl12/Ddx60/Pglyrp3/Oas3/Slamf7/Ifi204/Igtp/Mndal/Tnfaip3/Oasl1/Fpr2/Bdkrb1/Tnip3/Bcl2a1d/Il23a/Tlr2/C3/Cd274/Adora2a/Icam1/Nfkbia/Trim30d/Irf7/Trim30a/Icosl/Zc3h12a/Cd74/Casp4/Nod2/Oas1g/Vcam1/Ifih1/Selp/Slc7a2/Cd83/Nlrc5/Dhx58/Cst7/Lcp2/Cx3cl1/H2-Q4/Nfkbiz/Ripk2/Irf1/Arg2/Lif/H2-T10/Adtrp/Oas1a/Il13ra2/Parp9/Slamf8/Tlr1/Slc7a11/Lbp/Trim21/Gfi1/Tslp/Tnfrsf9/Prdm1/Il15ra/Il15/Fas/Cd86/A2m/Il1rl1/Cfb/Ereg/Slc15a3/Nmi/Tnfsf11/Csf1/Stat2/Socs1/Il18rap/Irgm1/Cd14/Ikbke/Cd44/Stat1/Tnfrsf1b/Trex1/Plscr1/Fpr1
GO:0031347,regulation of defense response,123,0.562411871943441,1.62004715247314,9.99900009999e-05,0.0048889536488849,0.0041762124874135,"tags=59%, list=30%, signal=47%",Cxcl1/Gbp5/Il12b/Tnf/Il1b/Ccl5/Gbp4/Ifi205/Il27/Nlrp3/Ccl3/Zbp1/Ifi203/Parp14/Pglyrp2/Isg15/Il6/Oas3/Ifi204/Igtp/Mndal/Tnfaip3/Il23a/Tlr2/C3/Adora2a/Nfkbia/Trim30d/Irf7/Trim30a/Zc3h12a/Cd74/Casp4/Nod2/Oas1g/Slc7a2/Penk/Nlrc5/Dhx58/Cst7/Cx3cl1/Nfkbiz/Ripk2/Irf1/Dtx3l/Arg2/Oas1a/Parp9/Slamf8/Lbp/Trim21/Ptges/Tslp/Il15/A2m/Il1rl1/Ereg/Nmi/Tnfsf11/Stat2/Socs1/Il18rap/Irgm1/Ikbke/Cd44/Ier3/Socs3/Stat1/Tnfrsf1b/Trex1/Plscr1/Tlr3/Nfkb1
GO:0032103,positive regulation of response to external stimulus,79,0.573228617418492,1.6207984491851,0.0001000600360216,0.0048889536488849,0.0041762124874135,"tags=59%, list=27%, signal=47%",Cxcl1/Gbp5/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Ifi205/Ccl2/Nlrp3/Ccl7/Ccl3/Zbp1/Ifi203/Il6/Ddx60/Ifi204/Igtp/Mndal/Oasl1/Il23a/Tlr2/C3/Nfkbia/Trim30d/Irf7/Trim30a/Cd74/Casp4/Nod2/Nlrc5/Dhx58/Cx3cl1/Nfkbiz/Ripk2/Parp9/Lbp/Tslp/Pdgfb/Il1rl1/Ereg/Nmi/Tnfsf11/Csf1/Il18rap/Irgm1/Ikbke
GO:0031349,positive regulation of defense response,63,0.583045531137968,1.6301146116697,0.0001001101211332,0.0048889536488849,0.0041762124874135,"tags=60%, list=27%, signal=47%",Cxcl1/Gbp5/Il12b/Tnf/Il1b/Ccl5/Ifi205/Nlrp3/Ccl3/Zbp1/Ifi203/Il6/Ifi204/Igtp/Mndal/Tlr2/C3/Nfkbia/Trim30d/Irf7/Trim30a/Cd74/Casp4/Nod2/Penk/Nlrc5/Nfkbiz/Ripk2/Parp9/Lbp/Tslp/Il1rl1/Ereg/Nmi/Tnfsf11/Il18rap/Irgm1/Ikbke
GO:0071396,cellular response to lipid,81,0.576326924470675,1.63141852788294,0.0001000400160064,0.0048889536488849,0.0041762124874135,"tags=32%, list=11%, signal=31%",Nos2/Cxcl1/Cxcl2/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Cxcl3/Gbp6/Cmpk2/Ccl2/Nlrp3/Gbp10/Il1a/Gbp2/Il6/Ccl12/Igtp/Tnfaip3/Tnip3/Cd274/Nfkbia/Trim30d/Trim30a/Zc3h12a
GO:0006954,inflammatory response,119,0.568926921892857,1.63708585032189,0.0001,0.0048889536488849,0.0041762124874135,"tags=59%, list=30%, signal=46%",Nos2/Cxcl1/Cxcl2/Gbp5/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Cxcl3/Sele/Ccl20/Il27/Ccl2/Saa3/Nlrp3/Ccl7/Ccrl2/Ccl3/Zbp1/Pglyrp2/Ccl4/Il1a/Cd40/Il6/Ccl12/Tnfaip3/Fpr2/Bdkrb1/Il23a/Tlr2/C3/Adora2a/Icam1/Nfkbia/Ccl8/Zc3h12a/Casp4/Chil1/Nod2/Selp/Slc7a2/Cst7/Cx3cl1/Nfkbiz/Ccl9/Slamf8/Relb/Tlr1/Lbp/Ptges/Tslp/Il1rl1/Nmi/Tnfsf11/Serpina3n/Csf1/Hck/Il18rap/Cd14/Cd44/Ptgir/Ier3/Socs3/Tnfrsf1b/Trex1/Plscr1/Fpr1/Tlr3/Nfkb1
GO:0010033,response to organic substance,302,0.558870498093248,1.64989405254377,9.99900009999e-05,0.0048889536488849,0.0041762124874135,"tags=51%, list=33%, signal=49%",Nos2/Cxcl1/Cxcl2/Gbp5/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Gbp4/Cxcl3/Sele/Ifi205/Gbp6/Ccl20/Cmpk2/Ccl2/Saa3/Ifit1/Gbp11/Csf3/Nlrp3/Ccl7/Gbp10/Gbp9/Tgtp2/Ccl3/Zbp1/Ifi203/Parp14/Gbp3/Isg15/Ccl4/Il1a/Oasl2/Cd40/Gbp2/Gm4951/Serpina3g/Oas2/Il6/Ccl12/Oas3/Ifi204/Traf1/Gm4841/Igtp/Usp18/Mndal/Tnfaip3/Ifit3/Gbp7/Oasl1/Fpr2/Gm5431/Bdkrb1/Tnip3/Ch25h/Tlr2/Tgtp1/Cd274/Slpi/Adora2a/Icam1/Nfkbia/Trim30d/Ccl8/Irf7/Trim30a/Zc3h12a/Iigp1/Cd74/Casp4/Ifi47/Serpina3h/F830016B08Rik/Nod2/Oas1g/Vcam1/Ifih1/Irgm2/Selp/Cd83/Ebi3/Nlrc5/Cxcl16/Kcnj11/Ifit2/Xaf1/Cx3cl1/Xcr1/Ripk2/Irf1/Stx11/Adtrp/Ccl9/Oas1a/Il13ra2/Parp9/Relb/Tlr1/Slc7a11/Lbp/Ifitm1/Birc3/Trim21/Cacna1e/Gfi1/Tslp/Il15ra/Gm12185/Pdgfb/Sp100/Mmp3/Gch1/Il15/Fas/Mmp13/Cd86/Ereg/Nmi/Tnfsf11/Serpina3n/Csf1/Stat2/Socs1/Il18rap/Irgm1/Cd14/Ikbke/Cd44/Ptgir/Socs3/Stat1/Tnfrsf1b/Trex1/Plscr1/Fgf7/Pim1/Tlr3/Nfkb1/Areg/Hap1/Arid5a/Malt1/Ptgs2/Gpr68/Osmr/Cyp7b1/Tnfsf4/Trim25/Nr3c2/Gfpt2/Il2rg/Tnip1
GO:0002237,response to molecule of bacterial origin,80,0.585729843721667,1.65713363657829,0.0001000600360216,0.0048889536488849,0.0041762124874135,"tags=36%, list=11%, signal=35%",Nos2/Cxcl1/Cxcl2/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Cxcl3/Gbp6/Cmpk2/Ccl2/Nlrp3/Gbp10/Il1a/Gbp2/Il6/Ccl12/Igtp/Tnfaip3/Bdkrb1/Tnip3/Tlr2/Cd274/Slpi/Nfkbia/Trim30d/Trim30a/Zc3h12a
GO:0032496,response to lipopolysaccharide,75,0.599102373426388,1.69059534624622,0.0001000800640512,0.0048889536488849,0.0041762124874135,"tags=37%, list=11%, signal=36%",Nos2/Cxcl1/Cxcl2/Il12b/Cxcl10/Tnf/Il1b/Ccl5/Cxcl3/Gbp6/Cmpk2/Ccl2/Nlrp3/Gbp10/Il1a/Gbp2/Il6/Ccl12/Igtp/Tnfaip3/Bdkrb1/Tnip3/Cd274/Slpi/Nfkbia/Trim30d/Trim30a/Zc3h12a
