Gene,SOX,Homeobox,STAT,KLF,ZNF,SP,IRF,NFKB,SP1
ZC3H12A,12,100,7,50,53,33,0,0,8
TNFAIP3,33,272,7,15,33,15,1,3,0
VCAM1,71,426,9,79,51,19,0,0,0
TRAF2,19,240,8,23,47,14,0,0,0
CD69,41,213,11,6,34,9,0,3,2
IRF1,9,168,6,62,44,42,0,6,15
SLC2A6,21,333,0,49,47,20,0,4,0
GPR84,32,207,5,9,53,6,0,0,1
IL6,32,341,9,35,64,20,0,1,0
NFKB2,13,63,8,47,39,29,2,9,3
IFIT3,32,210,9,53,54,33,2,0,0
PSD,20,175,3,98,49,47,0,2,2
TRIM47,9,55,3,65,64,44,0,0,7
TAPBP,25,221,6,51,38,24,0,0,3
SLC7A2,21,188,5,145,99,68,0,4,4
RASSF4,22,130,6,60,39,33,0,0,5
SOD2,20,242,3,50,60,22,0,3,6
IFNAR2,17,341,6,39,51,23,0,0,4
GCNT1,19,105,4,25,23,16,0,0,0
IL23A,34,150,6,28,65,17,0,4,1
HCAR2,34,314,10,11,29,3,1,0,0
TSKU,9,94,9,160,57,61,0,0,8
EIF6,23,294,7,22,33,13,0,0,1
PIM1,12,68,0,216,97,109,1,0,12
PHLDA1,29,176,6,67,54,35,0,2,7
PSME2,5,161,5,55,48,26,0,3,0
ATL1,0,19,0,60,60,24,0,4,3
ABLIM2,17,137,6,28,42,24,0,0,4
NFE2L1,5,30,0,105,73,60,0,2,17
GADD45B,14,78,7,52,51,19,1,1,0
CD300LB,14,210,9,17,48,10,0,1,0
FRY,13,35,4,207,70,87,0,1,3
DTWD1,34,253,8,27,64,23,1,2,1
JAK2,2,29,3,149,97,67,1,5,7
GSAP,29,334,9,1,39,6,1,1,1
CLASP1,27,204,9,26,34,12,3,0,0
FOXJ2,8,78,6,100,77,44,0,1,12
NADK,38,242,5,22,33,10,0,0,1
ATXN1,3,130,3,148,125,105,0,1,16
PTPN9,21,162,8,74,58,44,0,2,0
TTC39C,9,172,0,48,38,12,0,0,0
RASGEF1B,29,250,7,40,39,19,1,0,3
RNF144B,21,111,9,44,47,25,0,0,8
SQSTM1,18,102,4,65,63,31,1,3,5
ZBTB10,14,84,0,161,87,64,0,0,0
CCDC93,69,152,15,19,108,16,8,0,2
SOCS1,13,32,10,55,57,34,13,0,7
KLC4,9,125,1,31,41,15,0,0,3
G0S2,9,87,1,161,88,89,6,0,0
COQ10A,9,113,3,47,49,29,0,0,2
AMPD3,10,164,11,17,42,8,2,0,0
RASAL3,21,184,5,82,57,42,0,0,6
SPRED3,23,175,2,101,66,57,1,5,12
ARRDC4,36,173,10,39,40,26,2,1,1
MAP3K1,4,31,1,176,72,65,1,3,4
TOB1,6,85,0,220,108,118,1,2,10
FMO5,30,142,6,91,83,49,2,1,3
HEATR1,22,141,9,63,32,38,0,0,7
PRDM1,19,196,6,55,52,27,0,5,4
IRF2,14,78,3,114,85,66,6,3,15
SLCO3A1,8,133,1,53,87,44,0,0,11
PSMD7,37,306,6,14,73,16,17,1,3
HSCB,41,219,2,50,60,27,1,0,0
RHBDD3,4,59,1,71,69,42,2,2,5
USF1,32,189,7,24,44,16,0,1,1
AREG,19,310,2,39,49,17,0,0,1
SLC9A3R2,19,38,5,58,57,40,1,5,3
FGD4,40,397,9,14,41,7,0,0,0
CREB5,13,155,2,73,44,33,0,0,6
CASP7,12,64,4,26,44,18,0,1,3
IL1RN,30,285,4,28,33,16,0,0,1
NAV1,7,119,1,138,99,95,0,1,0
PFKFB2,16,159,6,98,63,55,0,0,9
ECH1,29,189,2,26,45,14,1,0,1
