Gene,SOX,Homeobox,STAT,KLF,ZNF,SP,IRF,NFKB,SP1
SLC7A2,21,188,5,145,99,68,0,4,4
PIM1,12,68,0,216,97,109,1,0,12
NFKB2,13,63,8,47,39,29,2,9,3
ZC3H12A,12,100,7,50,53,33,0,0,8
IRF1,9,168,6,62,44,42,0,6,15
TNFAIP3,33,272,7,15,33,15,1,3,0
HCAR2,34,314,10,11,29,3,1,0,0
CD69,41,213,11,6,34,9,0,3,2
RNF19B,15,184,6,48,48,26,1,2,4
IRF2,14,78,3,114,85,66,6,3,15
SLC2A6,21,333,0,49,47,20,0,4,0
ARRDC4,36,173,10,39,40,26,2,1,1
IL23A,34,150,6,28,65,17,0,4,1
TRAF2,19,240,8,23,47,14,0,0,0
JAK2,2,29,3,149,97,67,1,5,7
PSD,20,175,3,98,49,47,0,2,2
TRIM47,9,55,3,65,64,44,0,0,7
PSME2,5,161,5,55,48,26,0,3,0
TAPBP,25,221,6,51,38,24,0,0,3
SOD2,20,242,3,50,60,22,0,3,6
VCAM1,71,426,9,79,51,19,0,0,0
CASP7,12,64,4,26,44,18,0,1,3
NR4A3,12,69,5,171,61,68,0,0,3
GADD45B,14,78,7,52,51,19,1,1,0
GSAP,29,334,9,1,39,6,1,1,1
CCDC93,69,152,15,19,108,16,8,0,2
IFNAR2,17,341,6,39,51,23,0,0,4
TACC2,25,87,6,26,43,23,4,0,4
ARAP3,27,124,1,36,60,18,0,0,3
AMPD3,10,164,11,17,42,8,2,0,0
ABLIM2,17,137,6,28,42,24,0,0,4
METRNL,15,58,7,55,62,30,1,0,3
VASP,17,140,4,113,69,57,0,3,7
CCDC50,26,152,4,125,64,43,0,0,5
PFKFB2,16,159,6,98,63,55,0,0,9
TRIM26,16,129,9,36,47,16,1,3,0
STXBP6,8,268,2,58,65,26,0,0,2
CLASP1,27,204,9,26,34,12,3,0,0
FBXO42,24,93,6,62,53,22,0,0,2
ARHGEF40,8,81,1,80,57,33,0,4,6
PTPN12,34,398,6,1,50,0,0,0,0
PTPN9,21,162,8,74,58,44,0,2,0
SQSTM1,18,102,4,65,63,31,1,3,5
SASH1,13,150,3,50,51,26,0,0,6
CD36,62,430,8,5,41,9,3,0,2
KATNA1,18,211,5,56,31,23,0,1,1
ATL1,0,19,0,60,60,24,0,4,3
TDG,19,105,6,27,41,10,1,0,0
GCNT1,19,105,4,25,23,16,0,0,0
MARK2,15,77,6,46,48,29,0,1,6
USF1,32,189,7,24,44,16,0,1,1
MLLT3,46,408,12,14,25,3,0,0,0
HEATR1,22,141,9,63,32,38,0,0,7
NUP188,1,73,1,64,70,27,0,3,3
CEBPG,16,115,1,54,57,16,1,4,1
SIN3A,17,300,5,27,40,20,0,1,6
GNG12,28,217,6,65,73,27,1,1,5
FGFR2,21,247,6,12,39,4,1,0,0
TSC22D1,3,122,2,211,112,119,0,2,1
ELK4,42,95,3,54,89,30,5,0,5
DTWD1,34,253,8,27,64,23,1,2,1
PDE4A,10,113,3,121,57,55,0,0,11
CPOX,33,257,5,26,43,8,1,0,0
KRT16,15,71,4,41,51,21,0,2,2
N4BP3,9,147,8,93,83,58,1,0,2
MAP3K1,4,31,1,176,72,65,1,3,4
ZBTB10,14,84,0,161,87,64,0,0,0
LPAR4,34,497,12,23,39,17,0,0,1
MAD2L1BP,36,172,10,49,73,22,1,0,3
CASP12,38,310,11,1,42,2,0,0,0
MCCC2,38,220,3,18,40,10,0,0,2
IFI30,8,132,11,60,51,35,0,1,4
CSPP1,19,158,3,15,33,19,1,0,5
HEBP1,54,129,1,43,62,19,0,0,2
